MusicCollectionAddResponse,MusicCollectionAddCollection,MusicCollectionAddSong,MusicCollectionAddArtist
add I'll be missing you by p diddy to my west coast collection,west coast,I'll be missing you,p diddy
add the song I swear by all-4-one to my middle school throwback collection,middle school throwback,I swear,all-4-one
add the song 20 Dollar Nose Bleed to my all time favorites ,all time favorites ,20 Dollar Nose Bleed,
Add the song Brand New Lover to Gay 80's playlist,Gay 80's,Brand New Lover,
add the song Calm Before the Storm to my running mix ,running,Calm Before the Storm,
add the song Chicago Is So Two Years Ago to my driving music ,driving ,Chicago Is So Two Years Ago,
Add Dark Horse to my Katy Perry songs collection ,Katy Perry songs,Dark Horse ,
add the song Don't You Know Who I Think I Am to my faves ,faves,Don't You Know Who I Think I Am,
add Doves Cry to my Prince hits,Prince Hits,Doves Cry,
add fell in love with a girl to my awesome songs playlist,Awesome songs,Fell in love with a girl,
add Flashing Lights to my Kanye mix,Kanye ,Flashing Lights,
Put Formation on my favorites playlist,favorites,Formation ,
add the song Get Busy Living or Get Busy Dying to my punk faves ,punk faves,Get Busy Living or Get Busy Dying,
add grenade to my bruno mars playlist,bruno mars,grenade,
Add Hotline Bling to the drive home playlist.,Drive home,Hotline Bling,
save the song Jealous Guy to my romantic playlist,romantic ,Jealous Guy,
can you add the song Layla to my oldies playlist,oldies,Layla,
add my neck my back to my freak playlist,freak,my neck my back,
add the song my girl to my chill vibes collection,chill vibes,my girl,
add the song my way to the playlist new york songs,new york songs ,my way,
Add Smoke on the Water to my classic hard rock playlist,classic hard rock ,smoke on the water,
can you add hip hop is dead to my illest collection,illest,hip hop is dead,
add the song get by to my collection of 2000s rap,2000s rap,get by,
add paper planes to my favorite movie songs collection,favorite movie songs,paper planes,
find the song young and beautiful and put it in my dream wedding playlist,dream wedding,young and beautiful,
add the song called she wants to move to my intensity mix,intensity,she wants to move,
add gooey to my playlist called weird indie songs,weird indie songs,gooey,
save princess of china to my coldplay mix,coldplay,princess of china,
include save room in my relationship goals mix,relationship goals,save room,
drop applause into my lady gaga greatest songs collection,lady gaga greatest songs,applause,
put waves into my best of kanye playlist,best of kanye,waves,
I want to add elevation to my u2 hits playlist,u2 hits,elevation,
add feel this moment to my miami jams,miami jams,feel this moment,
please save the song dancing on my own to my shower songs playlist,shower songs,dancing on my own,
add shape of you to my favorites collection,favorites,shape of you,
add the track do what u want to my sexiness collection,sexiness,do what u want,
add wind beneath my wings to my cheesy 80s songs playlist,cheesy 80s songs,wind beneath my wings,
can you add sweet dreams are made of these to my eighties movie soundtracks collection,eighties movie soundtracks,sweet dreams are made of these,
add another day in paradise to the playlist called phil collins songs,phil collins songs,another day in paradise,
put livin on a prayer on my bon jovi collection,bon jovi,livin on a prayer,
add the song every breath you take to my romantic ballads playlist,romantic ballads,every breath you take,
Add it to my Party songs playlist,party songs,it,
can you add it to my Alternative Rock playlist,Alternative Rock,it,
please add it to my hip hop playlist,hip hop,it,
put it in my summer 2016 playlist,summer 2016,it,
add it to my favorites,favorites,it,
put it in my dope running mix,dope running mix,it,
please put it in my rock and roll allstars playlist,rock and roll allstars,it,
save it to my wedding playlist,wedding,it,
add it to my inspirational songs list,inspirational songs,it,
save it in my booty tracks playlist,booty tracks,it,
add it to my country songs forever playlist,country songs forever,it,
save it to my hot songs to dance to playlist,hot songs to dance to,it,
put it in my best of the red hot chili peppers playlist,best of the red hot chili peppers,it,
drop it into my summer jams of 2017 playlist,summer jams of 2017,it,
can you add the current song to my hella good playlist,hella good,current song,
Add the current song to my Dance playlist.,Dance,current song,
add the currently playing song to my stars collection,stars,currently playing,
save the current song to my alpha hits collection,alpha hits,current song,
put the current song into my british boy bands mix,british boy bands,current song,
Add the song to my Soundtracks playlist,Soundtracks,the song,
save the song to the playlist called Morning Kid Songs,Morning Kid Songs,the song,
put the song in my female country singers mix,Female Country Singers,the song,
Can you add the song to my playlist called Motivation?,Motivation,the song,
Add the song  to my church playlist.,church,the song,
save the song to the playlist called laura's wedding,laura's wedding,the song,
Add the song to the bedtime playlist.,bedtime,the song,
add the song to my faves,faves,the song,
add the track to Anna's running music,Anna's running music,the track,
save the track to my power workout playlist,power workout,the track,
add this song to my roadtrip tunes,roadtrip tunes,this,
Put this in my oldies but goodies playlist,oldies but goodies,this,
Add this to Classic Rock playlist,Classic Rock,this,
save this to my legends playlist,legends,this,
add this to My favorites,favorites,this,
Add this song to Twerking Music.,Twerking Music.,this,
please add this to my when I'm sad playlist,when I'm sad,this,
add this song to the playlist called romantic tunes,romantic tunes,this,
please can you add this to this desk music playlist,desk music,this,
add this song to my hot dj jams playlist,hot dj jams,this,
save this to my death metal mix,death metal,this,
put this song in my stalker playlist,stalker,this,
let's add this song to the coldplay faves playlist,coldplay faves,this,
add this to my eminem collection ,eminem,this,
can you add this to my Nostalgia playlist,Nostalgia,this,
please add this to my listen later playlist,listen later,this,
please add this track to my 80s kick back music,80s kick back,this,
add this song to my house chill mix,house chill,this,
can you please put this in my gym playlist,gym,this,
include this song in my girl power playlist,girl power,this,
let's add this to my carnival playlist,carnival,this,
drop this into my kpop collection,kpop,this,
can you add this to my easy listening playlist,easy listening,this,
add this track to the favorite movie soundtracks playlist,favorite movie soundtracks,this,
please add this song to my halloween party mix,halloween party,this,
could you add this song to my favorite adele songs,favorite adele songs,this,
add this to my favorite bruno mars songs collection,favorite bruno mars songs,this,
put this song in the hipster music playlist,hipster music,this,
save this track in my emerging artists playlist,emerging artists,this,
I'd like to put this in my current jams collection,current jams,this,
I wanna put this song in my heavy rotation mix,heavy rotation,this,
put this into my new music mix,new music,this,
sort this into my old faves playlist,old faves,this,
sort this song in my china songs playlist,china songs,this,
add that song to my hot summer jams,hot summer jams,that,
put that song in my dope beats collection,dope beats,that,
I want to put that in the strong women playlist,strong women,that,
can you add that track to my dope ass beats collection,dope ass beats,that,
can you save that to my rock and roll collection,rock and roll,that,
add that to my gospel music playlist,gospel music,that,
I want that added to the Mad Beats playlist,Mad Beats,that,
throw that song into the mad city playlist,mad city,that,
add that song to my playlist called Relaxing at the beach,Relaxing at the beach,that,
save that to my spinning class playlist.,spinning class,that,
add that to my graduation songs collection ,graduation songs,that,
put that in my art girl army playlist,art girl army,that,
save that track to my get turnt playlist,get turnt,that,
I want that song added to my playlist called roman holiday,roman holiday,that,
I need you to add that song to my bollywood mix,bollywood,that,
can you add that to my freaking weekend playlist,freaking weekend,that,
I want that added to my Taylor Swift collection,Taylor Swift,that,
Add that to my Rainy Day playlist.,Rainy Day,that,
can you add to my top songs from 2015 collection,top songs from 2015,,
add a song to my 2000s music playlist,2000s music,,
I'd like to add a song to my favorite metal and punk playlist,favorite metal and punk,,
add a track to my playlist of techno songs,techno,,
I want to add to my carpool karaoke collection,carpool karaoke,,
add to my new york roadtrip playlist,new york roadtrip,,
I want to add to the playlist broadway classics,broadway classics,,
can you add to my playlist of showtunes music,showtunes music,,
please add to my cool down playlist,cool down,,
add a track to my spring fling playlist,spring fling,,
add something to the playlist called skinny jeans,skinny jeans,,
I'd like to add a song to my playlist called sad hipster ,sad hipster ,,
I want to add a song to the all the feels playlist,all the feels,,
can you add a song to my madonna collection,madonna,,
can you add something to my rolling stones mix,rolling stones,,
add some music to my poppy faves list,poppy faves,,
add music to my list of pregame music,pregame,,
put a song in my afterparty mix,afterparty,,
I need a song added to my collection of house music,house,,
I want a song added to my favorite indie bands playlist,favorite indie bands,,
let's add a song to my mega hits collection,mega hits,,
help me add a song to we own the night playlist,we own the night,,
add to my road tripping to vegas playlist,road tripping to vegas,,
add something to my summer vibes collection,summer vibes,,
add a song to my party people playlist,party people,,
I want to add something to my kick ass playlist,kick ass,,
I wanna add to my summer vacation playlist,summer vacation,,
add a song to my eclectic mix,eclectic,,
add to my rap and country mix,rap and country,,
add to my black soul playlist,black soul,,
add to my motown mix,motown,,
save music to my divas playlist,divas,,
save some songs to my car music playlist,car music,,
save something to my wonder years playlist,wonder years,,
I want to add to my weekend vibes playlist,weekend vibes,,
I'd like to add songs to my karaoke faves playlist,karaoke faves,,
can  you add a song to my playlist of dance hits,dance hits,,
add to my rihanna mix,rihanna,,
add a song to my favorites,favorites,,
add a song to my workout playlist,workout,,
can you add something to my cardio barre playlist,cardio barre,,
please add a song to my work work work playlist,work work work,,
I want to add something to my cardio workout playlist,cardio workout,,
I'd like to add a song to my marathon mix,marathon,,
can you add a song to the marathon training mix I have,marathon training,,
save a song to my drive time playlist,drive time,,
put a song in my christmas party playlist,christmas party,,
add a song to my winter blues mix,winter blues,,
Add Cake by the Ocean by dnce to my collection,,Cake by the Ocean,dnce
add the song ordinary people by john legend to my collection,,ordinary people,john legend
add the track I cry by flo rida to my music,,I cry,flo rida
add anything could happen by ellie goulding to my music library,,anything could happen,ellie goulding
can you add scream by usher to my music,,scream,usher
save like i would by zayn to my playlists,,like I would,zayn
put luv by tory lanez in my collection,,luv,tory lanez
add don't by bryson tiller to collection,,don't,bryson tiller
I want to add the song break from toronto by partynextdoor to my library,,break from toronto,partynextdoor
add the travis scott song through the late night to my collection,,through the late night,travis scott
add dev's song in the dark to my library,,in the dark,dev
add the taio cruz song higher to my collection,,higher,taio cruz
put the song breathing by jason derulo in my music collection,,breathing,jason derulo
I'd like to save the song icarus by madeon,,icarus,madeon
save the song time to pretend my mgmt to my music,,time to pretend,mgmt
can you add the song disparate youth by santigold to my music library,,disparate youth,santigold
please add settle down by kimbra to my library of songs,,settle down,kimbra
add good girl by alexis jordan to one of my playlists,,good girl,alexis jordan
I would like to add kiara by bonobo to a collection,,kiara,bonobo
can you put wings by little mix in my collection,,wings,little mix
save the swedish house mafia song save the world in my music,,save the world,swedish house mafia
add the song payphone by maroon 5 to my music,,payphone,maroon 5
save big hoops by nelly furtado to a collection,,big hoops,nelly furtado
add clarity by zedd to a playlist,,clarity,zedd
add wild by jessie j to a collection,,wild,jessie j
could you add this head I hold by electric guest to a playlist for me,,this head I hold,electric guest
I want to add dakota by stereophonics to a playlist,,dakota,stereophonics
I want to save hello by karmin to a playlist,,hello,karmin
save love me again by john newman to a playlist,,love me again,john newman
add sleepyhead by passion pit to my library,,sleepyhead,passion pit
add the song I'll be there for you by the rembrandts,,I'll be there for you,the rembrandts
save the song genie in a bottle by christina aguilera,,genie in a bottle,christina aguilera
add state of love and trust by pearl jam to my music,,state of love and trust,pearl jam
save I knew I loved you by savage garden to my playlists,,I knew I loved you,savage garden
add a song for mama by boyz ii men into my collection,,a song for mama,boyz ii men
add ub40's I can't help falling in love with you to my collection,,I can't help falling in love with you,ub40
save charles wright's song she don't believe in love to my collection,,she don't believe in love,charles wright
add simon & garfunkel's song bridge over troubled water to my playlist,,bridge over troubled water,simon & garfunkel
add commodores three times a lady to my music library,,three times a lady,commodores
add thinkin bout you to my library,,thinkin bout you,
add strong as glass to my music,,strong as glass,
please save the song galvanize to my library,,galvanize,
I want to save the song make you feel my love,,make you feel my love,
add the song candy rain to my music,,candy rain,
I'd like to add purple rain to my collection,,purple rain,
add #1 in heaven to my song library,,#1 in heaven,
drop pusher love girl into my collection,,pusher love girl,
can you add the song big pimpin to my collection,,big pimpin,
please add single ladies to my music library,,single ladies,
add the song called material girl to my library,,material girl,
please add yellow submarine to my song library,,yellow submarine,
put the song starlight in my library,,starlight,
add baby one more time to my music,,baby one more time,
add humble to my music collection,,humble,
save the song sorry to my collection,,sorry,
add the lazy song to one of my playlists,,the lazy song,
please add marry you to my collection,,marry you,
I want to add sugar to my library,,sugar,
put bohemian rhapsody into my music library,,bohemian rhapsody,
add this is how we do it to my library,,this is how we do it,
add the song kiss from a rose to my collection,,kiss from a rose,
save you are not alone to my music collection,,you are not alone,
add I believe I can fly to my library of tunes,,I believe I can fly,
add everything I do it do it for you to my collection,,everything I do it do it for you,
save the song everything you want to a playlist,,everything you want,
add the song whoomp! There it is to a playlist,,whoomp! There it is,
add the track to my library,,the track,
add the song to a playlist,,the song,
add the song to my music,,the song,
save the song to my library,,the song,
add this song to my library,,this,
add this to a playlist,,this,
can you add this to a playlist of mine,,this,
can you add this one to my collection,,this,
add this one to my music library,,this,
save this song to my music,,this,
add this to my collection,,this,
add this song to my collection,,this,
add this to my music,,this,
add this to my playlist,,this,
add this song to my playlist,,this,
add this song to my music collection,,this,
you need to add this to my collection,,this,
can you add this to my collection,,this,
add this song to my music,,this,
save this song,,this,
I want to save this song,,this,
I'd like to save this song,,this,
I would like to save this track,,this,
can I save this song,,this,
can i save this track to my library,,this,
put this in a playlist,,this,
add this to one of my playlists,,this,
could you add this to a playlist,,this,
drop this into my library,,this,
put this in my collection,,this,
save this in my collection,,this,
include this in a playlist,,this,
I want this song in a playlist,,this,
sort this into a playlist,,this,
I want this added to my collection,,this,
I want this song added to my library,,this,
add this to my music library,,this,
add this song to my music,,this,
save this song in my music,,this,
I need to add this to a playlist,,this,
put this one in my music library,,this,
save this one in a playist,,this,
save that to my playlist,,that,
save that song to a playlist,,that,
save that song to my collection,,that,
put that in a playlist,,that,
add that to my playlists,,that,
save that song to a playlist,,that ,
add that to my collection,,that ,
add that song to my collection,,that ,
add that to my music library,,that ,
put that in my collection,,that ,
put that song in a playlist,,that ,
include that in a playlist,,that ,
add that one to playlist,,that ,
add that one to my collection,,that,
put that song in my collection,,that ,
put that one in my collection,,that,
can you put that in my collection,,that,
could you put that song in a playlist,,that,
place that in my collection,,that,
add it to my music collection,,it,
add it to my music library,,it,
add it to my collection,,it,
put it in the collection,,it,
put it in a playlist,,it,
add it to a playlist,,it,
can you add it to my collection ,,it,
add it to one of my playlists,,it,
can you add it to my library ,,it,
add the current song to a playlist,,current song,
add current song to my library,,current song,
add the current song to my collection,,current song,
add a song to my library,,,
I'd like to add something to my music library,,,
I'd like to add a song to a playlist,,,
add something to a playlist,,,
add some music to a playlist,,,
can you add a song to my playlists,,,
add a song to a playlist,,,
put a song in my playlists,,,
I'd like add some music to my library,,,
I want to add a song to my music library,,,
add a song to my collection,,,
add something to my music collection,,,
can you add songs to a playlist,,,
can you add a song to a playlist,,,
could you add music to playlists,,,
help me add something to a playlist,,,
I want to add a song to a playlist,,,
sort something into a playlist,,,
add something to one of my playlists,,,
add music to a playlist,,,
I want to add something to my music library,,,
add a song to a collection,,,
add something to my music,,,
add to my collection,,,
add to my playlist,,,
add to my music,,,
add to my library,,,
