calendarShowEvent,calendarDate,calendarTitle,calendarAttendee,calendarUpcoming
Show Events for 2nd October,2nd October,,, 
Show Events for 2nd of October,2nd of October,,,
What plans do I have on April 1st,April 1st,,, 
Do I have anything planned for August 17th?,August 17th,,, 
what does my day look like,day,,, 
Show me events for day after tomorrow,day after tomorrow,,, 
Did i have any appointment day before yesterday,day before yesterday,,,
What was my schedule for day before yesterday,day before yesterday,,,
show my calender for day before yesterday,day before yesterday,,, 
Tell me my activities for day before yesterday,day before yesterday,,, 
What do I have planned on December 13th?,December 13th,,, 
do I have anything planned on december 14th,december 14th,,, 
what are my commitments on december 14th,december 14th,,, 
what is on my schedule december 1st,december 1st,,,
open my schedule for december 2nd,december 2nd,,,
What events do I have coming up on December 5th?,December 5th,,, 
what am I doing on Friday,Friday,,, 
what does my schedule look like Friday,Friday,,,
what time is the family dinner on friday,friday,family dinner,,
What do I have on my calendar for Halloween?,Halloween,,, 
please provide a list of events for January 22nd,January 22nd,,,
Show me calendar events for January 8th,January 8th,,, 
What's on my schedule for July 3rd,July 3rd,,, 
show calendar events from last Friday,last Friday,,,
tell me my appointments for march 12th,March 12th,,, 
What do I have planned for May 2nd?,May 2nd,,, 
what is present on my schedule may 4th,may 4th,,,
I need to see all the appointments I have on Monday.,Monday,,, 
what's on my diary for next Friday,next Friday,,, 
Show me my calendar events for next Thursday.,next Thursday,,, 
what am I doing next Tuesday,next Tuesday,,, 
what are my appointments next Tuesday,next Tuesday,,, 
what's my schedule next Tuesday,next Tuesday,,, 
show my events planned next week with the title testing testing testing,next week,testing testing testing,,
when is my dentist visit next week,next week,dentist visit,,
How's my day on November 1st 2016,November 1st 2016,,, 
my Schedule for November 3rd,November 3rd,,, 
do I have anything scheduled on November 3rd?,November 3rd,,, 
What events do I have on November 7th?,November 7th,,, 
What are the events on my birthday November 9th,November 9th,,, 
Can you get my calendar for October,October,,,
What am I doing on October 10th.,October 10th,,, 
What do i have planned on October 11th,October 11th,,, 
show me my events for october 17th,october 17th,,, 
"Show me my events for October 3rd, 2016","October 3rd, 2016",,, 
What is on my calendar for October 4th?,October 4th,,, 
what are my appointments on october 5 2016,october 5 2016,,, 
Show me what I've got going on October 5th,October 5th,,, 
what are my appointments Saturday,Saturday,,, 
what time is my panel discussion on Saturday,Saturday,panel discussion,,
Show me events scheduled for September 29th,September 29th,,, 
Do I have any plans on September 8th?,September 8th,,, 
show me events on Sunday with the title lets dance,Sunday,lets dance,,
Show me Sunday's events,Sunday,,, 
What events or meetings do I have Sunday,Sunday,,, 
what are my appointments on Sunday,Sunday,,,
what's on the agenda for Sunday,Sunday,,,
what are Sunday's activities,Sunday,,, 
what's my schedule on Sunday ,Sunday,,, 
what's on my schedule on Sunday may 2,Sunday may 2,,, 
what have I got going on that day,that day,,, 
What am I doing that day,that day,,, 
What's on my calendar for that day,that day,,, 
what's on my calendar that day,that day,,, 
Show all events planned for that day,that day,,, 
What is on my schedule that day,that day,,, 
what have I got going that day,that day,,, 
what's in my diary that day,that day,,, 
what am I doing on that day,that day,,, 
What do I have scheduled that week,that week,,, 
what am I doing that week,that week,,, 
do I have anything scheduled that week,that week,,, 
Please show me my events for that week,that week,,, 
what is on my schedule then,then,,, 
what events do I have then,then,,, 
Do I have any plans then,then,,, 
show me my calendar appointments for the third of january,third of january,,, 
when is the hackathon this month,this month,hackathon,,
What do I have scheduled for this Saturday?,this Saturday,,,
what's on my calendar this Saturday,this Saturday,,, 
show my events for this week with uma,this week,,uma,
Show me all events on my calendar for this week,this week,,, 
what time is final cut edit session this week,this week,final cut edit session,,
what time is the marathon this weekend,this weekend,marathon,,
what time is my nail appointment this weekend,this weekend,nail appointment,,
Show me my calendar of events for Thursday.,Thursday,,, 
what's in my diary for Thursday,Thursday,,, 
what time is jury duty on thursday,thursday,jury duty,,
Do i have any appointment for today,today,,,
do i have any appointment today,today,,,
can you see if i have any appointments,today,,,
Show me my events for today,today,,,
What's my schedule for today,today,,,
show me events today with the title testing,today,testing,,
show me events with kiran that were planned today,today,,kiran,
show Today's events,today,,, 
What's my schedule for today?,today,,, 
show my calender for today,today,,, 
what do i have to do today,today,,, 
what's the agenda today,today,,, 
What do I have going on today?,Today,,, 
what appointments have I got today,today,,, 
what is today's schedule,today,,, 
what events do I have today?,Today,,, 
what meetings do I have today,Today,,, 
what meetings do I got today,today,,, 
Pull up my calendar for today.,Today,,, 
Show me what's on my agenda today.,today,,, 
show me my schedule today,today,,, 
what appointments do I have today,today,,, 
Tell me my activities for today,today,,, 
Pull up my calendar for today.,today,,, 
What is on my calendar for today?,today,,, 
what am I doing today,today,,, 
pull up today's schedule,Today,,, 
Can you please show me what is on my calendar for today?,today,,, 
what have I got going on today,today,,, 
What is on my calendar today?,Today,,, 
What's on my calendar for today,today,,, 
tell me when is the dress rehearsal today,today,dress rehearsal,,
What time is yoga class today,today,yoga class,,
when is my call with reena today,today,call,reena,
Show me events for today,today,,, 
Get me my calendar for tomorrow,tomorrow,,,
Show me my calendar for tomorrow,tomorrow,,, 
Show me my schedule for tomorrow.,Tomorrow,,, 
what's on my calendar tomorrow,tomorrow,,, 
what are my events tomorrow,tomorrow,,, 
What do I have going on tomorrow?,tomorrow,,, 
show me my schedule tomorrow,tomorrow,,, 
what's on my diary tomorrow,tomorrow,,, 
Please show me my calendar events for tomorrow.,tomorrow,,, 
what's on my schedule tomorrow,tomorrow,,, 
What do I have scheduled tomorrow?,tomorrow,,, 
Open tomorrow's schedule,tomorrow,,, 
what are my meetings tomorrow,Tomorrow,,, 
What do I have scheduled tomorrow?,tomorrow,,, 
show my calendar tomorrow,Tomorrow,,, 
Show me tomorrow's events.,tomorrow,,, 
what are my events for tomorrow,tomorrow,,, 
What is on my calendar for tomorrow?,tomorrow,,, 
Show me my appointments for tomorrow.,Tomorrow,,, 
what does tomorrow look like,tomorrow,,, 
what's going on my schedule tomorrow,tomorrow,,, 
do I have anything planned on december 14th,december 14th,,, 
what's on my diary for next Friday,next Friday,,, 
What events do I have coming up on December 5th?,December 5th,,, 
What's coming up on my calendar,,,,
Show me Sunday's events,Sunday,,, 
How is my calendar looking for tomorrow?,Tomorrow,,, 
What do I have on my schedule for tomorrow,tomorrow,,, 
What's in calendar tomorrow?,tomorrow,,, 
List tomorrow's events,tomorrow,,, 
how's my day tomorrow,tomorrow,,,
give me tomorrow's schedule,tomorrow,,,
Show my Tuesday calendar.,Tuesday,,, 
tell me my appointments on tuesday,Tuesday,,, 
What meetings do I have on Tuesday?,Tuesday,,, 
what meeting do I have Tuesday,Tuesday,,,
can you see if i had any appointments yesterday,yesterday,,,
Show me my events for yesterday,yesterday,,,
show me events yesterday with the title testing,yesterday,testing,,
show me events with kiran that were planned yesterday,yesterday,,kiran,
show yesterday's events,yesterday,,, 
What's my schedule for yesterday?,yesterday,,, 
what appointments I got yesterday,yesterday,,, 
what was yesterday's schedule,yesterday,,, 
what events did I had yesterday?,yesterday,,, 
what meetings did I have yesterday,yesterday,,, 
Pull up my calendar for yesterday.,yesterday,,, 
show me my schedule for yesterday,yesterday,,, 
What was on my calendar for last Monday?,yesterday,,, 
what did I do yesterday,yesterday,,, 
pull up yesterday's schedule,yesterday,,, 
Can you please show me what was on my calendar for yesterday?,yesterday,,, 
tell me when was the dress rehearsal yesterday,yesterday,dress rehearsal,,
What time was yoga class yesterday,yesterday,yoga class,,
when was my call with reena yesterday,yesterday,call,reena,
Show me events for yesterday,yesterday,,, 
show my events from yesterday,yesterday,,,
show my calendar events from yesterday,yesterday,,,
when is my next meeting,,,,next
when is next meeting,,,,next
Do i have any appointment with patrina,,,patrina,
do i have any appointment with uma rani,,,uma rani,
do i have any appointment with Amy,,,Amy,
do i have any appointment,,,,
can you see if i have any appointments,,,,
show my events with patrina with the title meeting,,meeting,patrina,
show me my events with deepak with the title appointment,,appointment,deepak,
show me the event with the title testing,,testing,,
show me appointment with Deepak,,,Deepak,
show me event with title testing,,testing,,
show me events with the title lets dance,,lets dance,,
show me events with title lets dance,,lets dance,,
show me events with title appointment,,appointment,,
show my events with the title testing testing testing,,testing testing testing,,
show me events with kiran,,,kiran,
show me event with Ming Ming Lee,,,Ming Ming Lee,
show me my events,,,,
show my events,,,,
What are my events,,,,
show my events with uma,,,uma,
show me the event with ellen,,,ellen,
What's coming up on my calendar,,,, 
what's on my schedule,,,,
what's on my diary,,,,
what's in my schedule,,,,
what's on my agenda,,,,
what meetings do i have,,,,
what events do I have,,,,
open my schedule,,,,
tell me my schedule,,,,
what is on my calendar,,,,
what is on my schedule,,,,
tell me my schedule,,,,
read my schedule,,,,
read my calendar events,,,,
show me my calendar,,,,
pull up my schedule,,,,
open up my schedule,,,,
I want to hear my schedule,,,,
what meetings do I have planned,,,,
what are my appointments,,,,
what are my commitments,,,,
what's going on In my schedule,,,,
open my calendar,,,,
read out my meetings planned,,,,
When is my doctor's appointment,,doctor's appointment,,
when is the product meeting,,product meeting,,
find out when the marketing meeting is,,marketing meeting,,
when is the all hands meeting scheduled for,,all hands meeting,,
when is the product backlog grooming session,,product backlog grooming session,,
search for the garage sale on my schedule,,garage sale,,
when is the ideation meeting,,ideation meeting,,
when is the 7digital call,,7digital call,,
when is the panel prep discussion call,,panel prep discussion call,,
what day is the DT call scheduled for,,dt call,,
what day is the company barbeque scheduled,,company barbeque,,
search for the company baseball game on my calendar,,company baseball game,,
when is the happy hour scheduled for,,happy hour,,
when is the hack for LA meetup,,hack for la meetup,,
when does my flight land in london,,flight land in london,,
what time do I land in los angeles,,land in los angeles,,
what time am I landing in monaco,,landing in monaco,,
what day is my trip to new york city,,trip to new york city,,
when did I schedule my vacation in hawaii,,vacation in hawaii,,
what time is the house cleaner coming,,house cleaner coming,,
what time did I schedule dry cleaning pickup,,dry cleaning pickup,,
when is my next yoga class,,yoga class,,
when are my judo classes scheduled,,judo classes,,
search for when my painting class is,,painting class,,
pull up my daily standup meeting details,,daily standup meeting,,
find out when katy's birthday party is,,katy's birthday party,,
when is grandma's birthday dinner,,grandma's birthday dinner,,
pull up shaun ross birthday dinner,,shaun ross birthday dinner,,
I want to find out when the launch to college event is,,launch to college,,
when is the college track graduation happening,,college track graduation,,
when is catherine's memorial day barbeque,,catherine's memorial day barbeque,,
when is the kendall jenner fashion event on my calendar,,kendall jenner fashion event,,
search for jennifer's visit on my schedule,,jennifer's visit,,
what day is the long beach FRC event,,long beach frc event,,
help me find when the sync up with india team is,,sync up with india team,,
pull up the christmas party event details,,christmas party event,,
what time is the food truck event,,food truck event,,
when was the marketing call scheduled,,marketing call,,
what time is the sony call scheduled for,,sony call,,
what time is the call with adi,,call,adi,
tell me when my meeting with Shawn carter is,,meeting,shawn carter,
Tell me when the wedding cake tasting is,,wedding cake tasting,,
What time is my dress rehearsal,,dress rehearsal,,
when is my interview with Jenny Chiu,,interview,jenny chiu,
What time is meeting with Halle,,meeting,halle,
when is my dentist appointment,,dentist appointment,,
When do I have to meet Jenna rogers,,,jenna rogers,
What time is my flight to New York,,flight to New York,,
When is my catch-up meeting with deepak,,catch-up meeting,deepak,
what time am I going to the dodgers game,,dodgers game,,
what time is my flight to houston scheduled,,flight to houston,,
When is tiffany landing,,tiffany landing,,
when is bob's graduation,,bob's graduation,,
what day is tim's party on my calendar,,tim's party,,
What time does the office christmas party begin,,office christmas party,,
what time is my doctor's appointment supposed to be,,doctor's appointment,,
What day am I having lunch with Pam,,lunch,pam,
When is the Kanye concert on my schedule,,kanye concert,,
what time is dinner with kathy matherson,,dinner,kathy matherson,
what time did I set breakfast with tom,,breakfast,tom,
what day is the adele concert in london,,adele concert in london,,
what day is the exterminator scheduled,,exterminator,,
when is my travel to st louis schedule,,travel to st louis,,
what day was the shoot with tommy lee scheduled,,shoot,tommy lee,
when did I schedule the pta meeting,,pta meeting,,
what day is the sundance application due,,sundance application due,,
search for the meeting with alan kane on my schedule,,meeting,alan kane,
when is my meeting with tiffany chew,,meeting,tiffany chew,
What time is Glady's Bridal shower,,glady's bridal shower,,
find the broad museum on my calendar,,broad museum,,
When time am I supposed to meet Amy,,,amy,
When is my CAA meeting,,CAA meeting,,
When did I schedule my morning run with Jill Saloway,,morning run,jill saloway,
what time did I schedule the buttons photo shoot,,buttons photo shoot,,
when is my visit to STEM academy scheduled,,visit to STEM academy,,
find my meeting with lee chien wong,,meeting,lee chien wong,
when did I schedule the Pam smith meeting,,meeting,pam smith,
What time is the Erykah badu show,,erykah badu show,,
When is the Kendrick lamar concert on my calendar,,kendrick lamar concert,,
When does mom's flight land,,mom's flight land,,
Where is my meeting with sam osolua,,meeting,sam osolua,
What time is the hike with Judy phu,,hike,judy phu,
What time is the beach bonfire this week,,beach bonfire,,
When is the halloween party scheduled,,halloween party,,
find my meeting scheduled with tom perry,,meeting,tom perry,
when do I have my next spinning class,,spinning class,,
what day is my meeting with tim cook,,meeting,tim cook,
when is my spa date with Samantha,,spa date,samantha,
when was my trip to vienna scheduled,,trip to vienna,,
when is my court date,,court date,,
what day is the LA film festival on my calendar,,LA film festival,,
when did I schedule the date with greg houston,,date,greg houston,
search for the holiday party on my calendar,,holiday party,,
find the dinner at nobu on my agenda,,dinner at nobu,,
when did I schedule walkies pick up,,walkies pick up,,
when is techcrunch disrupt happening,,techcrunch disrupt,,
show me my meeting with edgar c simmons,,meeting,edgar c simmons,
pull up the standup meeting details,,standup meeting,,
When is my gyno appointment,,gyno appointment,,
What time is my call with Frank anderson,,call,frank anderson,
tell me when do I have my doctor's appointment,,doctor's appointment,,
Tell me when is my orthodontics appointment,,orthodontics appointment,,
what time did I say was Yolanda's art showing,,yolanda's art showing,,
when do I have my massage scheduled,,massage,,
what time is my weekly vista meeting,,weekly vista meeting,,
when is my eye appointment scheduled,,eye appointment,,
pull up my insecure audition details,,insecure audition,,
when did I schedule my fox rehearsal,,fox rehearsal,,
what time is my sound check,,sound check,,
when did I schedule the marketing meeting,,marketing meeting,,
show me my VFX session with Francine o'connor,,vfx session,francine o'connor,
what time is the walk through at milk studios,,walk through at milk studios,,
When did I schedule the Rihanna photo shoot,,rihanna photo shoot,,
when time is my crossfit sessions happening,,crossfit sessions,,
when is that google meeting scheduled,,google meeting,,
what time is my appointment with Phil jones-trent,,appointment,phil jones-trent,
search my calendar for the pepsi meeting,,pepsi meeting,,
When is my mixing session scheduled for,,mixing session,,
when is my flight to chicago,,flight to chicago,,
when is the social impact conference on my calendar,,social impact conference,,
when's my interview with tom brooks,,interview,tom brooks,
pull up the details for my meeting with nancy paulson,,meeting,nancy paulson,
Tell me when I scheduled my interview with Lucas,,interview,lucas,
What time did I schedule dinner with ingrid ann moser,,dinner,ingrid ann moser,
pull up the details of my call with ken hertz,,call,ken hertz,
when is my recording session with Roger files,,recording session,roger files,
what time is color correct session with Dylan,,color correct session,dylan,
when did I schedule final sound mix with Tim,,final sound mix,tim,
When is the voice over recording with India love,,voice over recording,india love,
what time is catch-up meeting with Simon,,catch-up meeting,simon,
when is reading session with Erica sterns,,reading session,erica sterns,
what time is dress rehearsal with George r redding,,dress rehearsal,george r redding,
find the meeting with amy amsterdam on my schedule,,meeting,amy amsterdam,
when's my meeting with grace fu,,meeting,grace fu,
pull up my appointment with kenny k,,appointment,kenny k,
find my meetings with yohannes benson,,meetings,yohannes benson,
tell me when is my meeting with katy park,,meeting,katy park,
find my meeting with alan kravitz ,,meeting,alan kravitz,
what time's my appointment with james olin,,appointment,james olin,
what day is my meeting with kandace paik,,meeting,kandace paik,
search for meetings with kelly ann lee,,meetings,kelly ann lee,
can you find out when my meeting with joanna hanson is,,meeting,joanna hanson,
could you search for the meeting with sally stables,,meeting,sally stables,
when is the meeting with jc park,,meeting,jc park,
please tell me when my meeting with ll cool j is,,meeting,ll cool j,
when's my meeting happening with ola chin,,meeting,ola chin,
when is the meeting with carla p rogers for,,meeting,carla p rogers,
when is my meeting with alan r carter,,meeting,alan r carter,
when is the next meeting with alex ochevkin,,meeting,alex ochevkin,
search for my meeting with tom ford,,meeting,tom ford,
show my meetings with steven fletcher,,meetings,steven fletcher,
find out when my meeting with deepika is,,meeting,deepika,
find out when is my meeting with arul prasad,,meeting,arul prasad,
when is my meeting wih adi,,meeting,adi,
when's my meeting with him,,meeting,him,
show me when is my meeting with him,,meeting,him,
when am I meeting with him,,meeting,him,
when is my meeting with him,,meeting,him,
when is the meeting with him schedule,,meeting,him,
when did I schedule the meeting with him,,meeting,him,
what day is my meeting with him,,meeting,him,
when's the meeting with her,,meeting,her,
when was my meeting with her scheduled,,meeting,her,
find out when's my meeting with her,,meeting,her,
when's my meeting with her,,meeting,her,
when is the meeting with her scheduled,,meeting,her,
do I have a meeting with her,,meeting,her,
do I have an appointment with her,,appointment,her,
have I got an appointment scheduled with her,,appointment,her,
when is my appointment with her,,appointment,her,
when is the meeting with her,,meeting,her,
when's my meeting with her,,meeting,her,
show me events with Patrina,,,Patrina,
show my events with bhagyashree,,,bhagyashree,
what am I doing that day,that day,,,
what am I doing on that day,that day,,,
what am I doing on november 18th,november 18th,,,
what am I doing may 6th,may 6th,,,
what is it I'm doing that day,that day,,,
what is it that I am doing on Monday,Monday,,,
am I doing anything on december 4th,december 4th,,,
am I doing anything next Tuesday,next Tuesday,,,
am I doing anything on the 4th of march,4th of march,,,
what will I be doing on that day,that day,,,
what am I doing Tuesday,Tuesday,,,
what are my events on may 5th,may 5th,,,
what are my appointments on january 2nd,january 2nd,,,
what will I be doing on Tuesday,Tuesday,,,
what is it am I doing November 5th,November 5th,,,
what is it that I'm doing next Sunday,next Sunday,,,
What am I doing on the 18th of September,18th of September,,,
am I doing something on May 29th,May 29th,,,
am I doing anything july 12th,july 12th,,,
will I be doing anything on Tuesday,Tuesday,,,
will I be doing anything on june 4th,june 4th,,,
can you see if I have meetings tomorrow,tomorrow,,,
do I have any meetings tomorrow,tomorrow,,,
do I have any events Friday,Friday,,,
do I have any event tomorrow,tomorrow,,,
do I have event today,today,,,
do I have events today,today,,,
am I busy tomorrow,tomorrow,,,
am I busy on Sunday,Sunday,,,
check if I am busy on next Monday,next Monday,,,
do I have any appointments tomorrow,tomorrow,,,
do I have any meetings next Wednesday,next Wednesday,,,
do I have any plans march 4th,march 4th,,,
do I have anything scheduled this Thursday,Thursday,,,
do i have anything on the calendar for Sunday,Sunday,,,
do I have plans on May 8th,May 8th,,,
do I have plans tomorrow,tomorrow,,,
do I have anything planned next Sunday,next Sunday,,,
do I have any thing planned Monday,Monday,,,
what will be my schedule on June 14th,June 14th,,,
what does my Sunday look like,Sunday,,,
do I have events that day,that day,,,
do I have meetings that day,that day,,,
what's on my schedule that day,that day,,,
what's on my calendar that day,that day,,,
what's on my schedule for that day,that day,,,
what's my plans that day,that day,,,
what is on the calendar for that day,that day,,,
what's my plan that day,that day,,,
what's on the agenda that day,that day,,,
what will I be doing that day,that day,,,
that day what am I doing,that day,,,
that day what's on my schedule,that day,,,
what's going on that day on my schedule,that day,,,
what's going on in my schedule that day,that day,,,
what's up with my schedule that day,that day,,,
what's up with my schedule on that day,that day,,,
what's up with my schedule on Monday,Monday,,,
what's going on with the schedule Tuesday,Tuesday,,,
what's up with my schedule tomorrow,tomorrow,,,
do I have something going on next Monday,next Monday,,,
what do I have going on that day,that day,,,
what do I have going on next Tuesday,next Tuesday,,,
what am I doing tuesday,tuesday,,,
what am I doing november 2nd,november 2nd,,,
what am I doing on july 17th,july 17th,,,
what do I have scheduled for may 7th,may 7th,,,
what will I be doing on march 5th,march 5th,,,
will I be busy on may 5th,may 5th,,,
will I be busy Saturday,Saturday,,,
will I be busy on Monday,Monday,,,
am I busy next Tuesday,Tuesday,,,
do I have plans next Friday,next Friday,,,
am I doing anything Saturday,Saturday,,,
am I doing anything on Wednesday,Wednesday,,,
show my appointment with patrina with the title meeting,,meeting,patrina,
show my events with deepak with the title appointment,,appointment,deepak,
show my event with the title testing,,testing,,
show my appointment with Deepak,,,Deepak,
show my event with title testing,,testing,,
show my events with the title lets dance,,lets dance,,
show my events with title lets dance,,lets dance,,
show my events with title appointment,,appointment,,
show my events with the title testing testing testing,,testing testing testing,,
show my events with kiran,,,kiran,
show my event with Ming Ming Lee,,,Ming Ming Lee,
show my events on september 14th,september 14th,,,
show my events for Tuesday,Tuesday,,,
show my events next Monday,Monday,,,
show my appointments on Monday,Monday,,,
show my appointments next Sunday,next Sunday,,,
show my appointments with title meeting,,meeting,,
show my meetings on Thursday,Thursday,,,
show my meetings for may 17th,may 17th,,,
show my meetings next Wednesday,next Wednesday,,,
show my calendar for may 11th,may 11th,,,
show my schedule on Friday,Friday,,,
show my schedule for next Monday,next Monday,,,
show my schedule for that day,that day,,,
show my calendar event called baby shower,,baby shower,,
show my calendar events titled sprint planning,,sprint planning,,
show my calendar event called mom's birthday,,mom's birthday,,
show my meeting called yoga session,,yoga session,,
show my calendar event called mom's anniversary,,mom's anniversary,,
show events with katrina jones,,,katrina jones,
show events next Tuesday,next Tuesday,,,
show meetings for Monday,Monday,,,
show schedule for june 10th,june 10th,,,
show calendar events with john jones,,,john jones,
show meetings called deployment,,deployment,,
show events with marketing in the title,,marketing,,
show events with title party,,party,,
show happy hour events on my calendar,,happy hour,,
show doctor's appointments on my schedule,,doctor's appointments,,
show meetings with tom allan on my schedule,,,tom allan,
show my schedule for Friday,Friday,,,
show my calendar events with jane mason,,,jane mason,
show calendar events called hiking trip,,hiking trip,,
show meetings called control room planning,,control room planning,,
