TransportTaxiBook,TransportTaxiBookType,TransportTaxiBookOrigin,TransportTaxiBookDestination,TransportTaxiBookTime,context_uber
book a cab,,,,,
book a car  from Uber Suv for MG road,Uber Suv,,MG Road,,
book a car on uber to Shiv Colony from my location,uber,my location,Shiv colony,,
book a car,,,,,
Book a journey back to my place,,,,,back
book a lyft to take me to Beverly hills.,,,Beverly hills,,
book a passenger car from Uber app going to pune,Uber,,pune,,
Book a ride back to my place,,,,,back
book a ride to get back,,,,,get back
book a ride to go back,,,,,go back
Book a ride to the library with Pool.,Pool,,library,,
book a taxi,,,,,
Book a trip back to my place,,,,,back
Book a trip to location2 using Lyft Line.,Lyft Line,,location2,,
Book a uber back to my place,uber,,,,back
Book a Uber cab service going to Lagos,Uber,,Lagos,,
Book again with same details,,,,,again
book again with same details,,,,,again
Book an SUV to Hotel Avenue in Uber now,SUV,,Hotel Avenue,,
book an uber again,,,,,again
Book an Uber car pickup from home to Cheltenham Town Hall.,Uber,home,Cheltenham Town Hall,,
Book an uber for dodger stadium at 4pm,uber,,dodger stadium,4pm,
Book an uber for lax at 7pm,uber,,lax,7pm,
Book an Uber Go from 4 MG Road to Mount Road,Uber Go,4 MG Road,Mount Road,,
book an uber go to Central Park,uber go,,central park,,
Book an uber home,uber,,home,,
book an uber pool,uber pool,,,,
book an uber pool,uber pool,,,,
book an uber pool,uber pool,,,,
book an uber pool,uber pool,,,,
Book an Uber ride to 281 River St.,Uber,,281 River St,,
Book an Uber ride to the National Library,Uber,,National Library,,
Book an Uber ride to work,Uber,,work,,
Book an Uber SApp to take me to,Uber,,,,
Book an Uber SUV for me.,Uber SUV,,,,
book an uber suv,uber suv,,,,
book an uber there,uber,,there,,
book an uber there,uber,,there,,
book an uber there,uber,,there,,
Book an uber to bob hope airport at 1pm,uber,,bob hope airport,1pm,
Book an uber to Burbank airport at 4am,uber,,Burbank airport,4am,
Book an uber to Disney concert hall at 3pm,uber,,Disney concert hall,3pm,
Book an uber to dulles at 5pm,uber,,dulles,5pm,
book an uber to get back,uber,,,,get back
book an uber to go back,uber,,,,go back
Book an uber to john f Kennedy airport at 5am,uber,,john f Kennedy airport,5am,
Book an uber to Kennedy airport at 5pm tomorrow,uber,,Kennedy airport,5pm tomorrow,
Book an uber to la guardia at 2pm,uber,,la guardia,2pm,
Book an uber to lax at 5am tomorrow,uber,,lax,5am tomorrow,
Book an uber to lax tomorrow 5am,uber,,lax,tomorrow 5am,
Book an uber to long beach airport at 2am,uber,,long beach airport,2am,
Book an uber to midway at 1am,uber,,midway,1am,
book an uber to my earlier location,uber,,,,earlier
book an uber to my earlier ride,uber,,,,earlier
book an uber to my earlier trip,uber,,,,earlier
book an uber to my last location,uber,,,,last
book an uber to my last ride,uber,,,,last
book an uber to my last trip,uber,,,,last
book an uber to my previous location,uber,,,,previous
book an uber to my previous ride,uber,,,,previous
book an uber to my previous trip,uber,,,,previous
Book an uber to Nobu at 6pm,uber,,Nobu,6pm,
Book an uber to Nobu Malbu at 5pm,uber,,Nobu Malbu,5pm,
Book an uber to O'Hare airport at 3am,uber,,O'Hare airport,3am,
Book an uber to Ontario airport at 6pm,uber,,Ontario airport,6pm,
Book an Uber to pick me up at home in an hour.,Uber,Home,,hour,
book an uber to pick me up from rodeo drive.,uber,rodeo drive,,,
Book an uber to signature creative at 6am,uber,,signature creative,6am,
book an uber to take me to Crenshaw.,uber,,Crenshaw,,
book an uber to that one,uber,,that one,,
book an uber to that one,uber,,that one,,
book an uber to that place,uber,,that place,,
book an uber to that place,uber,,that place,,
book an uber to that restaurant,uber,,that restaurant,,
book an uber to that updated location,uber,,that,,
book an uber to that updated location,uber,,that,,
book an uber to that venue,uber,,that venue,,
book an uber to that,uber,,that,,
Book an uber to the broad museum tonight 6pm,uber,,broad,6pm,
book an uber to the first one,uber,,the first one,,
Book an uber to the grove at 5pm pickup,uber,,grove,5pm,
book an uber to the last one,uber,,the last one,,
book an uber to the mall,uber,,mall,,
book an uber to the second one,uber,,the second one,,
book an uber to this updated location,uber,,this,,
book an uber to this updated location,uber,,this,,
book an uber to this,uber,,this,,
Book an uber to Venice beach for 6pm today,uber,,Venice beach,6pm,
book an UberGo,UberGo,,,,
book an UberGo,UberGo,,,,
book an UberPool,UberPool,,,,
book an UberPool,UberPool,,,,
book an uberx,uberx,,,,
book an uberx,uberx,,,,
Book an UberXL to pick me up and take me to the Wells Fargo Center,UberXL,,Wells Fargo Center,,
Book Cab Service Uber SUV to Goa,Uber SUV,,Goa,,
book cab,,,,,
book car,,,,,
book for a cab service to my favourite destination,,,favourite destination,,
Book for cab service on uber to go to Bangalore,uber,,Bangalore,,
Book for cab service on uber to go to Chennai,uber,,Chennai,,
Book for me the uber service to Delhi,uber,,Delhi,,
book it again,,,,,again
Book lyft line to central park,,,To central park,,
book me a cab uber,uber,,,,
Book me a cab using UberSelect to reach Delhi.,UberSelect,,Delhi,,
Book me a lift from Lyft to take me home,,,Home,,
book me a lyft for this evening to pick me up from work,,work,,,
Book me a Uber SUV to Times Square,Uber SUV,,Times Square,,
Book me a Uber to Ground zero,Uber,,Ground zero,,
book me an uber black from 32 curson street for Ontario airport at 6pm,uber black,32 curson street,Ontario airport,6pm,
Book me an Uber Black from 32 S curson avenue to bob hope airport,Uber Black,32 S curson avenue,bob hope airport,,
book me an uber black,uber black,,,,
book me an uber home,uber,,home,,
book me an uber pool for bob hope airport at 1pm,uber pool,,bob hope airport,1pm,
book me an uber pool for Burbank airport at 4am,uber pool,,Burbank airport,4am,
book me an uber pool for Disney concert hall at 3pm,uber pool,,Disney concert hall,3pm,
book me an uber pool for dodger stadium at 4pm,uber pool,,dodger stadium,4pm,
book me an uber pool for dulles at 5pm,uber pool,,dulles,5pm,
book me an uber pool for john f Kennedy airport at 5am,uber pool,,john f Kennedy airport,5am,
book me an uber pool for Kennedy airport at 5pm tomorrow,uber pool,,Kennedy airport,5pm tomorrow,
book me an uber pool for la guardia at 2pm,uber pool,,la guardia,2pm,
book me an uber pool for lax at 5am tomorrow,uber pool,,lax,5am tomorrow,
book me an uber pool for lax at 7pm,uber pool,,lax,7pm,
book me an uber pool for lax tomorrow 5am,uber pool,,lax,tomorrow 5am,
book me an uber pool for long beach airport at 2am,uber pool,,long beach airport,2am,
book me an uber pool for midway at 1am,uber pool,,midway,1am,
book me an uber pool for Nobu at 6pm,uber pool,,Nobu,6pm,
book me an uber pool for Nobu Malbu at 5pm,uber pool,,Nobu Malbu,5pm,
book me an uber pool for O'Hare airport at 3am,uber pool,,O'Hare airport,3am,
book me an uber pool for Ontario airport at 6pm,uber pool,,Ontario airport,6pm,
book me an uber pool for signature creative at 6am,uber pool,,signature creative,6am,
book me an uber pool for the broad museum tonight 6pm,uber pool,,broad,6pm,
book me an uber pool for the grove at 5pm pickup,uber pool,,grove,5pm,
book me an uber pool for Venice beach for 6pm today,uber pool,,Venice beach,6pm,
book me an uber pool,uber pool,,,,
Book me an Uber ride to Doreah's BBQ on Downey Street.,Uber,,Doreah's BBQ on Downey Street,,
Book me an Uber ride to Pukinmaki.,Uber,,Pukinmaki,,
Book me an uber ride up to the capital building,uber,,capital building,,
Book me an Uber SUV to the airport.,Uber SUV,,Airport,,
Book me an Uber SUV to Times Square?,Uber SUV,,Times Square,,
book me an uber suv,uber suv,,,,
book me an uber there,uber,,there,,
book me an uber there,uber,,there,,
Book me an Uber to Fifth and Oak,Uber,,Fifth and Oak,,
Book me an uber to my home,uber,,home,,
book me an uber to that one,uber,,that one,,
book me an uber to that one,uber,,that one,,
book me an uber to that place,uber,,that place,,
book me an uber to that place,uber,,that place,,
book me an uber to that restaurant,uber,,that restaurant,,
book me an uber to that restaurant,uber,,that restaurant,,
book me an uber to that updated location,uber,,that,,
book me an uber to that updated location,uber,,that,,
book me an uber to that updated location,uber,,that,,
book me an uber to that venue,uber,,that venue,,
book me an uber to that venue,uber,,that venue,,
book me an uber to that,uber,,that,,
book me an uber to the first one,uber,,the first one,,
book me an uber to the first one,uber,,the first one,,
book me an uber to the last one,uber,,the last one,,
book me an uber to the last one,uber,,the last one,,
book me an uber to the second one,uber,,the second one,,
book me an uber to the second one,uber,,the second one,,
book me an uber to this updated location,uber,,this,,
book me an uber to this,uber,,this,,
book me an UberGo for bob hope airport at 1pm,UberGo,,bob hope airport,1pm,
book me an UberGo for Burbank airport at 4am,UberGo,,Burbank airport,4am,
book me an UberGo for Disney concert hall at 3pm,UberGo,,Disney concert hall,3pm,
book me an UberGo for dodger stadium at 4pm,UberGo,,dodger stadium,4pm,
book me an UberGo for dulles at 5pm,UberGo,,dulles,5pm,
book me an UberGo for john f Kennedy airport at 5am,UberGo,,john f Kennedy airport,5am,
book me an UberGo for Kennedy airport at 5pm tomorrow,UberGo,,Kennedy airport,5pm tomorrow,
book me an UberGo for la guardia at 2pm,UberGo,,la guardia,2pm,
book me an UberGo for lax at 5am tomorrow,UberGo,,lax,5am tomorrow,
book me an UberGo for lax at 7pm,UberGo,,lax,7pm,
book me an UberGo for lax tomorrow 5am,UberGo,,lax,tomorrow 5am,
book me an UberGo for long beach airport at 2am,UberGo,,long beach airport,2am,
book me an UberGo for midway at 1am,UberGo,,midway,1am,
book me an UberGo for Nobu at 6pm,UberGo,,Nobu,6pm,
book me an UberGo for Nobu Malbu at 5pm,UberGo,,Nobu Malbu,5pm,
book me an UberGo for O'Hare airport at 3am,UberGo,,O'Hare airport,3am,
book me an UberGo for Ontario airport at 6pm,UberGo,,Ontario airport,6pm,
book me an UberGo for signature creative at 6am,UberGo,,signature creative,6am,
book me an UberGo for the broad museum tonight 6pm,UberGo,,broad,6pm,
book me an UberGo for the grove at 5pm pickup,UberGo,,grove,5pm,
book me an UberGo for Venice beach for 6pm today,UberGo,,Venice beach,6pm,
book me an UberPool for bob hope airport at 1pm,UberPool,,bob hope airport,1pm,
book me an UberPool for Burbank airport at 4am,UberPool,,Burbank airport,4am,
book me an UberPool for Disney concert hall at 3pm,UberPool,,Disney concert hall,3pm,
book me an UberPool for dodger stadium at 4pm,UberPool,,dodger stadium,4pm,
book me an UberPool for dulles at 5pm,UberPool,,dulles,5pm,
book me an UberPool for john f Kennedy airport at 5am,UberPool,,john f Kennedy airport,5am,
book me an UberPool for Kennedy airport at 5pm tomorrow,UberPool,,Kennedy airport,5pm tomorrow,
book me an UberPool for la guardia at 2pm,UberPool,,la guardia,2pm,
book me an UberPool for lax at 5am tomorrow,UberPool,,lax,5am tomorrow,
book me an UberPool for lax at 7pm,UberPool,,lax,7pm,
book me an UberPool for lax tomorrow 5am,UberPool,,lax,tomorrow 5am,
book me an UberPool for long beach airport at 2am,UberPool,,long beach airport,2am,
book me an UberPool for midway at 1am,UberPool,,midway,1am,
book me an UberPool for Nobu at 6pm,UberPool,,Nobu,6pm,
book me an UberPool for Nobu Malbu at 5pm,UberPool,,Nobu Malbu,5pm,
book me an UberPool for O'Hare airport at 3am,UberPool,,O'Hare airport,3am,
book me an UberPool for Ontario airport at 6pm,UberPool,,Ontario airport,6pm,
book me an UberPool for signature creative at 6am,UberPool,,signature creative,6am,
book me an UberPool for the broad museum tonight 6pm,UberPool,,broad,6pm,
book me an UberPool for the grove at 5pm pickup,UberPool,,grove,5pm,
book me an UberPool for Venice beach for 6pm today,UberPool,,Venice beach,6pm,
book me an uberx for bob hope airport at 1pm,uberx,,bob hope airport,1pm,
book me an uberx for Burbank airport at 4am,uberx,,Burbank airport,4am,
book me an uberx for Disney concert hall at 3pm,uberx,,Disney concert hall,3pm,
book me an uberx for dodger stadium at 4pm,uberx,,dodger stadium,4pm,
book me an uberx for dulles at 5pm,uberx,,dulles,5pm,
book me an uberx for john f Kennedy airport at 5am,uberx,,john f Kennedy airport,5am,
book me an uberx for Kennedy airport at 5pm tomorrow,uberx,,Kennedy airport,5pm tomorrow,
book me an uberx for la guardia at 2pm,uberx,,la guardia,2pm,
book me an uberx for lax at 5am tomorrow,uberx,,lax,5am tomorrow,
book me an uberx for lax at 7pm,uberx,,lax,7pm,
book me an uberx for lax tomorrow 5am,uberx,,lax,tomorrow 5am,
book me an uberx for long beach airport at 2am,uberx,,long beach airport,2am,
book me an uberx for 432 S curson avenue from 809 N cahuenga blvd,uberx,809 N cahuenga blvd,432 S curson avenue,,
book me an uberx for midway at 1am,uberx,,midway,1am,
book me an uberx for Nobu at 6pm,uberx,,Nobu,6pm,
book me an uberx for Nobu Malbu at 5pm,uberx,,Nobu Malbu,5pm,
book me an uberx for O'Hare airport at 3am,uberx,,O'Hare airport,3am,
book me an uberx for Ontario airport at 6pm,uberx,,Ontario airport,6pm,
book me an uberx for signature creative at 6am,uberx,,signature creative,6am,
book me an uberx for the broad museum tonight 6pm,uberx,,broad,6pm,
book me an uberx for the grove at 5pm pickup,uberx,,grove,5pm,
book me an uberx for Venice beach for 6pm today,uberx,,Venice beach,6pm,
Book me an UberX from 211 P.N.Malia Road to bob hope airport,UberX,211 P.N.Malia Road,bob hope airport,,
book me uber now to down town,uber,,down town,,
book my journey back,,,,,back
book my return journey,,,,,return
book my return ride,,,,,return
book my return trip,,,,,return
book my ride back,,,,,back
book my trip back,,,,,back
book my uber back,uber,,,,back
book my uber return,uber,,,,return
Book OLA cab for Delhi international airport for tomorrow,,,Delhi international airport,,
book rental cab using a SUV to Milan for tomorrow,SUV,,Milan,tomorrow,
Book ride by Uber to K-mart.,Uber,,K-mart,,
book taxi,,,,,
Book the nearest Uber,Uber,,,,
book uber 5th avenue,uber,,book uber 5th avenue,,
book uber again,,,,,again
book uber black,uber black,,,,
BOOK Uber cab for airport for 1 me immediately,Uber,,Airport,,
Book uber cab from MG road to ST street at 9pm,uber,MG road,ST street,9pm,
book uber cab now,uber,,,,
book uber cab to new York,uber,,new York,,
Book Uber for Heathrow.,Uber,,Heathrow,,
Book Uber for me to Lucas Oil Stadium at 10am.,Uber,,Lucas Oil Stadium,,
Book uber for whyte ave. Edmonton,uber,,whyte ave. Edmonton,,
book uber now destination Pizza Luce,uber,,Pizza Luce,,
Book uber pool from downtown to Mount Road,uber pool,downtown,Mount Road,,
book uber pool,uber pool,,,,
Book Uber ride to Home,Uber,,Home,,
book Uber SUV for me for Monday 5pm to go to airport,Uber SUV,,airport,,
book uber suv please,uber suv,,,,
Book Uber SUV to location1.,Uber SUV,,location1,,
book uber suv,uber suv,,,,
book uber there,uber,,there,,
Book Uber to 281 River St.,Uber,,281 River St,,
book uber to 2nd street,uber,,2nd street,,
book uber to go to 2nd street,uber,,2nd street,,
book uber to go to new York city,uber,,new York city,,
book uber to my earlier location,uber,,,,earlier
book uber to my earlier ride,uber,,,,earlier
book uber to my earlier trip,uber,,,,earlier
book uber to my last location,uber,,,,last
book uber to my last ride,uber,,,,last
book uber to my last trip,uber,,,,last
book uber to my previous location,uber,,,,previous
book uber to my previous ride,uber,,,,previous
book uber to my previous trip,uber,,,,previous
book uber to new York city,uber,,new York city,,
book uber x,uber x,,,,
book uber,uber,,,,
Book Uber,Uber,,,,
book uber,uber,,,,
book uber,uber,,,,
Book UberGo from downtown to Mount Road,UberGo,downtown,Mount Road,,
book UberGo,UberGo,,,,
Book UberPool from downtown to Mount Road,UberPool,downtown,Mount Road,,
book UberPool,UberPool,,,,
Book UBERX from downtown to Mount Road,UBERX,downtown,Mount Road,,
book uberx,uberx,,,,
booked a u  from Uber Suv for MG road,Uber Suv,,MG Road,,
cab service on downtown Edmonton,,,downtown Edmonton,,
cab!,,,,,
Call a SUV cab to Thodupuzha through Uber,SUV,,Thodupuzha,,
Call a SUV taxi to Thodupuzha through Uber,SUV,,Thodupuzha,,
call an uber pool,uber pool,,,,
call an uber pool,uber pool,,,,
call an uber pool,uber pool,,,,
call an uber pool,uber pool,,,,
call an uber suv,uber suv,,,,
call an uber there,uber,,there,,
call an uber there,uber,,there,,
call an uber to take me to mariner's stadium,uber,,mariner's stadium,,
Call an Uber to take me to the airport,Uber,,airport,,
call an uber to that one,uber,,that one,,
call an uber to that one,uber,,that one,,
call an uber to that place,uber,,that place,,
call an uber to that place,uber,,that place,,
call an uber to that restaurant,uber,,that restaurant,,
call an uber to that updated location,uber,,that,,
call an uber to that updated location,uber,,that,,
call an uber to that venue,uber,,that venue,,
call an uber to the first one,uber,,the first one,,
call an uber to the last one,uber,,the last one,,
call an uber to the second one,uber,,the second one,,
call an uber to this updated location,uber,,this,,
call an uber to this updated location,uber,,this,,
call an UberGo,UberGo,,,,
call an UberGo,UberGo,,,,
call an UberPool,UberPool,,,,
call an UberPool,UberPool,,,,
call an uberx,uberx,,,,
call an uberx,uberx,,,,
Call and Uber from here to Bar Louie,Uber,here,Bar Louie,,
Call for Uber to Bond Street.,Uber,,Bond Street,,
Call me a radio cab to take me to 128 East Broadway,,,128 East Broadway,,
call me an uber black,uber black,,,,
call me an uber pool,uber pool,,,,
call me an uber suv,uber suv,,,,
call me an uber there,uber,,there,,
call me an uber to get there,uber,,there,,
call me an uber to get there,uber,,there,,
call me an uber to get to that one,uber,,that one,,
call me an uber to get to that one,uber,,that one,,
call me an uber to get to that place,uber,,that place,,
call me an uber to get to that place,uber,,that place,,
call me an uber to get to that restaurant,uber,,that restaurant,,
call me an uber to get to that restaurant,uber,,that restaurant,,
call me an uber to get to that updated location,uber,,that,,
call me an uber to get to that updated location,uber,,that,,
call me an uber to get to that venue,uber,,that venue,,
call me an uber to get to that venue,uber,,that venue,,
call me an uber to get to the first one,uber,,the first one,,
call me an uber to get to the first one,uber,,the first one,,
call me an uber to get to the last one,uber,,the last one,,
call me an uber to get to the last one,uber,,the last one,,
call me an uber to get to the second one,uber,,the second one,,
call me an uber to get to the second one,uber,,the second one,,
call me an uber to get to this updated location,uber,,this,,
call me an uber to get to this updated location,uber,,this,,
Call me an uber to go to waterloo station,uber,,waterloo station,,
Call me an Uber to pick me up at my current location.,Uber,my current location,,,
call me an uber to that one,uber,,that one,,
call me an uber to that place,uber,,that place,,
call me an uber to that restaurant,uber,,that restaurant,,
call me an uber to that updated location,uber,,that,,
call me an uber to that venue,uber,,that venue,,
call me an uber to the corner store,uber,,corner store,,
call me an uber to the first one,uber,,the first one,,
call me an uber to the last one,uber,,the last one,,
Call me an Uber to the library,Uber,,library,,
call me an uber to the second one,uber,,the second one,,
call me an uber to this updated location,uber,,this,,
call uber black,uber black,,,,
call uber pool,uber pool,,,,
Call Uber SUV and book me a car for a travel to Milan for tomorrow morning,Uber SUV,,Milan,tomorrow morning,
call uber suv please,uber suv,,,,
call uber suv,uber suv,,,,
call uber there,uber,,there,,
Call Uber to book transport from home to work,Uber,home,work,,
Call Uber to get a ride,Uber,,,,
Call Uber to go to Philadelphia's city hall,Uber,,Philadelphia's city hall,,
Call Uber to take me home,Uber,,home,,
call Uber to take me to Cooper Surgical center,Uber,,Cooper Surgical center,,
call uber to that one,uber,,that one,,
call uber to that place,uber,,that place,,
call uber to that restaurant,uber,,that restaurant,,
call uber to that updated location,uber,,that,,
call uber to that venue,uber,,that venue,,
call uber to the first one,uber,,the first one,,
call uber to the last one,uber,,the last one,,
call uber to the second one,uber,,the second one,,
call uber to this updated location,uber,,this,,
call uber x,uber x,,,,
call uber,uber,,,,
call UberGo,UberGo,,,,
call UberPool,UberPool,,,,
call uberx,uberx,,,,
Can I book an Uber ride to City Hall?,Uber,,City Hall,,
Can I book an Uber ride to the Harbor Bridge?,Uber,,Harbor Bridge,,
Can I get a Lyft Line to the Bank of America?,,,Bank of America,,
can you Book again with same details,,,,,again
Can you book an Uber to take me to Starbucks.,Uber,,Starbucks,,
can you book me  the Uber service to ground zero,Uber,,ground zero,,
Can you book me a cab service to thirty Gardner Street Gloucester?,,,thirty Gardner Street Gloucester,,
Can you book me a Uber SUV now,Uber SUV,,,,
Can you book me an Uber car to Cheltenham Town Hall,Uber,,Cheltenham Town Hall,,
Can you book me an Uber to go to the movies?,Uber,,movies,,
Can you book me an Uber to take me to the Town Festival tonight?,Uber,,Town Festival,,
can you book my uber again with same details,,,,,again
can you book my uber again,,,,,again
Can you book the uber with this updated destination,uber,,this,,
Can you book this ride,,,,,
can you find a cab to get back,,,,,get back
can you find a cab to get back,,,,,get back
can you find a cab to go back,,,,,go back
can you find a cab to go back,,,,,go back
can you find a cab to return,,,,,return
can you find a cab to return,,,,,return
can you find a taxi to get back,,,,,get back
can you find a taxi to go back,,,,,go back
can you find a taxi to return,,,,,return
can you find an uber to get back,uber,,,,get back
can you find an uber to go back,uber,,,,go back
can you find an uber to return,uber,,,,return
Can you find me a ride going to Technohub.,,,Technohub,,
Can you get a lyft to pick me up where I am now,,where I am,,now,
Can you get an Uber SUV to the bar next to me?,Uber SUV,,bar,,
can you get me an uber to get back,uber,,,,get back
can you get me an uber to go back,uber,,,,go back
Can you get me an Uber to Publix?,Uber,,Publix,,
can you get me an uber to return,uber,,,,return
can you get me my uber again with same details,,,,,again
can you get me my uber again,,,,,again
can you get me there,,,there,,
can you get me to my earlier location ,,,,,earlier
can you get me to my earlier ride ,,,,,earlier
can you get me to my earlier trip ,,,,,earlier
can you get me to my last location ,,,,,last
can you get me to my last ride ,,,,,last
can you get me to my last trip ,,,,,last
can you get me to my previous location ,,,,,previous
can you get me to my previous ride ,,,,,previous
can you get me to my previous trip ,,,,,previous
Can you me call an Uber to State Street?,Uber,,State Street,,
Can you please book again with same details,,,,,again
Can you please book this ride with UBer SUV,UBer SUV,,,,
can you request an uber to safeway,uber,,safeway,,
can you take me  there,,,there,,
can you take me  to my earlier location ,,,,,earlier
can you take me  to my earlier ride ,,,,,earlier
can you take me  to my earlier trip ,,,,,earlier
can you take me  to my last location ,,,,,last
can you take me  to my last ride ,,,,,last
can you take me  to my last trip ,,,,,last
can you take me  to my previous location ,,,,,previous
can you take me  to my previous ride ,,,,,previous
can you take me  to my previous trip ,,,,,previous
can you take me there,,,there,,
can you take me there,,,there,,
can you take me to my earlier location,,,,,earlier
can you take me to my earlier location,,,,,earlier
can you take me to my earlier ride,,,,,earlier
can you take me to my earlier ride,,,,,earlier
can you take me to my earlier trip,,,,,earlier
can you take me to my earlier trip,,,,,earlier
can you take me to my last location,,,,,last
can you take me to my last location,,,,,last
can you take me to my last ride,,,,,last
can you take me to my last ride,,,,,last
can you take me to my last trip,,,,,last
can you take me to my last trip,,,,,last
can you take me to my previous location,,,,,previous
can you take me to my previous location,,,,,previous
can you take me to my previous ride,,,,,previous
can you take me to my previous ride,,,,,previous
can you take me to my previous trip,,,,,previous
can you take me to my previous trip,,,,,previous
can you take us there,,,there,,
can you take us to my earlier location,,,,,earlier
can you take us to my earlier ride,,,,,earlier
can you take us to my earlier trip,,,,,earlier
can you take us to my last location,,,,,last
can you take us to my last ride,,,,,last
can you take us to my last trip,,,,,last
can you take us to my previous location,,,,,previous
can you take us to my previous ride,,,,,previous
can you take us to my previous trip,,,,,previous
central park uber go,uber go,,central park,,
check cheapest uber cab to new York and book it,uber,,new York,,
check if any uber rides are available here and book one for me.,uber,,,,
check uber pool from  MG street to Mount Road,uber pool,MG Street,Mount Road,,
check UberGo from  MG street to Mount Road,UberGo,MG Street,Mount Road,,
check UberPool from  MG street to Mount Road,UberPool,MG Street,Mount Road,,
check UBERX from  MG street to Mount Road,UBERX,MG Street,Mount Road,,
Contact the Uber closest to me,Uber,,,,
Could you find a cab to the park?,,,park,,
