TransportTaxiCurrentStatusQ,TransportTaxiCurrentStatusType,TransportTaxiCurrentStatusArrivalTimeOrigin
What is the status of my Uber?,Uber,
Where is my Uber?,Uber,
Can you check the status of my Uber?,Uber,
Where is my Uber ride?,Uber,
when will my uber arrive?,uber,
Check to see how long it will be until Uber arrives.,Uber,
What is the Status of my UberX?,UberX,
how far away is my uber,uber,
What's the status of my Uber SUV?,Uber SUV,
Tell me the current status of my Uber SUV cab.,Uber SUV,
Is something wrong with my Uber?,Uber,
HOW MUCH LONGER OF A WAIT DO I HAVE TO GET A RIDE FROM UBER SUV?,UBER SUV,
What is my lyft line's current status update?,lyft line,
What is the status for my Uber X ride?,Uber X,
how long until the uber comes,uber,
When will my Uber arrive?,Uber,
Check the status of my Uber,Uber,
tell me the current status of my uber suv,uber suv,
What is the current status of Uber SUV.,Uber SUV,
"Aneeda, can you find the location of my Uber right now.",Uber,
Mind telling me current status of Uber?,Uber,
get me the status of my uber SUV service,uber SUV,
How long until my Lyft gets here?,Lyft,
how long my Uber will take to arrive,Uber,
How far away is my Uber SUV?,Uber SUV,
When will my Yellow Cab arrive to pick me up?,Yellow Cab,
Is my Uber on its way?,Uber,
Where is that Uber I asked for,Uber,
What is the status of my uber?,uber,
What is the status of my Uber ride?,Uber,
Uber Select current status report.,Uber Select,
Check the current status of Uber SUV,Uber SUV,
Where's my Uber?,Uber,
What is the Status for my Lyft line,Lyft line,
How far away from home is my UberXL?,UberXL,
Check the distance my uber is away,uber,
whats the status of uber,uber,
how much longer till my Uber car arrives,Uber,
how soon will the uber be here?,uber,
I need to know when Lyft will have my car ready.,Lyft,
check my Uber cab,Uber,
where's my Uber at?,Uber,
How long until my uber gets here?,uber,
Robot please see when my Ford is going to be here to pick me up,Ford,
Where is my Uber SUV at right now?,Uber SUV,
Find out the status of my Uber cab bookings.,Uber,
where is my uber?,uber,
Show me the status of my Uber SUV pickup.,Uber SUV,
Give me a status report on my cab.,cab,
Is my uber coming?,uber,
Tell me the location of my Uber SUV,Uber SUV,
tracking Uber current status,Uber,
Can you show me where my cab is?,cab,
Where is my Uber?,Uber,
What is current location of Uber,Uber,
How close is my Uber?,Uber,
Get me a status of my uber booking,uber,
How far away is my Lyft Plus ride from my location.,Lyft Plus,
Review the current status of the SUV taxi booked in Uber just before 100 minutes,SUV,
What is the status on my Uber Black arrival time?,Uber Black,
Check my Lyft's cab location,Lyft,
Find out the status of Uber,Uber,
I want to check the status of my Uber ride.,Uber,
Uber arrival time,Uber,
Where is my Uber driver?,Uber,
how far away is my uber,uber,
Where is the current location of my Uber?,Uber,
show me my uber,uber,
show status of uber booking,uber,
Where is my Uber?,Uber,
What's going on with my Uber ride,Uber,
See where my Uber is at,Uber,
provide the current status of my uber suv,uber suv,
Tell me where my Lyft is.,Lyft,
What street is my Uber ride on?,Uber,
Check Uber SUV current status.,Uber SUV,
Tell me how much time I have left for driving the Bugatti.,Bugatti,
Show me status for last Uber booking,Uber,
When will my Uber get here?,Uber,
how long before my uber arrives,uber,
Display Uber Cab Status,Uber,
What is my Uber's current location?,Uber,
Where is my uber located,uber,
How far away is my Uber?,Uber,
Show me where my Uber is.,Uber,
How long until my Uber arrives?,Uber,
how long for uber to get here,uber,here
What is the location of my uber?,uber,
Where exactly is my lyft plus car at,lyft plus,
Pull up current status of Uber,Uber,
"Please check the status of my lyft ride, how close is it?",lyft,
cab wait time status,cab,
How much longer until my Uber arrives?,Uber,
when is my cab gonna get here,cab,
Where is the UberXL I requested?,UberXL,
Tell me where the Uber car i ordered is.,Uber,
Open Uber Application and find me status.,Uber,
Please search for the current status for sedan booked by me,sedan,
What is the status of my Uber ride?,Uber,
When will my Uber SUV arrive at the pick-up point,Uber SUV,
"Hey Aneeda, check status of uber cab.",uber,
Give me the status of my Uber.,Uber,
how long will it take for my uber to come,uber,
How long until my Uber gets here?,Uber,
can you give me my cab status from uber?,uber,
when will my uber arrive?,uber,
"Where are we at right now, Uber?",Uber,
How far away is my Uber Audi?,Uber Audi,
Check Uber SUV Status,Uber SUV,
When will my Uber arrive?,Uber,
Display today's status for Lyft Line.,Lyft Line,
check my Uber,Uber,
Give me an update on my Uber driver.,Uber,
Where Cab Uber SUV,Uber SUV,
Get current status for Uber,Uber,
Aneeda can you tell me how far away my Uber driver is from my location.,Uber,my location
Find out when Uber is coming,Uber,
Can you check on my Uber SUV?,Uber SUV,
Where is Uber,Uber,
Pull up the status for my Uber.,Uber,
"Hey, Let me know the status of my latest booking with Lyft Line",Lyft Line,
Could I get a status update on my Uber ride?,Uber,
Is my Uber there yet?,Uber,
How far away is my Uber?,Uber,
Is my Lyft Line getting close?,Lyft Line,
get uber status,uber,
Where is my Lyft at?,Lyft,
What's the status of my Uber SUV?,Uber SUV,
When will my Uber arrive?,Uber,
where is my cab,cab,
update status of uber booking,uber,
Please locate my Uber ride and tell how far away they are.,Uber,
may i know where my cab is?,cab,
What time will my uber arrive at my house?,uber,
How long until my Uber SUV arrives?,Uber SUV,
Uber Estimated time of arrival,Uber,
"Aneeda, show me the status of my Uber suv",Uber suv,
How close is the Uber SUV to my exact location?,Uber SUV,
how long till my uber reaches me?,uber,
What time is my uber sedan scheduled to pick me up?,uber sedan,
How far away is my Uber?,Uber,
what's the current status of my lyft ride,lyft,
I want to check on my uber vehicle,uber,
How much longer till uber comes?,uber,
Where is my UberX?,UberX,
how long for my uber,uber,
check my Status in Uber,Uber,
"Galaxy, how long until my Uber arrives to pick me up?",Uber,
How quickly will my uber be here?,uber,here
When will my Uber arrive?,Uber,
How much longer for Uber ride.,Uber,
What is the status of my Uber?,Uber,
Where is my Uber?,Uber,
Uber location,Uber,
Show me the current status of my Lyft Line,Lyft Line,
When will my Uber car arrive?,Uber,
what is my current lyft status,lyft,
How long would it take Uber to reach me at home?,Uber,home
how fast can Uber taxi get in Rongai from Nairobi city?,Uber taxi,Nairobi city
how long will it take to get an uber to my house,uber,my house
Request estimated arrival Uber to Kakanad,Uber,Kakanad
What time will Uber arrive here?,Uber,here
When can an Uber pick me up?,Uber,
how long would an uber get to me,uber,
When will Uber get to my house?,Uber,my house
Find the estimated arrival time of Uber SUV at World Trade Center,Uber SUV,World Trade Center
How long would it take to get an Uber to pick me up from Soldier Field?,Uber,Soldier Field
At what time will the Uber car arrive at my Home address,Uber,Home address
Arrival time of Uber to home?,Uber,home
When will my Uber get to my work?,Uber,work
when will my uber driver get here,uber,here
Get the arrival time of Uber for pick-up me from sector 20 Chandigarh.,Uber,sector 20 Chandigarh
Tell me Status of my UberPool.,UberPool,
Give estimated time of arrival of a Uber Suv on my home address.,Uber Suv,home address
What estimated time will my uber arrive at my home,uber,my home
When will the Uber SUV arrive here,Uber SUV,
When will Uber arrive to pick me up?,Uber,
How soon will my Uber meet me at the Galleria Mall?,Uber,Galleria Mall
how long until uber gets to my house,uber,my house
What time will my Uber ride pick me up at City Hall?,Uber,City Hall
When will my Uber arrive?,Uber,
Get the estimated arrival time of Uber at Brooklyn Bridge,Uber,Brooklyn Bridge
What is the Status of my Uber to pick me up from Shamshabad Airport,Uber,Shamshabad Airport
How long will it take an Uber SUV to pick me up?,Uber SUV,
How long would it take an Uber to pick me up?,Uber,
When will the Uber cab arrive?,Uber,
How long will it take for an UBER to pick me up an UNC Charlotte?,UBER,UNC Charlotte
How long until Uber arrival at my office,Uber,my office
How long will it take for my cab to get to my house if am using an Uber car service?,Uber,My house
Tell me Status for my Uber SUV to my location,Uber SUV,
What time can Lyft pick me up?,Lyft,
When will my Uber get here?,Uber,
What time will Lyft arrive at My House.,Lyft,My House
What is the estimated time of arrival for my Uber?,Uber,
how long will it take for me to get an Uber?,Uber,
When's the Uber ride going to get here?,Uber,here
WHAT IS THE ESTMATED ARRIVAL TIME OF THE UBER SUV CAB TO THE AIRPORT,UBER SUV,
UBER MANCHESTER STREET  estimated arrival time,UBER,MANCHESTER STREET
When will uber arrive,uber,
When will my Uber arrive,Uber,
find the estimate arrival of uber cabs near times square,uber,times square
How long will it take Lyft to get to me?,Lyft,
When will my Pool ride get here?,Pool,
How soon can an Uber pick me up?,Uber,
What time will my Uber ride get here?,Uber,here
"Aneeda, how long will it take Milton Taxi Service to reach the Watson Inn in Watsontown, PA?",Milton Taxi,"Watson Inn in Watsontown, PA"
Find out how long it will take to reach my place to pick me up  for Uber service,Uber,
What is the latest status for my Uber ride?,Uber,
how long for an uber,uber,
What is the latest update for our Uber?,Uber,
How much time does it take me to get to my destination in Uber?,Uber,
get me estimated uber arrival time to my pick-up location,uber,
What time is my Uber coming?,Uber,
How long would it take Uber to arrive for a pick-up at 4th and Main?,Uber,4th and Main
How long until an uber can get here?,uber,here
How long would it take an Uber to pick me up at my current location?,Uber,my current location
estimated arrival of Uber to house,Uber,house
What time will my Uber pick me up from here?,Uber,here
How long will it take Uber to get here?,Uber,Here
Search for me the estimated arrival time of Lyft Line at Battery Park,Lyft Line,Battery Park
How long would it take  an Uber SUV to get to my location?,Uber SUV,my location
Uber how long will it take for car to arrive to 14807 145 Street?,Uber,14807 145 Street
How long until the Uber arrives?,Uber,
When will my uber arrive to pick me up from work,uber,work
When will my Uber get here?,Uber,here
How long would it take an Uber service to pick me up at home?,Uber,home
What is my estimated time of pick up at the Troy Public Library by Uber?,Uber,Troy Public Library
Arrival time of Uber SUV at JFK International Airport.,Uber SUV,JFK International Airport
"Aneeda, How long will it take Lyft to pick me up from Iota, LA",Lyft,"Iota, LA"
Aneeda find out when my UberXL is going to pick me up,UberXL,
What is the estimated time of arrival for Uber at my present location,Uber,my present location
How long will it take an Uber to get here?,Uber,
when will my uber be here,uber,
How long will take for the Yellow Cab to get to Starbucks ?,Yellow Cab,Starbucks
How long will it take for my Uber driver to arrive?,Uber,
Display arrive time to House of Blues via Uber,Uber,House of Blues
HOW MUCH TIME IT WILL TAKE TO PICK UP ME FROM CENTRAL RAILWAY STATION IN UBER,UBER,CENTRAL RAILWAY STATION
shortest uber arrival time,uber,
When will Uber be here?,Uber,here
What time can Uber pick me up at home?,Uber,home
"Please check the  arrival time of Uber SUV, which I have booked.",Uber SUV,
How long would it take for Lyft to pick me up?,Lyft,
Give me the estimated arrival for Uber to pick me up at my house.,Uber,My house
estimated arrival time of pickup for uber cab,uber,
how quick can an Uber pick me up,Uber,
How long for Uber to get to me?,Uber,
"Open Uber, estimate arrival time",Uber,
When does my Uber arrive from home?,Uber,Home
What is the arrival time at pick up point for a ride from Chennai to Madurai in Uber,Uber,Chennai
How long will it take Uber to arrive at Applebees on Thompson Lane?,Uber,Applebees on Thompson Lane
How long would it take Uber to get to 5th street,Uber,5th street
Hey Aneeda get me the details of estimated arrival time of Uber to pick up me from banjara hils,Uber,banjara hils
how long before uber SUV reaches my location?,uber SUV,
"Hi Lyft Line, When is your estimated time of arrival for picking me up in Ooty?",Lyft Line,Ooty
find me the estimated arrival time to central park for uber,uber,central park
When will my uber arrive?,uber,
How long would it take Uber to get here?,Uber,
what time does the radiotaxi will arrive at colosseo in rome?,radiotaxi,colosseo in rome
what is the arrival time for an uber,uber,
What time will my Uber be at my house to pick me up?,Uber,my house
How long would it take for Lyft to pick me up at work?,Lyft,work
How long until an Uber car gets here?,Uber,here
uber pickup time,uber,
How long will it take Uber to pick me up at home?,Uber,Home
show arrival time of uber to home,uber,home
"Aneeda, how long would it take for an Uber to come pick me up from my current location?",Uber,current location
Estimated time of Arrival for Uber Pool at Parking Street,Uber Pool,Parking Street
How long would it take for Pool to pick me up right now at home?,Pool,home
TELL ME TIME WHEN UBER IS COMING TO PICKUP ME FROM PARLIMENT,UBER,PARLIMENT
"Hi Aneeda, when will the Uber SUV be at my home to pick me up?",Uber SUV,my home
What time will Pool be here to pick me up?,Pool,
How long will it take until my Uber ride to get here?,Uber,
how long will take a uber to pick me up at the empire state building,uber,empire state building
What is the estimated arrival time of Ubergo in my location,Ubergo,My location
How long until Uber arrives at McDonalds?,Uber,McDonalds
What is the estimated arrival time at my house for my Uber ride?,Uber,My house
show estimated time of uber to reach home,uber,home
How much time would an uber take to reach times square,uber,times square
when will my uber arrive?,uber,
Hello Aneeda what is the status of my Uber to arrive?,Uber,
When would I get Uber in Boston if I wanted to leave as soon as possible?,Uber,Boston
estimate arrival of uber suv to 10th avenue,uber suv,10th avenue
How long before an Uber can pick me up,Uber,
Show Estimated arrival time of Uber Suv to pick-up,Uber Suv,
How long will it take for uber cab to pick me at mg road,uber,mg road
Estimate Uber arrival time to my current location,Uber,My current location
WHEN WILL UBER ARRIVE AT NEWYORK AIRPORT TO PICK ME,UBER,NEWYORK AIRPORT
Find the arrival time of Uber Select cab to DT Cinema.,Uber Select,DT Cinema
What time will the Uber be at my home to pick me up?,Uber,my home
When is my Uber supposed to be here?,Uber,here
Tell me the time of arrival of an Uber cab at my home,Uber,Home
Estimate arrival time for Uber to pick me up at home?,Uber,home
Result estimated arrival Uber to Kakanad,Uber,Kakanad
How long will Lyft take to arrive at my house,Lyft,my house
How long will it take for an Uber to get here?,Uber,here
how long would it take for an uber to get to my house,uber,my house
What time will Uber get to the office?,Uber,office
Please find the estimated arrival time of Uber SUV at World Trade Center,Uber SUV,World Trade Center
How much longer until the Uber arrives at Notre Dame?,Uber,Notre Dame
How long will it take for the Uber car to come to Citypoint Mall,Uber,Citypoint Mall
Uber E.T.A home,Uber,home
What is the arrival time for my Uber?,Uber,
how long until uber driver is here,uber,here
Find time to pick up me by Uber.,Uber,
Get latest status of my Uber SUV to my location,Uber SUV,my location
Tell estimated time of arrival of a Uber Suv on my home address.,Uber Suv,home address
Estimate how long it takes Lyft to arrive at my home,Lyft,My home
What is the status of my booked Uber,Uber,
Please tell me the estimated time it will take Uber to pick me up from my house.,Uber,my house
When will my Lyft Line pick me up at Walmart?,Lyft Line,Walmart
arrival time of bus at my house,bus,my house
I want to know how long it will take for my Uber ride to pick me up at City Hall.,Uber,City Hall
Show my Uber's current status,Uber,
How long is the wait for Uber?,Uber,
Just get the estimated arrival time of Uber at Brooklyn Bridge,Uber,Brooklyn Bridge
How much time does Uber cabs take to arrive at Shamshabad Airport to pick me up.,Uber,Shamshabad Airport
How long will it take a Lyft to get to my current location,Lyft,Current Location
How long would it take to be picked up from 123 Example Road by Pool?,Pool,123 Example Road
How much longer till the Uber get here?,Uber,here
When can an UBER pick me up from IKEA?,UBER,IKEA
When will Lyft pick me up at 7th street,Lyft,7th street
How long will it take for an Uber SUV cab to get to Lagos?,Uber SUV,Lagos
Find the status for my Uber SUV,Uber SUV,
Check to see Uber arrival time,Uber,
How long will Lyft take to get to Subway.,Lyft,Subway
How long until my Uber gets here?,Uber,
how close is the nearest Uber to me?,Uber,
What time will the Uber ride get here?,Uber,here
THE LYFT LINE CAB WHAT IS THEIR ESTIMATED ARRIVAL TIME TO THE STADIUM,LYFT LINE,
UBER MANCHESTER STREET estimated time OF arrival,UBER,MANCHESTER STREET
when will uber reach my home,uber,home
How long for Uber to get here,Uber,
find uber cabs near time from times square,uber,times square
What is the estimated time for Lyft to get here?,Lyft,here
How long until the Uber reaches my location?,Uber,
What is the soonest that Uber can pick me up from my present location?,Uber,present location
When will Uber get to my house?,Uber,my house
"Aneeda, how quickly will it take an Uber driver to pick me up on Market Street in Lewisburg?",Uber,Market Street in Lewisburg
ask Uber to find out how long they will take to reach my home for pick up,Uber,
how long will it take uber to pick me up at easton,uber,easton
When is the next Uber available to pick me up?,Uber,
wait time for an uber,uber,
How long for the Yellow Cab to get here?,Yellow Cab,here
How much time does Uber takes to take me to the airport from home?,Uber,home
estimate arrival time to whitehouse for pick-up by uber?,uber,whitehouse
When should my Uber get here?,Uber,
What is the estimated time for an Uber pick-up at 4th and Main?,Uber,4th and Main
How long would it take a Lyft to pick me up at the JFK Airport?,Lyft,JFK Airport
Uber's estimated arrival time to house,Uber,house
About how long until my Uber gets here?,Uber,here
When will Uber arrive?,Uber,
Just search for me the estimated arrival time of Lyft Line at Battery Park,Lyft Line,Battery Park
What time will the Lyft Line get to my house?,Lyft Line,my house
Uber I am at 14807 145 Street - how long will it take to get a car here?,Uber,14807 145 Street
When will the Cab arrive at my location?,Cab,my location
How long till my Uber arrives to work for my pickup,Uber,work
When will my Uber SUV arrive at my house?,Uber SUV,my house
How many minutes would it take an Uber car to reach me at home?,Uber,home
When will the Uber arrive at the Lakeside Mall in Sterling Heights to pick me up?,Uber,Lakeside Mall in Sterling Heights
Uber SUV arrival time at JFK International Airport.,Uber SUV,JFK International Airport
"When will Uber arrive to pick me up in Iota, LA",Uber,"Iota, LA"
Aneeda where is my requested UberXL,UberXL,
How long will it take Uber to get to my present location,Uber,my present location
What is the current status of my UberX?,UberX,
will my uber be here soon,uber,
What's the estimated time of arrival for the Barwood Taxi to get to Starbucks ?,Barwood Taxi,Starbucks
How many minutes will it take for my uber to arrive at my current location?,uber,current location
Estimated time for Lyft to reach Union Station,Lyft,Union Station
ESTIMATED ARRIVAL TIME OF UBER SUV CAB TO PICK ME UP IN EGMORE,UBER SUV,EGMORE
What's the status for my Uber?,Uber,
When can an Uber arrive at 530 Randall Road to pick me up?,Uber,530 Randall Road
Can you tell me the arrival time of Uber SUV that I booked.,Uber SUV,
How far away is the closest Uber car?,Uber,
Time of Pool to workplace,Pool,workplace
Show me the estimated time in which Lyft Line can get to me at the airport.,Lyft Line,Airport
pickup time for uber cab,uber,
what time can an Uber arrive at my location,Uber,my location
How long do I have to wait for a ride from Pool?,Pool,
"Open Uber, estimate pick-up time",Uber,
What is the current status of my Uber?,Uber,
When will Uber SUV reach at pick up point  Bangalore for a ride to OOtty,Uber SUV,Bangalore
How long until pool picks me up?,pool,
What time will Uber get to the Nashville Zoo?,Uber,Nashville Zoo
Estimate arrival time for Uber to 5th street,Uber,5th Street
Hey Aneeda show me estimated arrival time of Uber to pick up me from jubilee hils,Uber,jubilee hils
What is estimated time of arrival for Uber to Ooty to pick-up me?,Uber,
what is the estimated arrival time to central park for uber,uber,central park
How long would it take an uber to get to my house?,uber,house
When will Uber arrive?,Uber,
tell me when the radiotaxi will arrive in colosseo,radiotaxi,colosseo
when can an uber pick me up here,uber,here
When will my Lyft pick up be here?,Lyft,here
"If I request an Uber, how long will it take before I'm picked up at home?",Uber,home
When will the next Lyft car arrive?,Lyft,
whats uber SUV  pickup time from grand craynon,uber SUV,grand craynon
How long until uber can pick me up?,uber,
show arrival time of uber,uber,
"Aneeda, how long would it take to get an Uber to come pick me up?",Uber,
How much time will it take for Uber Pool to reach Parking Street,Uber Pool,Parking Street
What is the estimated arrival time of uber if I needed to be picked up from the casino this afternoon?,uber,casino
WHEN IS THAT UBER SUV ARRIVING,UBER SUV,
When will Uber get here to pick me up?,Uber,
I need to know how long it will take for my Pool ride to get to the library?,Pool,Library
what time a uber could pick me up at empire state building,uber,empire state building
What is the earliest possible time I get an Ubergo in my location,Ubergo,My location
Estimate the time it will take for Pool to reach me at Harris Teeter?,Pool,Harris Teeter
How long will it take my uber to reach my house?,uber,my house
show estimated time of uber to reach,uber,
Estimate the time of an uber to reach times square.,uber,times square
what time will my uber get here?,uber,what time will my uber get HERE?
hello aneeda how long will it be for Uber to get here.,Uber,here
What time would I arrive at Boston in an Uber?,Uber,Boston
When can a Lyft pick me up at BWI Airport,Lyft,BWI Airport
How long to get picked up with Lyft at Madison Square Garden?,Lyft,Madison Square Garden
Provide the details of estimated arrival time  of Uber suv to pick-up,Uber suv,
How quickly can uber pick me up from mg road,uber,mg road
Estimated Uber arrival time to Unity Drive Stratford CT,Uber,Unity Drive Stratford CT
HOW MUCH TIME IT WILL TAKE UBER TO PICK ME FROM NEWYORK AIRPORT,UBER,NEWYORK AIRPORT
What time the Uber Pool will come to pick me from Cyber City?,Uber Pool,Cyber City
Check the arrival time of Uber SUV picking me up,Uber SUV,
Can you tell me how long until my Uber gets here?,Uber,here
What time will a Pool cab reach my office,Pool,Office
Provide details of estimated arrival time of my Uber to pick-up me,Uber,
How quickly can uber pick me up from Airport,uber,Airport
Estimated Uber arrival time to nearby bus stand,Uber,nearby bus stand
What is the Status for my Uber to come here ?,Uber,here
HOW MUCH TIME IT WILL TAKE UBER TO PICK ME FROM Washington DC AIRPORT,UBER,Washington DC AIRPORT
What time the Uber Pool will come to pick me from UB City?,Uber Pool,UB City
Check the arrival time of Uber Go picking me up,Uber Go,
Can you tell me how long until my Lyft gets here?,Lyft,here
What time will a Uber Pool cab reach my office,Uber Pool,Office
Provide the estimated arrival time of Lyft to pick-up,Lyft,
where is my uber,uber,
show me where my uber black is,uber black,
where is my uber go,uber go,
show me where my uber español is,uber español,
