WeatherFindQ,WeatherFindCondition,WeatherFindDate,WeatherFindLocation,WeatherFindTime
What's the weather like in Bridgeport tomorrow?,,tomorrow,Bridgeport,
share today's weather of new York,,today,new York,
Aneeda please tell me weather update for tomorrow,,tomorrow,,
I want to know the weather in New York City,,,New York City,
Current weather conditions in San Diego,,,San Diego,
Yesterday evening was it raining around 6 pm,raining,,,6 pm
Tell me the weather condition in Chennai today,,today,Chennai,
Tell me about today's weather in Los Angeles,,today,Los Angeles,
Will it rain tomorrow in Mumbai?,rain,tomorrow,Mumbai,
"Aneeda, what is the weather like in Montreal today?",,today,Montreal,
Let me know the exact weather condition for today (11.12.2016) for the city Chennai for tonight.,,today (11.12.2016),Chennai,tonight
"Please provide me the temperature forecast of Kathmandu on 13 November, 2016 at 16:00'o clock.",temperature,"13 November, 2016",Kathmandu,16:00'o clock
What is the current temperature in Denver Colorado,temperature,,Denver Colorado,
I need to know how warm it will be today in Las Vegas.,warm,today,Las Vegas,
"Weather in Tampa, Florida.",,,"Tampa, Florida",
"Give weather  information for Orlando - Florida, for 11/11/2016 morning.",,11/11/2016,Orlando - Florida,morning
Get me the weather forecast in Mumbai,,,Mumbai,
Can you please show me weather for Philadelphia for the next 10 days?,,,Philadelphia,10 days
What's the weather in Lisbon today?,,today,Lisbon,
Get me the sunny weather conditions information of Delhi on Sunday at 11:00 hrs,sunny,Sunday,Delhi,11:00
today's weather forecast for new York,,today,new York,
Hi Aneeda can you show me day after tomorrow weather for Varanasi,,,Varanasi,
"Aneeda, what's the weather like in Atlanta today?",,today,Atlanta,
what's the weather like tomorrow in Rome?,,tomorrow,Rome,
whats the weather going to be like tomorrow in Calgary?,,tomorrow,Calgary,
I want to get a rainy weather report for Chicago at 6pm on November 15.,rainy,November 15,Chicago,6pm
what is the weather like today in Seattle?,,today,Seattle,
Aneeda Read Todays Forcast For The Loop.,,,,
Will it be a sunny day on Mbabane on afternoon of November 16?,sunny,November 16,Mbabane,afternoon
How's the weather in New Delhi?,,,New Delhi,
"find the weather report for San Francisco, California",,,"San Francisco, California",
how is the weather in Depok tonight?,,,Depok,tonight
Provide weather information of Kerala this Sunday,,Sunday,Kerala,
Show me the current weather in Atlanta.,,,Atlanta,
What is the current weather information of New York at Friday 9.00 PM,,Friday,New York,9.00 PM
what is weather today for location mahadevpura at Saturday in 10.30 am about sunny,sunny,Saturday,mahadevpura,10.30 am
What is the weather like today in Boston?,,today,Boston,
"Will rain be there tomorrow, Sunday in Sydney, Australia?",rain,Sunday,"Sydney, Australia",
"hi Aneeda, what is the weather right now at new York",,,new York,
"Tell me weather for Fort Lauderdale, FL and lookup  5 day forecast",5 day forecast,,"Fort Lauderdale, FL",
what's the current weather in Utah?,,,Utah,
"weather of Delhi, India",,,"Delhi, India",
Is it cloudy in Oklahoma City,cloudy,,Oklahoma,
"How's the weather in Rochester, New York, today?",,today,"Rochester, New York",
"Was it a sunny day, in San Cristobal state Tachira, at 10:57 am",sunny,,San Cristobal state Tachira, 10:57 am
Will it rain in the weekend in Berlin,rain,weekend,Berlin,
What is the weather forecast for tomorrow in Anaheim?,,tomorrow,Anaheim,
is it sunny in Chicago?,sunny,,Chicago,
How cold is it going to be on Sunday?,cold,Sunday,,
Will there be rain this weekend in Halifax?,rain,weekend,Halifax,
Give me the forecast for Orlando tomorrow,,tomorrow,Orlando,
what is the weather forecast for tonight in Toledo?,,tonight,Toledo,
Weather information for California next week,,next week,California,
Is it going to be raining today afternoon in Disneyland,raining,today,Disneyland,afternoon
Please check if there are any chances of raining in New Jersey today.,raining,today,New Jersey,
Is it raining in Paranaguá?,raining,,Paranaguá,
What will the weather be like today at 4pm in Waukesha Wisconsin?,,today,Waukesha Wisconsin,4pm
"Is it going to rain today in Dallas, TX?",rain,today,"Dallas, TX",
Will it rain this afternoon at Foxhollow Golf course?,rain,,Foxhollow Golf course,afternoon
Will it be raining in Ogden today when I get off of work at 6 pm?,raining,today,Ogden,6 pm
tell me the weather in new York right now,,,new York,
"weather in east Orlando 32839  on November 11, 2016 11:11 am",,"November 11, 2016",east Orlando 32839,11:11 am
"Is it raining in Dallas, Texas at noon today?",raining,today,"Dallas, Texas",noon
show today's weather at New York,,today,New York,
What is the San Diego weather report for Saturday at 9:00am,,Saturday,San Diego,9:00am
Is it going to snow today in Rochester?,snow,today,Rochester,
inform me on the Chicago weather forecast from Tuesday 15th 2016 20:30 pm. will it be raining?,raining,Tuesday 15th 2016,Chicago,20:30 pm
What's the weather prediction for noon today in Peru maine,,today,Peru maine,noon
snow news Chicago 12 November afternoon,snow,12 November,Chicago,afternoon
Give update on weather in Mumbai today i.e. Friday,,today i.e. Friday,Mumbai,
how was the weather of Ernakulum on 11/12/2016 evening 5:00 PM,,11/12/2016,Ernakulum,5:00 pm
show yesterday's 11 am weather at London,,yesterday,London,11 am
Is it going to rain at 5pm in Santa Clara,rain,,Santa Clara,5pm
CHECK THE CURRENT STORM WEATHER CONDITION IN MIAMI,STORM,,MIAMI,
Is it raining in Oklahoma city?,raining,,Oklahoma city,
Get me an update on the weather in London today.,,today,London,
Will it rain in new York city tomorrow morning 14 November 2016?,rain,14 November 2016,new York city,morning
Will it rain before 11 tomorrow in Oxford?,rain,tomorrow,Oxford,11
Is it raining in Los Angeles on Sunday night?,raining,Sunday,Los Angeles,night
How can I know weather information that may raining on 14th November at 01 pm in Washington city?,raining,14th November,Washington city,01 pm
weather report of Madurai,,,Madurai,
current weather forecast in Belfast,,,Belfast,
Will it rain tonight in Canton?,rain,tonight,Canton,
What's the hottest it will be tomorrow,hottest,tomorrow,,
Washington DC weather on Friday afternoon,,Friday,Washington DC,afternoon
"Weather: Boise, Idaho on 11/09/2016",,11/09/2016,"Boise, Idaho",
Will there be rain on Tuesday in Dublin,rain,Tuesday,Dublin,
Will it rain tomorrow?,rain,tomorrow,,
"What is the weather for 11/11 in Chicago, IL?",,11/11,"Chicago, IL",
Please tell me the weather in Boston.,,,Boston,
weather conditions for 11/11 at 4pm for location 66105,,11/11,66105,4pm
Will it snow tonight in Buckingham?,snow,tonight,Buckingham,
"Is it going to be sunny on Sunday in Rijeka?",sunny,Sunday,Rijeka,
WHAT IS THE WEATHER IN CHICAGO,,,CHICAGO,
What will the weather be like at Disneyland on Saturday?,,Saturday,Disneyland,
"Assistant: San Francisco weather, November 12th.",,November 12th,San Francisco,
"Aneeda, give me the weather for November 12th for 10:30am near 18224.",,November 12th,18224,10:30am
Is it going to be sunny in Seattle today?,sunny,today,Seattle,
Is it expected to rain in Minot next Tuesday morning,rain,next Tuesday,Minot,morning
"What the next day it will rain in Memphis, TN?",rain,,"Memphis, TN",
"Will there be a heavy storm at 6:00 PM in Orlando, FL.",heavy storm,,"Orlando, FL",6:00 PM
What temperature is it going to be in Charleston today,temperature,today,Charleston,
What was the weather like in Boston this morning?,,,Boston,morning
Will it rain tomorrow in New York city?,rain,tomorrow,New York city,
Alert me when is about to snow in Toronto,snow,,Toronto,
Will the weather in Benin be sunny on Monday at 10pm?,sunny,Monday,Benin,10pm
Will it rain in Los Angeles on Thursday at noon?,rain,Thursday,Los Angeles,noon
weather at new York on 1st November 2016 4 P.M,,1st November 2016,new York,4 P.M
"Weather for today, Caracas.",,today,Caracas,
Micco weather 11/11 11:00,,11/11,Micco,11:00
can you tell me if there's a chance of raining in Maracaibo next Sunday at 5:00 PM ?,raining,next Sunday,Maracaibo,5:00 PM
What is the weather yesterday,,yesterday,,
Today's Weather for Philadelphia,,Today,Philadelphia,
is it snowing now in Denver Colorado?,snowing,,Denver Colorado,
What is the weather like in Sparta?,,,Sparta,
Get me the weather report of Boston on 12th November evening,,12th November,Boston,evening
"Tell me how cold it is in Charlotte,",cold,,Charlotte,
Show me today's weather conditions of Thrissur.,,today,Thrissur,
"Aneeda, it is November 12, 2016 - 7:50 in the morning. Is the weather going to be sunny in Athens Wisconsin?",sunny,"November 12, 2016",Athens Wisconsin,7:50
Is it going to rain on Tuesday afternoon in Miami,rain,Tuesday,Miami,afternoon
"What's the weather like in Orlando, Florida next week?",,next week,"Orlando, Florida",
"I want to know the current weather in Paris, France",,,"Paris, France",
"What is the current weather for Tobyhanna, PA?",,,"Tobyhanna, PA",
show weather of Maceio. For: today,,today,Maceio,
Give me weather forecast for Friday evening at 7pm in mandi,,Friday,mandi,7pm
Is it going to rain in Bristol this afternoon?,rain,,Bristol,afternoon
How's the weather going to be tomorrow in Seattle?,,tomorrow,Seattle,
"Is it supposed to be raining in Little Rock AR on Saturday, November 19 at 3 pm?",raining,"Saturday, November 19",Little Rock AR,3 pm
Is it safe for me to travel to Ohio today 11/11/2016 at 10,,,Ohio,
"Aneeda, what will the weather be like tomorrow?",,tomorrow,,
What is the weather going to be this Sunday in Upland CA?,,this Sunday,Upland CA?,
will 24th of November be a sunny day in Miami,sunny,24th of November,Miami,
is it raining in Rochester,raining,,Rochester,
what will the weather look like today?,,today,,
Provide the weather details of Mumbai on 6th July 8 pm.,,6th July,Mumbai,8 pm
"What will be the weather in Bethany Beach, DE today at 12AM?",,today,"Bethany Beach, DE",12AM
Tell me the weather details of London for tomorrow,,tomorrow,London,
Will it rain today in Topeka afternoon?,rain,today,Topeka,afternoon
will forecast be sunny for Friday November ninth 2016 for Dallas north Carolina,sunny,Friday November ninth 2016,Dallas north Carolina,
how's the fog in Delhi on 15th November,fog,15th November,Delhi,
"Advise me on rainy weather in Durgapur, India on 12/02 at 9am",rainy,12/02,"Durgapur, India",9am
What is the weather in Lenoir city today?,,today,Lenoir city,
What is the rain forecast for Katy Texas 11:00 am 11/21/2016,rain,11/21/2016,Katy Texas,11:00 am
Is  going to snow in Calgary tomorrow?,snow,tomorrow,Calgary,
Will the weather be good tomorrow afternoon in Baltimore,good,tomorrow,Baltimore,afternoon
What will the weather be in Maryville TN,,,Maryville TN,
is it cloudy in Trivandrum by Saturday at 5.a.m,cloudy,Saturday,Trivandrum,5.a.m
How's the weather here tomorrow,,tomorrow,here,
What will the climate be at 3 am?,,,,3 am
Will it rain in San Francisco at the morning November 25?,rain,November 25,San Francisco,
Show me the weather report for Chennai on 11/11/2016,,11/11/2016,Chennai,
Will it be raining today at 3pm in Cleveland area?,raining,today,Cleveland,3pm
"Search for today weather forecast in Saint Petersburg, Russia",,today,"Saint Petersburg, Russia",
"WHAT IS WEATHER LIKE, IN HYDERABAD TODAY.",,TODAY,HYDERABAD,
What is the weather now in Boston,,,Boston,
what is the temperature in Kashmir on 14th Nov morning 10 AM,temperature,14th Nov,Kashmir,10 AM
What is the weather in New York today?,,today,New York,
Weather in Nice,,,Nice,
"I'd like the weather report for Philadelphia, PA on June 2, 2017 at 4 PM",,"June 2, 2017","Philadelphia, PA",4 PM
What's the forecast for the next twelve hours in Houston Texas,,,Houston Texas,next twelve hours
Will it be sunny today in New York at 11 AM,sunny,today,New York,11 am
"Aneeda, is the weather going to be rainy on December 1st at 8:00AM in New York City?",rainy,December 1st,New York City,8:00AM
IS THE WEATHER IN FRANCE ON NOVEMBER 12TH AT NOON SUNNY,SUNNY,NOVEMBER 12TH,FRANCE,NOON
I'm looking for the weather information of New York city on next Tuesday,,next Tuesday,New York city,
Is it Sunny outside?,Sunny,,,
"Will it be sunny tomorrow in Bolingbrook, Illinois?",sunny,tomorrow,"Bolingbrook, Illinois",
check for sunny conditions for Paris on 15th November at 1 pm,sunny,15th November,Paris,1 pm
how is weather in Gwalior,,,Gwalior,
Forecast the weather conditions of India,,,India,
Hey Aneeda get me weather information in pune,,,pune,
"ok Aneeda, is it going to rain tomorrow midnight in Glendale, Arizona?",rain,tomorrow,"Glendale, Arizona",midnight
"Tampa weather on Friday, November 11, 2016 at 3:15pm.",,"Friday, November 11, 2016",,3:15pm
"Aneeda, tell me if it's going to snow tomorrow morning in Toronto?",snow,tomorrow,Toronto,morning
How is the weather at Mumbai on 15th Nov'2016 at 11 AM,,15th Nov'2016,Mumbai,11 am
Is it going to rain in D.C. tonight.,rain,,D.C.,tonight
Give me weather updates of Canada today?,,today,Canada,
Is it going to rain today in Wilmington de,rain,today,Wilmington de,
Is it supposed to rain in Indianapolis on Friday?,rain,Friday,Indianapolis,
"Aneeda, please describe the weather conditions in New York for the today at 10:00 AM",,today,New York,10:00 am
Will there be rain in Cirencester this weekend?,rain,this weekend,Cirencester,
Show weather details for Mumbai on Monday,,Monday,Mumbai,
Provide the amount of rain on November 10 2016 at 3:00am in Hawaii,rain,November 10 2016,Hawaii,3:00am
Will it rain in Seattle at 6:00am on 11/12/2016?,rain,11/12/2016,Seattle,6:00am
"Aneeda, what is the current weather in Location?",,,Location,
Is the weather pleasant in Bangalore at the moment ?,pleasant,,Bangalore,
Could I get the weather for New York City for November 15th please,,November 15th,New York City,
"Is it supposed to rain today at 1:00PM in Chicago, Illinois",rain,today,"Chicago, Illinois",1:00PM
What would be the weather tomorrow at 12pm in Suzhou?,,tomorrow,Suzhou,12pm
What's the weather like in Washington in Monday? Do I need an umbrella?,umbrella,Monday,Washington,
Please find out whether it will rain in Brisbane tomorrow morning.,rain,tomorrow,Brisbane,morning
Is there any possible chance of rain in karur in 11-12-2016 at 7:40 PM ?,rain,11-12-2016,karur,7:40 PM
Is there chance of raining in krung thep maha nakhon on 21st of June at 7:40 PM ?,raining,21st of June,krung thep maha nakhon,7:40 PM
Is it going to rain in Austin today?,rain,today,Austin,
will it be raining be tomorrow morning in Boston,raining,tomorrow,Boston,morning
"What is current weather conditions in Atlanta, GA?",,,"Atlanta, GA",
is it raining in cape Canaveral Florida on 11/12/2016 at 3 pm,raining,11/12/2016,cape Canaveral Florida,3 pm
"What is the forecast for Saturday, November 12, in Portland, Oregon for 1 o'clock in the afternoon?",,"Saturday, November 12","Portland, Oregon",1 o'clock
"Atlanta, ga weather, today",,today,"Atlanta, ga",
what's the weather like in boaz Alabama,,,boaz Alabama,
Will there be rain on Sunday in Bridgeport?,rain,Sunday,Bridgeport,
how is the weather in new York at this time,,,new York,
Is the weather going to be sunny day after tomorrow,sunny,day after tomorrow,,
Tell me about the weather in California on Saturday 12th November 2016 02:00 pm,,12th November 2016,California,02:00 pm
What is the weather like in San Diego today at 12:00am,,today,San Diego,12:00am
is it sunny in Sydney  on 22/04/2022 around 2 pm,sunny,22/04/2022,Sydney,2 pm
I need to know the current temperature in Chennai,temperature,,Chennai,
Is it going to rain tomorrow in Los Angeles?,rain,tomorrow,Los Angeles,
Will it rain in Mumbai on 14th November 2016?,rain,14th November 2016,Mumbai,
"Aneeda, will it be raining in New York City tomorrow at noon?",raining,tomorrow,New York City,noon
What is the today's weather report at evening in Coimbatore,,,Coimbatore,evening
"Could you provide me the rainfall forecast of Chennai on 17 November, 2016 at 12:00'o clock.",rainfall,"17 November, 2016",2016,12:00'o clock
Give me current temperature for today in Denver Colorado,temperature,today,Denver Colorado,
Is it going to rain in Chicago on Wednesday?,rain,Wednesday,Chicago,
"Tampa, Florida, Nov. 12 at 9:56 a.m.",,Nov. 12,"Tampa, Florida",9:56 a.m.
"Tell weather  information for Orlando - Florida, for 11/11/2016 morning.",,11/11/2016,Orlando - Florida,morning
"I want the weather info of Mumbai at 8,",,,,
I need to see the 10 day outlook for the weather in Philadelphia,,,Philadelphia,10 day
Will it be cold in Madrid tomorrow night?,cold,tomorrow,Madrid,night
Please send the rainy weather condition  information of Chennai on Tuesday 12:30 hrs,rainy,Tuesday,Chennai,12:30
will new York get rain tonight,rain,tonight,new York,
Hi Aneeda hows the weather in Bangalore,,,Bangalore,
"Aneeda, what will the weather be like in Atlanta this afternoon?",,,Atlanta,afternoon
will it rain tomorrow in Paris,rain,tomorrow,Paris,
will it be sunny tomorrow in Calgary?,sunny,tomorrow,Calgary,
Can I get rainy weather forecast for Chicago at 6pm on November 15?,rainy,November 15,Chicago,6pm
will it be raining tomorrow at noon in Seattle?,raining,tomorrow,Seattle,noon
Aneeda read out Bad or Good Weather for Chicago Area,,,Chicago Area,
Is the sky clear on the evening of November 14 in Dili?,sky clear,November 14,Dili,evening
Is it going to rain tomorrow at 5:00 PM in Kolkata?,rain,tomorrow,Kolkata,5:00 pm
What's the weather like in San Francisco on Saturday Nov 12 at 9am,,Saturday Nov 12,San Francisco,9am
is it going to rain in Depok tomorrow afternoon?,rain,,Depok,afternoon
Please inform status of rain in Delhi in this Sunday,rain,Sunday,Delhi,
"What is the forecast for Atlanta, Saturday at noon?",,Saturday,Atlanta,noon
Would you please say the current weather information of New York at 9.00 PM,,,New York,9.00 PM
get weather today for location mahadevpura at Saturday in 10.30 am about sunny,sunny,Saturday,mahadevpura,10.30 am
Will it still be raining today in Boston after 5pm?,raining,today,Boston,after 5pm
"What will be the wind conditions at 9 in the morning on Monday, November 14 in Sydney?",wind,"Monday, November 14",Sydney,9
"hi Aneeda, is it sunny in Philadelphia in the evening?",sunny,,Philadelphia,evening
Lookup 5 day  weather for Fort Lauderdale,,,Fort Lauderdale,
Give me an update on the weather outside in Utah,,,Utah,
what is the temperature in Delhi now.,temperature,,Delhi,
"Is it cloudy in Oklahoma Main City 9:00, 12/11/2017",cloudy,12/11/2017,Oklahoma Main City,9:00
Get me the weather forecast for Newark this Friday. Would it be rain or not?,rain,Friday,Newark,
Is it raining at home?,raining,,home,
What is the weather,,,,
is it storming?,storming,,,
"What is the weather forecast for Hubbard, Ohio on 11/11/16?",,11/11/16,"Hubbard, Ohio",
Is it raining?,raining,,,
Is it going to rain today in Hyderabad,rain,today,Hyderabad,
"Aneeda, is it going to rain today in Asheboro?",rain,today,Asheboro,
Is it cold in jersey city.,cold,,jersey city,
Will it rain today,rain,,,
"Aneeda, are there any thunder storm warnings for tomorrow evening in Lewisburg, PA?",thunder storm,tomorrow,"Lewisburg, PA",evening
What will the temperature be tomorrow afternoon?,temperature,tomorrow,,afternoon
"Aneeda, is it cold outside today?",cold,today,,
Is it going to snow in Philadelphia at 11 p.m. on December 25?,snow,December 25,Philadelphia,11 p.m.
