TransportTaxiCancelQ,TransportTaxiCancelType
Call Uber... we need to cancel our UBER SUV for tomorrow,Uber SUV
Please cancel my Lyft reservation.,Lyft
Cancel my grabcar,grabcar
Cancel my booking of Uber SUV,Uber SUV
Cancel my Lyft ride,Lyft
Please cancel the Uber ride I have scheduled.,Uber
Cancel the cab I booked with Uber.,Uber
Aneeda cancel my uber ride for 7.oopm,Uber
Please cancel my booking for Uber Pool.,Uber Pool
Just cancel my Lyft Line trip to Yosemite National Park,Lyft Line
Cancel my uber ride.,Uber
Cancel the UberGo.,UberGo
Cancel the Uber SUV ride I ordered at 4:30,Uber SUV
cancel my uber trip of tomorrow's,Uber
Cancel my current Uber booking,Uber
Cancel my Uberx,Uberx
Cancel my Uber,Uber
Please cancel my uber car,Uber
Cancel my uber,uber
Cancel uber request,Uber
Cancel my Uber trip to Disneyland,Uber
Could you please cancel my Uber SUV car booked for today evening at 5.00 PM ?,Uber SUV
Cancel my Uber booking please.,Uber
Aneeda cancel my Uber car,Uber
Cancel my recent booking with Uber,Uber
"Hey, Please cancel Uber service I just booked.",Uber
Cancel my Uber car that was booked for today at 6pm,Uber
Cancel the Uber that I just booked.,Uber
Cancel my Uber scheduled for today.,Uber
open Uber. Cancel booking,Uber
please cancel my uber car service for tonight,uber
Cancel my booked car with Uber for monday 4 pm,Uber
Cancel my booking for uber,Uber
cancel my Uber SUV,Uber SUV
cancel Uber SUV reservation to SFO Airport,Uber SUV
Cancel the Uber that I ordered earlier.,Uber
I need to cancel my Uber appointment.,Uber
will you please cancel the booking on uber?,Uber
cancel my Uber SUV,Uber suv
Cancel my Uber request,Uber
please cancel the booked car in uber SUV,uber SUV
Cancel my ride with Uber.,Uber
Cancel my Uber reservation for tomorrow at 8:00 AM,Uber
Cancel my Uber SUV booking.,Uber SUV
CANCEL THE UBER SUV CAB WHICH IS  BOOKED BY TODAY,UBER SUV
Cancel my Uber service for this afternoon.,Uber
Please cancel the travel I booked on uber.,Uber
Cancel my Uber ride,Uber
please cancel my booking in uber for airport travel.,Uber
cancel me a booking of uberx car,uberx
Cancel my Uber,Uber
Cancel my latest trip booking on Uber cabs,Uber
Cancel uber cab booked for 9 pm,uber
Cancel the booking made to Uber cabs an hour ago.,Uber
Cancel booked car reservation for UBER,UBER
Cancel my Uber,Uber
please cancel all booked Uber Taxi services that I booked ten minutes ago,Uber
Inform UBER to cancel my cab booking for today,Uber
Please cancel the booking which I have done in Uber,Uber
Please cancel Uber SUV which was booked,Uber SUV
I need you to cancel my Uber SUV booking for this afternoon.,Uber SUV
I am calling to cancel my order for Uber Suv transportation Wednesday 1-2-16,Uber Suv
"hello, cancel my Lyft Line ride.",Lyft Line
Cancel my Uber order for this morning.,Uber
the program was cancelled so we want to cancel our booked car indica,Indica
cancel the booking for Uber,Uber
text Uber driver to cancel,Uber
Revoke Uber SUV booked for a ride from Thodupuzha to Cochin,Uber SUV
"I don't need my Uber now, cancel it please",Uber
Cancel booked car.,car
"Automated Assistant, please delete my earlier booked car service from Lyft Line.",Lyft Line
terminate uber booking,uber
Please stop my Uber from picking me up.,Uber
Cancel Uber SUV booking,Uber SUV
"Aneeda, cancel my booked car ride with Pool for this evening at 5PM.",Pool
Delete my request for an Uber car.,Uber
Cancel my Uber SUV trip to Knott's Berry farm,Uber SUV
Stop order on ubersuv,ubersuv
Cancel booked Uber,Uber
"My plans have changed, please cancel my Lyft booking.",Lyft
please cancel my grabcar,grabcar
Annul my car reservation with Lyft,lyft
"I don't need the Uber ride anymore, please open the Uber app and cancel my reservation",Uber
I no longer need my Uber ride this afternoon.,uber
Help me cancel my booked cab.,cab
Aneeda stop my uber sedan from coming to its destination,sedan
Cancel my Uber Pool Booking,Uber Pool
Please cancel my Lyft Line trip to Yosemite National Park,Lyft Line
Please cancel my lyft ride.,Lyft
Cancel the car I booked through Uber app,uber
Cancel the Lyft Plus I requested at 4:00,Lyft Plus
cancel the trip i have planned tomorrow on uber,Uber
Please cancel the current booking done through Uber,Uber
Cancel my ride with Uber.,Uber
Cancel Uber booking and confirm,Uber
Cancel my scheduled Uber trip,Uber
call off my uber,uber
Tell Uber I don't need a ride,Uber
Just cancel my Uber trip to Disneyland,Uber
Can you cancel my Lyft Plus booking?,Lyft Plus
Aneeda tell the Uber driver not to come,Uber
I want to cancel my booking for Uber,Uber
Can you please cancel the cab I booked with Uber for me,Uber
Please unbook my Uber car,Uber
Cancel my Pool booking.,Pool
Cancel Uber.,Uber
cancel Uber booking,Uber
"I won't need my Uber car service for tonight, please cancel it",Uber
Cancel Uber for monday 4 pm,Uber
Cancel my booking for my uber ride,Uber
I dont want to go anywhere cancel my Lyft Plus,Lyft Plus
cancel Uber SUV booking to SFO Airport,Uber SUV
I no longer need the ride from Pool that I scheduled before.,Pool
Cancel my scheduled Uber ride.,Uber
"if you please, do cancel the booking of uber?",uber
scrap my booked cab from Uber SUV,Uber SUV
Cancel my Uber,Uber
can you cancel the booked car in uber SUV,uber SUV
I don't need an Uber ride anymore.,Uber
Cancel my 9PM reservation for Lyft Line please,Lyft Line
I want to cancel my booking for Lyft Plus.,Lyft plus
PLEASE CANCEL TODAY BOOKED UBER SUV CAB SERVICE,UBER SUV
Can you cancel my Uber car for Saturday night?,Uber
I won't do my Uber trip anymore so cancel it.,Uber
I do not need my Lyft Plus ride.,Lyft Plus
cancel my airport travel booking with uber.,uber
i want cancel my uberx car booking for today,uberx
Cancel my Uber ride,Uber
Cancel my trip on Uber,Uber
Cancel 9pm uber cab from MG road to high street,uber
Call off the booking made to Uber cabs an hour ago.,Uber
Cancel Uber car rental for 10/19/16,Uber
I don't want the Uber anymore,Uber
I want to cancel a booked Lyft Plus service five minutes ago.,Lyft Plus
Request OLA to de schedule my taxi booking for today,OLA
Could you please cancel the booking done in uber car service,Uber
cancel Uber SUV ride,Uber SUV
I don't need a ride anymore.  Call and cancel Lyft Line for me.,Lyft Line
I do not need the service of Uber this day,Uber
"hello, drop the Uber SUV.",Uber SUV
Cancel Uber for October 19.,Uber
messaging them to cancel the booked indica car,indica
cancel Uber,Uber
call back uber to cancel,uber
