CorrectionResponse,CorrectionType
i wanted the artist,artist
i wanted the artist,artist
i wanted the song,song
i wanted the song,song
i wanted the song by ll cool j,song
i wanted the song by ll cool j,song
i wanted the song by ll cool j,song
i wanted the song by ll cool j,song
i wanted the song by ll cool j,song
i wanted the song by ll cool j,song
i was thinking of a different song,song
i was thinking of a different song,song
i'd like the song,song
i'm looking for a different song,song
i'm looking for a different song,song
i'm looking for the album called beyonce,album
i'm looking for the album called beyonce,album
i'm looking for the album called beyonce,album
i'm looking for the album called beyonce,album
i'm looking for the song,song
i'm looking for the song,song
i'm looking for the song by a tribe called quest,song
i'm looking for the song by a tribe called quest,song
i'm looking for the song by a tribe called quest,song
i'm looking for the song from the 25 album by adele,song
i'm looking for the song from the 25 album by adele,song
i'm looking for the song from the 25 album by adele,song
i'm looking for the song from the 25 album by adele,song
i'm talking about the album from james brown,album
i'm talking about the album from james brown,album
i'm talking about the album from james brown,album
i'm talking about the album from james brown,album
i'm talking the song by ll cool j,song
i'm talking the song by ll cool j,song
i'm talking the song by ll cool j,song
i'm talking the song by ll cool j,song
i'm talking the song by ll cool j,song
incorrect,
incorrect,
incorrect,
incorrect,
incorrect,
incorrect,
incorrect song,song
incorrect song,song
incorrect song,song
incorrect song,song
incorrect song,song
incorrect song,song
incorrect song,song
incorrect song,song
it is a madonna song,song
it is a madonna song,song
it is a madonna song,song
it is a song,song
it is a song,song
it is a song by franz ferdinand,song
it is a song by stevie wonder,song
it is a song by stevie wonder,song
it is a song by stevie wonder,song
it is a song from the album the beginning,song
it is a song from the album the beginning,song
it is a song from the album the beginning,song
it is album,album
it is album,album
it is album,album
it is album,album
it is an album,album
it is an album,album
it is an album,album
it is an album,album
it is an album,album
it is an album,album
it is an album,album
it is an album that christina aguilera did,album
it is an album that christina aguilera did,album
it is an album that christina aguilera did,album
it is an album that christina aguilera did,album
it is an album that christina aguilera did,album
it is an album that christina aguilera did,album
it is an album that christina aguilera did,album
it is an album that christina aguilera did,album
it is an album that christina aguilera did,album
it is an artist from california,artist
it is an artist from california,artist
it is for sure a song,song
it is for sure a song,song
it is for sure a song,song
it is the album,album
it is the album,album
it is the album,album
it is the album,album
it is the album,album
it is the latest song from lady gaga,song
it is the song by madonna,song
it is the song by madonna,song
it is the song by madonna,song
it is the song from the views album,song
it s a big song by adina howard,song
it s a gomez album,album
it s a gomez album,album
it s a gomez album,album
it s a song and it s by nirvana,song
it s a song and it s by nirvana,song
it s a song and it s by nirvana,song
it s a song and it s by nirvana,song
it s a song by nate dogg,song
it s a song by sum 41,song
it s a song by sum 41,song
it s a song by sum 41,song
it s a song by sum 41,song
it s a song by the artist sheryl crow,song
it s a song by the artist sheryl crow,song
it s a song by the artist sheryl crow,song
it s a song from u2,song
it s a song off the album off the wall,song
it s a song off the album off the wall,song
it s an album from 1999,album
it s an album from 1999,album
it s an album from 1999,album
it s an album from 1999,album
it s an old song by soundgarden,song
it s an old song by soundgarden,song
it s an old song by soundgarden,song
it s by timmy t it s a song,song
it s floetry s last album,album
it s my birthday the song,song
it s my birthday the song,song
it s my birthday the song,song
it s my birthday the song,song
it s my birthday the song,song
it s my birthday the song,song
it s my birthday the song,song
it s ne-yo s latest album,album
it s ne-yo s latest album,album
it s ne-yo s latest album,album
it s not it,
it s not it,
it s not it,
it s song,song
it s song,song
it s song,song
it s song,song
it s the album,album
it s the album,album
it s the album,album
it s the artist,artist
it s the artist,artist
it s the artist,artist
it s the artist,artist
it s the artist,artist
it s the artist,artist
it s the artist,artist
it s the artist,artist
it s the artist,artist
it s the famous song by aretha franklin,song
it s the famous song by aretha franklin,song
it s the famous song by aretha franklin,song
it s the famous song by aretha franklin,song
it s the famous song by aretha franklin,song
it s the r&b artist that sang ghetto superstar,artist
it s the r&b artist that sang ghetto superstar,artist
it s the r&b artist that sang ghetto superstar,artist
it s the r&b artist that sang ghetto superstar,artist
it s the song,song
it s the song,song
it s the song by green day,song
it s the song by green day,song
it s the song by green day,song
it s the song by green day,song
it s the song by green day,song
it s the song from migos,song
it s the song from migos,song
it s the song from migos,song
it s the song from migos,song
it s the song with the coors,song
it s the song with the coors,song
it s the song with the coors,song
it s the song with the coors,song
it s the song with the coors,song
it s the song with the coors,song
it s the song with the coors,song
it s the song with the coors,song
it s wrong,
it s wrong,
it s wrong,
it s wrong,
it was a famous song by pharell,song
it was a song by phil collins from the 90s,song
it was a song by phil collins from the 90s,song
it was a song by selena,song
it was a song by selena,song
it was a song by selena,song
it was a song by selena,song
it was a song by selena,song
it was a song by selena,song
it was an album by the beatles,album
it was the last song from janet jackson,song
it was the last song from janet jackson,song
it was the last song from janet jackson,song
it was the last song from janet jackson,song
it was the last song from janet jackson,song
it was the last song from janet jackson,song
it was the last song from janet jackson,song
it was the last song from janet jackson,song
it was the rock artist,artist
it was the rock artist,artist
it was the song by the artist bryan adams,song
it was the song by the artist bryan adams,song
it was the song by the artist bryan adams,song
it was the song by the artist bryan adams,song
it was the song by the artist bryan adams,song
it was the song with jay-z,song
it was the song with jay-z,song
j dilla is an artist,artist
j dilla is an artist,artist
john legend album,album
john legend album,album
john legend album,album
john legend album,album
kelis the artist,artist
kelis the artist,artist
kelis the artist,artist
let s hear the song instead,song
let s hear the song instead,song
macy gray the soul artist,artist
nicki minaj s album,album
no it s the album by kiss,album
no it s the album by kiss,album
no it s the album by kiss,album
no it s the album by kiss,album
no not this,
no not this artist,artist
no not this artist,artist
no something else,
no strings attached the nsync album,album
no strings attached the nsync album,album
no this isn't it,
nope not it,
nope not it,
nope not it,
nope not right,
nope not the correct one,
nope not the correct one,
nope not this,
nope not this,
nope not this,
nope not this,
nope not this,
nope not this album,album
nope not this album,album
nope not this album,album
nope not this album,album
nope not this album,album
nope this is not it,
nope this is not it,
nope this is not it,
not that,
not that,
not that,
not that,
not that,
not that,
not that one,
not that one,
not the correct album,album
not the correct album,album
not the correct album,album
not the correct album,album
not the correct album,album
not the correct one,
not the one,
not the one,
not the right song,song
not the right song,song
not this,
not this album,album
not this album,album
not this album,album
not this album,album
not this album,album
not this artist,artist
not this artist,artist
not this hello song,song
not this les miserables album,album
not this les miserables album,album
not this mya,
not this mya,
not this mya,
not this mya,
not this mya,
not this one,
not this song,song
not this song,song
not this song,song
not this song,song
not this song,song
not this song,song
not this version,
not this version,
not this version,
not this version,
not this version,
not this version,
not what i meant,
not what i meant,
one the song by u2,song
one the song by u2,song
one the song by u2,song
please get the artist,artist
please get the artist,artist
remember the time the song,song
remember the time the song,song
remember the time the song,song
remember the time the song,song
remember the time the song,song
remember the time the song,song
she is a pop artist,artist
she is a pop artist,artist
she is a pop artist,artist
she is a pop artist,artist
she is a pop artist,artist
she is a pop artist,artist
she is a pop artist,artist
she s a hip hop artist,artist
she s an artist,artist
she s an artist,artist
she s the r&b artist,artist
she s the r&b artist,artist
song by adele,song
song by adina howard,song
song by adina howard,song
song by justin bieber,song
song by justin bieber,song
song called sorry,song
song called sorry,song
song called sorry,song
song from anti by rihanna,song
song from anti by rihanna,song
song from anti by rihanna,song
song from anti by rihanna,song
song from anti by rihanna,song
song from the dangerous album by the artist michael jackson,song
song from the dangerous album by the artist michael jackson,song
song from the dangerous album by the artist michael jackson,song
song from the dangerous album by the artist michael jackson,song
song make you feel my love from the album 19,song
song make you feel my love from the album 19,song
sorry this is not it,
sorry this is not it,
sorry this is not it,
sorry this is not it,
sorry this is not it,
sorry this isn't it,
sorry this isn't it,
sorry this isn't it,
sorry this isn't it,
that album from blake shelton,album
that album from blake shelton,album
that new song from usher,song
that new song from usher,song
that new song from usher,song
that new song from usher,song
that new song from usher,song
that new song from usher,song
that new song from usher,song
that new song from usher,song
that song from no doubt,song
that song from no doubt,song
that song from no doubt,song
that would be song,song
that would be song,song
that would be the song,song
the 90s song from montell jordan,song
the 90s song from montell jordan,song
the 90s song from montell jordan,song
the 90s song from montell jordan,song
the album,album
the album,album
the album believe,album
the album believe,album
the album believe,album
the album believe,album
the album believe,album
the album by adele,album
the album by adele,album
the album by adele,album
the album by adele,album
the album by adele,album
the album by adele,album
the album by adele,album
the album by adele,album
the album by the artist rain,album
the album by the artist rain,album
the album by the artist rain,album
the album called candy rain,album
the album called candy rain,album
the album called candy rain,album
the album called candy rain,album
the album called candy rain,album
the album called candy rain,album
the album called candy rain,album
the album called magna carta by jay-z,album
the album called magna carta by jay-z,album
the album christina aguilera,album
the album christina aguilera,album
the album the life of pablo,album
the album the life of pablo,album
the album the life of pablo,album
the album the life of pablo,album
the album the life of pablo,album
the album the life of pablo,album
the artist,artist
the artist black keys,artist
the artist black keys,artist
the artist called migos,artist
the artist called migos,artist
the artist called migos,artist
the artist florence and the machine,artist
the artist florence and the machine,artist
the artist florence and the machine,artist
the artist hello,artist
the artist hello,artist
the artist hello,artist
the artist hello,artist
the artist hello,artist
the artist hello,artist
the artist hello,artist
the artist hello,artist
the artist hello,artist
the artist john lennon,artist
the artist john lennon,artist
the artist john lennon,artist
the artist john lennon,artist
the artist john lennon,artist
the country artist,artist
the country artist,artist
the country artist,artist
the indie artist,artist
the indie artist,artist
the indie artist,artist
the indie artist,artist
the john legend album,album
the john legend album,album
the john legend album,album
the john legend album,album
the new song that kendrick lamar did,song
the new song that kendrick lamar did,song
the new song that kendrick lamar did,song
the new song that kendrick lamar did,song
the new song that kendrick lamar did,song
the new song that kendrick lamar did,song
the p diddy song,song
the p diddy song,song
the p diddy song,song
the prince album,album
the prince song,song
the prince song,song
the prince song,song
the prince song,song
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the rock artist,artist
the sergio mendes album,album
the sergio mendes album,album
the sergio mendes album,album
the sergio mendes album,album
the song,song
the song,song
the song,song
the song,song
the song,song
the song,song
the song,song
the song black hole sun from soundgarden,song
the song black hole sun from soundgarden,song
the song black hole sun from soundgarden,song
the song black hole sun from soundgarden,song
the song black hole sun from soundgarden,song
the song black hole sun from soundgarden,song
the song black hole sun from soundgarden,song
the song black hole sun from soundgarden,song
the song by black eyed peas,song
the song by black eyed peas,song
the song by black eyed peas,song
the song by drake,song
the song by eminem,song
the song by eminem,song
the song by paul mccartney,song
the song by paul mccartney,song
the song by rihanna with kanye west,song
the song by rihanna with kanye west,song
the song by rihanna with kanye west,song
the song by rihanna with kanye west,song
the song by rihanna with kanye west,song
the song by rihanna with kanye west,song
the song by the artist sleep,song
the song by the artist sleep,song
the song by the artist sleep,song
the song from the album the power of love by the artist celine dion,song
the song hello by adele from album 21,song
the song hello by adele from album 21,song
the song hello by adele from album 21,song
the song hello by adele from album 21,song
the song hotline bling from the album views,song
the song hotline bling from the album views,song
the song hotline bling from the album views,song
the song hotline bling from the album views,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song on the run with beyonce on it,song
the song sung by mariah carey,song
the song sung by mariah carey,song
the song sung by mariah carey,song
the song sung by mariah carey,song
the song that matchbox 20 did,song
the song that matchbox 20 did,song
the song that will.i.am did,song
there s a kanye west album called yeezy,album
there s a rihanna song,song
there s a rihanna song,song
there s a rihanna song,song
there s an album called elephunk,album
there s an album called elephunk,album
there s an album called elephunk,album
there s an album called elephunk,album
there s an album called elephunk,album
there was a song from black eyed peas,song
they are a dance artist,artist
they are a dance artist,artist
this ain't it,
this ain't it,
this ain't it,
this is incorrect,
this is incorrect,
this is not it,
this is not it,
this is not it,
this is not the album i wanted,album
this is not the correct one,
this is not the correct one,
this is not the correct one,
this is not the correct one,
this is not the correct one,
this is not the correct one,
this is not the hello i want,
this is not the hello i want,
this is not the hello i want,
this is not the hello i want,
this is not the hello i want,
this is not the one,
this is not the one,
this is not the right album,album
this is not the right artist,artist
this is not the right artist,artist
this is not the right artist,artist
this is not the right artist,artist
this is not the right artist,artist
this is not the right one,
this is not the right one,
this is not the right one,
this is not the right one,
this is not the right song,song
this is not the right song,song
this is not the thing i wanted,
this is not the thing i wanted,
this is not the thing i wanted,
this is not the thing i wanted,
this is not the thing i wanted,
this is the wrong album,album
this is the wrong album,album
this is the wrong album,album
this is the wrong artist,artist
this is the wrong artist,artist
this is the wrong song,song
this is the wrong song,song
this is the wrong thing,
this is the wrong thing,
this is wrong,
this is wrong,
this is wrong,
this isn't correct,
this isn't correct,
this isn't correct,
this isn't correct,
this isn't correct,
this isn't the song,song
this isn't the song,song
this isn't the song,song
this isn't the song,song
this isn't the song,song
this isn't the song,song
this isn't the song,song
this isn't the song,song
this isn't the song i wanted,song
this isn't the song i wanted,song
this isn't the song i wanted,song
this isn't the song i wanted,song
this isn't the song i wanted,song
this isn't what i asked for,
this isn't what i asked for,
this isn't what i requested,
this isn't what i requested,
this isn't what i wanted,
this isn't what i wanted,
this isn't what i wanted,
this isn't what i wanted,
this isn't what i wanted,
this isn't what i wanted,
this not it,
this not it,
this not it,
this not it,
this not it,
this wasn't the one i wanted,
this wasn't the one i wanted,
this wrong,
this wrong,
this wrong,
this wrong,
this wrong,
this wrong,
this wrong,
this wrong,
thriller the album,album
thriller the artist,artist
thriller the artist,artist
thriller the artist,artist
tom petty the artist,artist
tom petty the artist,artist
tom petty the artist,artist
tom petty the artist,artist
tom petty the artist,artist
um not this,
um not this,
um not this,
uma thurman the song by green day,song
uma thurman the song by green day,song
uma thurman the song by green day,song
uma thurman the song by green day,song
uma thurman the song by green day,song
v the maroon 5 album,album
v the maroon 5 album,album
v the maroon 5 album,album
views the album by drake,album
views the album by drake,album
wrong,
wrong album,album
wrong album,album
wrong album,album
wrong album,album
wrong album,album
wrong aneeda,
wrong aneeda,
wrong artist,artist
wrong artist,artist
wrong artist,artist
wrong one,
wrong one,
wrong one,
wrong one aneeda,
wrong one aneeda,
wrong one aneeda,
wrong song,song
wrong song,song
wrong song,song
wrong song,song
wrong song,song
wrong thing,
wrong thing,
wrong thing,
wrong thing,
wrong thing,
wrong wrong,
wrong wrong,
wrong wrong,
wrong wrong,
wrong wrong,
wrong wrong,
wrong wrong,
wrong wrong,
wrong wrong,
wrong wrong,
you got it wrong,
you got it wrong,
you got it wrong,
you got the wrong one,
you got the wrong one,
you played the wrong thing,
you played the wrong thing,
you played the wrong thing,
you played the wrong thing,
you're playing the wrong one,
you've got it wrong,
you've got it wrong,
you've got it wrong,
you've got it wrong,
you've got it wrong,
