VolumeResponse,VolumeUp,VolumeDown,VolumeMax,VolumeMin,VolumeLevel,VolumeIncremental
set volume to maximum,,,maximum,,,
set volume to maximum,,,maximum,,,
softer please,,softer,,,,
softer please,,softer,,,,
softer please,,softer,,,,
take it down,,down,,,,
take it down,,down,,,,
take it down,,down,,,,
take it down,,down,,,,
take it down,,down,,,,
take the volume down 4 notches,,down,,,,4
take the volume down 4 notches,,down,,,,4
take the volume down by 2 notches,,down,,,,2
take the volume down by 2 notches,,down,,,,2
take the volume down by 2 notches,,down,,,,2
take the volume down to a 1,,down,,,1,
take the volume to 3,,,,,3,
take the volume to 3,,,,,3,
take the volume to 3,,,,,3,
take the volume to 3,,,,,3,
take the volume to the highest setting,,,highest,,,
take the volume to the highest setting,,,highest,,,
take the volume to the highest setting,,,highest,,,
take volume to 3,,,,,3,
take volume to 3,,,,,3,
turn down the volume,,down,,,,
turn it down,,down,,,,
turn it down,,down,,,,
turn it down,,down,,,,
turn it down 3 notches,,down,,,,3
turn it down 3 notches,,down,,,,3
turn it down a little,,down,,,,
turn it down by 2 levels,,down,,,,2
turn it down by 2 levels,,down,,,,2
turn it down by 2 levels,,down,,,,2
turn it down by 2 levels,,down,,,,2
turn it down by 2 levels,,down,,,,2
turn it down by 2 levels,,down,,,,2
turn it down by 2 levels,,down,,,,2
turn it down by 2 levels,,down,,,,2
turn it down please,,down,,,,
turn it down please,,down,,,,
turn it down to level 3,,down,,,3,
turn it down to level 3,,down,,,3,
turn it down to level 3,,down,,,3,
turn it down to level 3,,down,,,3,
turn it up,up,,,,,
turn it up 2 levels,up,,,,,2
turn it up higher,up,,,,,
turn it up higher,up,,,,,
turn it up to a 7,up,,,,7,
turn the sound up,up,,,,,
turn the volume down lower,,down,,,,
turn the volume up,up,,,,,
turn the volume up higher,up,,,,,
turn the volume up to 10,up,,,,10,
turn the volume up to 10,up,,,,10,
turn the volume up to a 6,up,,,,6,
turn the volume up to a 6,up,,,,6,
turn the volume up to a 6,up,,,,6,
turn the volume up to a 6,up,,,,6,
turn the volume up to a 6,up,,,,6,
turn the volume up to a 6,up,,,,6,
turn the volume up to a 6,up,,,,6,
turn the volume up to a 6,up,,,,6,
turn up the sound,up,,,,,
turn up the sound,up,,,,,
turn volume to its loudest,,,loudest,,,
up the volume,up,,,,,
up the volume 2 levels,up,,,,,2
up the volume 2 levels,up,,,,,2
up the volume 2 levels,up,,,,,2
up the volume 2 levels,up,,,,,2
up the volume 2 levels,up,,,,,2
up the volume by 2 levels,up,,,,,2
up the volume by 2 levels,up,,,,,2
up the volume by 2 levels,up,,,,,2
up the volume by 2 levels,up,,,,,2
up the volume to 9,up,,,,9,
up the volume to 9,up,,,,9,
volume down,,down,,,,
volume down,,down,,,,
volume high,high,,,,,
volume higher,higher,,,,,
volume low,,low,,,,
volume low,,low,,,,
volume low,,low,,,,
volume lower,,lower,,,,
volume lower,,lower,,,,
volume up,up,,,,,
volume up,up,,,,,
volume up,up,,,,,
