MusicPlayResponse,MusicPlayAlbumArtistSong,MusicPlaySongAlbum,MusicPlayAlbumArtist,MusicPlaySong,MusicPlayArtist,MusicPlayAlbum,MusicPlayEra,MusicPlayGenre,MusicPlayMood,MusicPlayCollection,MusicPlayKeyword,MusicPlayNew,MusicPlaySimilar
could you play my love is your love by whitney houston the album,,,,,whitney houston,my love is your love,,,,,,,
could you play some 70s music ,,,,,,,70s,,,,,,
could you play some fela kuti radio,,,,,fela kuti,,,,,,,,radio
could you play some good house party music,,,,,,,,,,,house party,,
could you play the because of you album,,,,,,because of you,,,,,,,
could you play the latest by the weeknd,,,,,the weeknd,,,,,,,latest,
could you play their top hits,,,,,their,,,,,,,,
could you play this song please,,,,this,,,,,,,,,
could you put on new year's day,new year's day,,,,,,,,,,,,
could you put on some more artists like salt n pepa,,,,,salt n pepa,,,,,,,,like
could you put on the turned up playlist,,,,,,,,,,turned up,,,
do you have 21 by hunter hayes,,21,,,hunter hayes,,,,,,,,
do you have the song things we lost in the fire by bastille,,,,things we lost in the fire,bastille,,,,,,,,
I feel like listening to don't fear the reaper,don't fear the reaper,,,,,,,,,,,,
I feel like some new age rock,,,,,,,,new age rock,,,,,
I wanna hear 1970s punk ,,,,,,,1970s,punk,,,,,
I wanna hear clarity by zedd,,clarity,,,zedd,,,,,,,,
I wanna hear dixieland hits,,,,,,,,dixieland,,,,,
I wanna hear garden city movement,garden city movement,,,,,,,,,,,,
I wanna hear slow motion,slow motion,,,,,,,,,,,,
I wanna hear some 70s arena rock ,,,,,,,70s,arena rock ,,,,,
I wanna hear some loud 80s rock,,,,,,,80s,rock,,,,,
I wanna hear the song i love to love but my baby loves to dance,,,,i love to love but my baby loves to dance,,,,,,,,,
I wanna listen to Lady Gaga ,Lady Gaga ,,,,,,,,,,,,
I wanna listen to really really,really really,,,,,,,,,,,,
I want to hear 80s glam rock hits ,,,,,,,80s,glam rock,,,,,
i want to hear flo rida,flo rida,,,,,,,,,,,,
I want to hear some singers like rashid khan,,,,,rashid khan,,,,,,,,like
I want to hear the song idgaf,,,,idgaf,,,,,,,,,
I want to listen to 50's music,,,,,,,50's,,,,,,
I want to listen to coffee by miguel,,coffee,,,miguel,,,,,,,,
I want to listen to damita jo,damita jo,,,,,,,,,,,,
I want to listen to indie music,,,,,,,,indie,,,,,
I want to listen to she bangs ,she bangs,,,,,,,,,,,,
I want to listen to the song tie a yellow ribbon round the ole oak tree,,,,tie a yellow ribbon round the ole oak tree,,,,,,,,,
I'd like hear the greatest hits by inxs,,the greatest hits,,,inxs,,,,,,,,
I'd like to hear artists like rage against the machine,,,,,rage against the machine,,,,,,,,like
I'd like to hear folk hits from the 70s,,,,,,,70s,folk,,,,,
I'd like to hear lmfao,lmfao,,,,,,,,,,,,
I'd like to hear send my love to your new lover,send my love to your new lover,,,,,,,,,,,,
I'd like to hear some maroon 5,maroon 5,,,,,,,,,,,,
I'd like to hear some modern jazz,,,,,,,,modern jazz,,,,,
I'd like to hear the new song from nicki minaj,,,,,nicki minaj,,,,,,,new,
I'd like to hear the song i will survive,,,,i will survive,,,,,,,,,
I'd like to hear thinkin bout you by frank ocean,,thinkin bout you,,,frank ocean,,,,,,,,
I'd like to listen to the birth of ne-yo,the birth of ne-yo,,,,,,,,,,,,
I'd like to listen to tiny dancer ,tiny dancer,,,,,,,,,,,,
I'm feeling down today play me something cheerful,,,,,,,,,cheerful ,,,,
I'm in the mood for some classical music,,,,,,,,classical,,,,,
I'm in the mood for some relaxing music,,,,,,,,,relaxing,,,,
Let's get some happy music on ,,,,,,,,,happy,,,,
let's hear 80s soca hits,,,,,,,80s,soca,,,,,
let's hear artists similar to idina menzel,,,,,idina menzel,,,,,,,,similar
let's hear bz20 by boyzone,,bz20,,,boyzone,,,,,,,,
let's hear her album called our version of events,,,,,her,our version of events,,,,,,,
let's hear her music,,,,,her,,,,,,,,
let's hear his song miyazaki,,,,miyazaki,his,,,,,,,,
let's hear his songs,,,,,his,,,,,,,,
let's hear his station,,,,,his,,,,,,,,
let's hear hotline bling,hotline bling,,,,,,,,,,,,
let's hear i can't help falling in love with you by ub40,,i can't help falling in love with you,,,ub40,,,,,,,,
let's hear kehlani's song advice,,,,advice,kehlani,,,,,,,,
let's hear some bounce music,,,,,,,,bounce,,,,,
let's hear some more artists like rocky horror,,,,,rocky horror,,,,,,,,like
let's hear some trance music from the 2000s,,,,,,,2000s,trance,,,,,
let's hear something jolly,,,,,,,,,jolly,,,,
let's hear the album if you're reading this it's too late,,,,,,if you're reading this it's too late,,,,,,,
let's hear the coldplay song that just came out,,,,,coldplay,,,,,,,just,
let's hear the fanmail album from tlc,,,,,tlc,fanmail,,,,,,,
let's hear the new songs by big sean,,,,,big sean,,,,,,,new,
let's hear the song save my soul by r city,,,,save my soul,r city,,,,,,,,
let's listen the album on the 6,,,,,,on the 6,,,,,,,
let's listen to the song baby boy,,,,baby boy,,,,,,,,,
let's rock to some gentleman ky-mani marley,gentleman ky-mani marley,,,,,,,,,,,,
plan an acoustic curation,,,,,,,,,,,acoustic ,,
plan an island mix,,,,,,,,,,,island,,
play 1980's music,,,,,,,1980's,,,,,,
play 1980s dancehall jams,,,,,,,1980s,dancehall,,,,,
Play 1990s radio,,,,,,,1990s,,,,,,
play 1992 top hits ,,,,,,,1992,,,,,,
play 2 phones,2 phones,,,,,,,,,,,,
play 38 special's most popular songs,,,,,38 special,,,,,,,,
play 3am from meghan trainor,,3am,meghan trainor,,,,,,,,,,
Play 50 cent curtis album ,,,,,50 cent,curtis,,,,,,,
play 6 god by drake,,6 god,,,drake,,,,,,,,
play 60s rock and roll,,,,,,,60s,rock and roll,,,,,
play 70s radio ,,,,,,,70s,,,,,,
play 80's music,,,,,,,80's,,,,,,
play 70s music,,,,,,,70s,,,,,,
play 90s music,,,,,,,90s,,,,,,
play 2000s music,,,,,,,2000s,,,,,,
play 80s hits,,,,,,,80s,,,,,,
play 60s hits,,,,,,,60s,,,,,,
play 80s hits,,,,,,,80s,,,,,,
play sixties music,,,,,,,sixties,,,,,,
play eighties music,,,,,,,eighties,,,,,,
play nineties music,,,,,,,nineties,,,,,,
play sixties hits,,,,,,,sixties,,,,,,
play eighties hits,,,,,,,eighties,,,,,,
play nineties hits,,,,,,,nineties,,,,,,
Play 90's songs ,,,,,,,90's,,,,,,
Play 90s britpop radio,,,,,,,90s ,britpop,,,,,
Play 90s jams,,,,,,,90s,,,,,,
Play 90s R&B,,,,,,,90s,R&B,,,,,
Play 90's r&b,,,,,,,90's,r&b,,,,,
play a 2000s bubblegum radio station,,,,,,,2000s,bubblegum,,,,,
Play a 90s neo-soul music station ,,,,,,,90s ,neo-soul,,,,,
play a 90s r and b station,,,,,,,90s,r and b,,,,,
play a 90s music station,,,,,,,90s,,,,,,
play a band called the staple singers,,,,,the staple singers,,,,,,,,
play a curation called head bangers ,,,,,,,,,,,head bangers ,,
play a genre called midwest rap,,,,,,,,midwest rap,,,,,
play a icona pop station,,,,,icona pop,,,,,,,,station
play a mambo set,,,,,,,,mambo,,,,,
play a Man Crush Monday curation,,,,,,,,,,,Man Crush Monday ,,
play a mix for tailgating,,,,,,,,,,,tailgating,,
play a queen station,,,,,queen,,,,,,,,station
play a set for running,,,,,,,,,,,running,,
play a similar station,,,,,,,,,,,,,station
play a song called in the summertime,,,,in the summertime,,,,,,,,,
Play a song from 1976,,,,,,,1976,,,,,,
play a song named i'm in the mood for dancing,,,,i'm in the mood for dancing,,,,,,,,,
play a station like this,,,,,this,,,,,,,,station
play a station of acid jazz hits,,,,,,,,acid jazz,,,,,
play a station of music from the 2000s,,,,,,,2000s,,,,,,
play a station of similar songs,,,,,,,,,,,,,similar
play a track called layla,,,,layla,,,,,,,,,
play alan jackson's album called 34 number ones,,,,,alan jackson,34 number ones,,,,,,,
Play album hozier,,,,,,hozier,,,,,,,
play album redemption of the beast from dmx,,,,,dmx,redemption of the beast,,,,,,,
play album walkin after midnight by patsy cline,,,,,patsy cline,walkin after midnight,,,,,,,
play alex sierra's you're the one that i want,,you're the one that i want,,,alex sierra,,,,,,,,
play alice in chains tears,,tears,,,alice in chains,,,,,,,,
play all songs off the 24 hrs album,,,,,,24 hrs,,,,,,,
play ambient music,,,,,,,,ambient ,,,,,
play american pie for me ,american pie,,,,,,,,,,,,
play amy grant tennessee christmas album,,,,,amy grant,tennessee christmas,,,,,,,
play an 80s music station,,,,,,,80s,,,,,,
play an afropunk station,,,,,,,,afropunk,,,,,
play an album called big love by simply red,,,,,simply red,big love,,,,,,,
Play an album called views,,,,,,views,,,,,,,
play an artist called lifehouse,,,,,lifehouse,,,,,,,,
play an artist named larry the cable guy,,,,,larry the cable guy,,,,,,,,
play an ice cube station,,,,,ice cube,,,,,,,,station
play an upbeat music station,,,,,,,,,upbeat ,,,,
play anita baker's the best of anita baker album,,,,,anita baker,the best of anita baker,,,,,,,
play ant cruze and the superstars,ant cruze and the superstars,,,,,,,,,,,,
play anything,,,,,,,,,,,,,
play arctic monkeys songs,,,,,arctic monkeys,,,,,,,,
play artist the lonely island,,,,,the lonely island,,,,,,,,
play artists like jedi mind tricks,,,,,jedi mind tricks,,,,,,,,like
play artists like ne-yo,,,,,ne-yo,,,,,,,,like
play artists similar to 2 chainz,,,,,2 chainz,,,,,,,,similar
play artists that are similar to new york philharmonic,,,,,new york philharmonic,,,,,,,,similar
play bands similar to pixies,,,,,pixies,,,,,,,,similar
play bands that are similar to them,,,,,them,,,,,,,,
play bb king radio,,,,,bb king,,,,,,,,radio
play beartooth's sick and disgusting,,sick and disgusting,,,beartooth,,,,,,,,
play beautiful life 2 mine from trip lee,,beautiful life 2 mine,trip lee,,,,,,,,,,
Play Beyonce's 4 album ,,,,,Beyonce,4,,,,,,,
Play beyonce's album beyonce,,,,,beyonce,beyonce,,,,,,,
play beyonce's self-titled album,,,,,,beyonce,,,,,,,
play black stone cherry's soul machine,,soul machine,,,black stone cherry,,,,,,,,
play boom boom pow please,boom boom pow,,,,,,,,,,,,
play bounce music from the early 2000s,,,,,,,early 2000s,bounce,,,,,
Play brand new songs from gnash,,,,,gnash,,,,,,,new,
play breakup music,,,,,,,,,,,breakup ,,
play bryson tiller's track second call interlude,,,,second call interlude,bryson tiller,,,,,,,,
play cake by the ocean,cake by the ocean,,,,,,,,,,,,
play cali to new york,cali to new york,,,,,,,,,,,,
play Celtic Music please,,,,,,,,Celtic,,,,,
Play Chandelier by Sia,,Chandelier,,,Sia,,,,,,,,
play christmas music please,,,,,,,,,,,christmas,,
Play country music from the 80s,,,,,,,80s,country ,,,,,
play dance with me tonight from olly murs,,dance with me tonight,olly murs,,,,,,,,,,
play davina and the vagabonds,davina and the vagabonds,,,,,,,,,,,,
play depressing music,,,,,,,,,depressing ,,,,
play ed sheeran's latest single,,,,,ed sheeran,,,,,,,latest,
play edm music station,,,,,,,,edm,,,,,
Play eighties decade radio,,,,,,,eighties,,,,,,
play ella henderson's record ghost remixes,,,,,ella henderson,ghost remixes,,,,,,,
Play energetic music,,,,,,,,,energetic,,,,
play familia by sophie ellis-bextor,,familia,,,sophie ellis-bextor,,,,,,,,
play faye wong hits,,,,,faye wong,,,,,,,,
play firework,firework,,,,,,,,,,,,
play florida georgia line's hit music,,,,,florida georgia line,,,,,,,,
play for your entertainment the album,,,,,,for your entertainment,,,,,,,
play forrest gump the soundtrack,,,,,,forrest gump,,,,,,,
Play funk music,,,,,,,,funk,,,,,
play genre europop,,,,,,,,europop,,,,,
play her album lights,,,,,her,lights,,,,,,,
Play her hits,,,,,her,,,,,,,,
Play her hits please,,,,,her,,,,,,,,
play her last album,,,,,her,,,,,,,last,
Play her music,,,,,her,,,,,,,,
play her new single,,,,,her,,,,,,,new,
Play her song Hello,,,,Hello,her,,,,,,,,
play her song titled let it roll,,,,let it roll,her,,,,,,,,
play her station,,,,,her,,,,,,,,
Play her top songs,,,,,her,,,,,,,,
play high energy workout music for me,,,,,,,,,,,high energy workout,,
Play him,,,,,him,,,,,,,,
play his new album,,,,,his,,,,,,,new,
play his record titled clarity,,,,,his,clarity,,,,,,,
play his section 80 record,,,,,his,section 80,,,,,,,
Play his song called Sorry ,,,,Sorry ,his,,,,,,,,
play his to pimp a butterfly album,,,,,his,to pimp a butterfly,,,,,,,
Play hit music from 1988,,,,,,,1988,,,,,,
play hits by ludwig van beethoven,,,,,ludwig van beethoven,,,,,,,,
play hits by pitbull,,,,,pitbull,,,,,,,,
play hits from the year 2016,,,,,,,2016,,,,,,
Play hot Miami strip club music ,,,,,,,,,,,Miami strip club ,,
play hozier's take me to church,,take me to church,,,hozier,,,,,,,,
play i love it the track,,,,i love it,,,,,,,,,
play in for the kill by the artist la roux,,in for the kill,,,la roux,,,,,,,,
play it,it,,,,,,,,,,,,
play it 's only rock'n roll but i like it,it 's only rock'n roll but i like it,,,,,,,,,,,,
play ivy top songs,,,,,ivy,,,,,,,,
play jack black's top songs,,,,,jack black ,,,,,,,,
play jay sean's the mistress album,,,,,jay sean,the mistress,,,,,,,
play john newman ,john newman,,,,,,,,,,,,
play johnny cash album man in black,,,,,johnny cash,man in black,,,,,,,
Play Just the Way You Are by Bruno Mars,,Just the Way You Are,,,Bruno Mars,,,,,,,,
play kelly clarkson's new songs,,,,,kelly clarkson,,,,,,,new,
play konkrete jungle the akon album,,,,,akon,konkrete jungle,,,,,,,
play lana del rey's track summertime sadness,,,,summertime sadness,lana del rey,,,,,,,,
play latin radio hits,,,,,,,,latin,,,,,
play leon bridges better man,,better man,,,leon bridges,,,,,,,,
play linkin park new songs,,,,,linkin park,,,,,,,new,
play lullabies for my kids,,,,,,,,,,,lullabies,,
play madonna the song,,,,madonna,,,,,,,,,
play marina and the diamonds,marina and the diamonds,,,,,,,,,,,,
play me 1990s alternative rock music ,,,,,,,1990s,alternative rock,,,,,
play me a fall out boy station,,,,,fall out boy,,,,,,,,station
play me a song called jumpman,,,,jumpman,,,,,,,,,
Play me her top tracks,,,,,her,,,,,,,,
play me if i ever fall in love,if i ever fall in love,,,,,,,,,,,,
play me more stuff like jj72,,,,,jj72,,,,,,,,like
play me music to fall asleep to ,,,,,,,,,,,fall asleep,,
play me my class reunion playlist,,,,,,,,,,class reunion,,,
play me my playlist called old faves,,,,,,,,,,old faves,,,
play me new miranda lambert ,,,,,miranda lambert,,,,,,,new,
Play me some 70s disco ,,,,,,,70s,disco,,,,,
Play me some hits from the '50s.,,,,,,,'50s,,,,,,
Play me some indie rock tunes,,,,,,,,indie rock,,,,,
Play me some madonna,madonna,,,,,,,,,,,,
play me some thinking out loud,thinking out loud,,,,,,,,,,,,
play me some west coast rap ,,,,,,,,west coast rap ,,,,,
play me something like new found glory,,,,,new found glory,,,,,,,,like
play me something similar to rita ora,,,,,rita ora,,,,,,,,similar
play me supermassive black hole,supermassive black hole,,,,,,,,,,,,
play me that kid cudi song called mature nature,,,,mature nature,kid cudi,,,,,,,,
play me the album so far so good by bryan adams,,,,,bryan adams,so far so good,,,,,,,
Play me the album white noise,,,,,,white noise,,,,,,,
Play me the playlist called Three days grace,,,,,,,,,,Three days grace,,,
play me the song always look on the bright side of life,,,,always look on the bright side of life,,,,,,,,,
play me the song called la la la,,,,la la la,,,,,,,,,
play me the track le freak,,,,le freak,,,,,,,,,
play me the veronicas latest song,,,,,the veronicas,,,,,,,latest,
play me weezer's self-titled album,,,,,,weezer,,,,,,,
play me your best hardcore metal,,,,,,,,hardcore metal,,,,,
Play meditation music,,,,,,,,,,,meditation,,
play more artists like james blunt,,,,,james blunt,,,,,,,,like
play more like this artist,,,,,this,,,,,,,,like
play more music like this,,,,,this,,,,,,,,like
play more songs like this,,,,,this,,,,,,,,like
play more stuff like this,,,,,this,,,,,,,,like
play music ,,,,,,,,,,,,,
play music by the band twenty one pilots,,,,,twenty one pilots,,,,,,,,
Play music by the Beastie Boys,,,,,Beastie Boys,,,,,,,,
Play music by this artist ,,,,,this,,,,,,,,
play music by viento y sol,,,,,viento y sol,,,,,,,,
play music for a classy dinner party ,,,,,,,,,,,classy dinner party,,
Play music for a dance party,,,,,,,,,,,dance party,,
play music for a happy mood,,,,,,,,,happy,,,,
play music for a kid's party ,,,,,,,,,,,kid's party,,
play music for a somber occasion,,,,,,,,,somber,,,,
play music for a super bowl party ,,,,,,,,,,,super bowl ,,
Play music for feeling like a boss,,,,,,,,,,,like a boss,,
play music for our office holiday party ,,,,,,,,,,,office holiday party,,
play music for studying,,,,,,,,,,,studying,,
Play music from the 80s,,,,,,,80s,,,,,,
play music from john barry orchestra,,,john barry orchestra,,,,,,,,,,
play music from justin timberlake's futuresex lovesounds,,,,,justin timberlake,futuresex lovesounds,,,,,,,
play music from memoirs of a madman,,,memoirs of a madman,,,,,,,,,,
Play music from my rap legends mix,,,,,,,,,,rap legends,,,
play music from santana's album abraxas,,,,,santana,abraxas,,,,,,,
play music from the 1980's,,,,,,,1980's,,,,,,
Play top songs from the 80s era,,,,,,,80s,,,,,,
play music from the 70s era,,,,,,,70s,,,,,,
Play music from the 90s,,,,,,,90s,,,,,,
Play music from the 2000s decade,,,,,,,2000s,,,,,,
play music from the 50 greatest love songs by elvis presley,,,,,elvis presley,the 50 greatest love songs,,,,,,,
play music from the 1970s,,,,,,,1970s,,,,,,
play music from the album a fever you can't sweat out,,,,,,a fever you can't sweat out,,,,,,,
play music from the album dig your roots,,,,,,dig your roots,,,,,,,
play music from the album midnight marauders by a tribe called quest,,,,,a tribe called quest,midnight marauders,,,,,,,
play music from the deep house genre,,,,,,,,deep house ,,,,,
play music from the finding dory soundtrack,,,,,,finding dory,,,,,,,
play music from the genre of reggaeton ,,,,,,,,reggaeton,,,,,
play music from the movie rocky iv,,,,,,rocky iv,,,,,,,
play music like this,,,,,this,,,,,,,,like
play music similar to jason mraz,,,,,jason mraz,,,,,,,,similar
play music that sounds gloomy,,,,,,,,,gloomy,,,,
play music that sounds like r kelly,,,,,r kelly,,,,,,,,like
play music to dance to,,,,,,,,dance,,,,,
play music to make me feel like a boss ,,,,,,,,,,,like a boss,,
Play my 80s Rock playlist,,,,,,,,,,80s Rock,,,
play my barenaked ladies station,,,,,barenaked ladies,,,,,,,,station
play my beyonce mix,,,,,,,,,,beyonce,,,
play my chemical romance's album life on the murder scene,,,,,my chemical romance,life on the murder scene,,,,,,,
play my collection called rock faves,,,,,,,,,,rock faves,,,
play my collection named brit divas,,,,,,,,,,brit divas,,,
play my collection of taylor swift songs,,,,,,,,,,taylor swift,,,
play my collection of twerking music,,,,,,,,,,twerking,,,
play my collection of workout music,,,,,,,,,,workout music,,,
play my dear country,my dear country,,,,,,,,,,,,
play my drake mix,,,,,,,,,,drake,,,
play my family reunion mix,,,,,,,,,,family reunion,,,
Play my funky playlist,,,,,,,,,,funky,,,
play my girl,my girl,,,,,,,,,,,,
Play my greatest hits from the 80s playlist.,,,,,,,,,,greatest hits from the 80s,,,
play my indian music,,,,,,,,,,indian,,,
play my intense workout tunes,,,,,,,,,,intense workout,,,
play my kanye west songs,,,,,,,,,,kanye west,,,
play my madonna collection,,,,,,,,,,madonna,,,
play my mix called hot tracks,,,,,,,,,,hot tracks,,,
play my music called teenybopper,,,,,,,,,,teenybopper,,,
play my oh my by macklemore & ryan lewis,,my oh my,,,macklemore & ryan lewis,,,,,,,,
play my own r&b divas playlist,,,,,,,,,,r&b divas,,,
play my plague,my plague,,,,,,,,,,,,
play my playlist called 90s r&b,,,,,,,,,,90s r&b,,,
play my playlist called soft rock,,,,,,,,,,soft rock,,,
play my playlist called starred,,,,,,,,,,starred,,,
play my playlist named driving mix,,,,,,,,,,driving mix,,,
Play my Sleepy Time playlist,,,,,,,,,,Sleepy Time,,,
Play my Sunday Morning playlist please.,,,,,,,,,,Sunday Morning,,,
play my work songs,,,,,,,,,,work,,,
Play new album by whitesnake,,,,,whitesnake,,,,,,,new,
play new cake songs ,,,,,Cake,,,,,,,new,
play new hits by bon jovi,,,,,bon jovi,,,,,,,new,
play new mike posner,,,,,mike posner,,,,,,,new,
Play new music by galantis,,,,,galantis,,,,,,,new,
play new music by the band the shins,,,,,the shins,,,,,,,new,
play new music from amanda palmer,,,,,amanda palmer,,,,,,,new,
play new shoes ,new shoes,,,,,,,,,,,,
play new tracks by the wanted,,,,,the wanted,,,,,,,new,
play new tunes from muse,,,,,muse,,,,,,,new,
play new york blues ,new york blues,,,,,,,,,,,,
play new york new york ,new york new york ,,,,,,,,,,,,
play new york state of mind,new york state of mind,,,,,,,,,,,,
play newest aqualung songs,,,,,aqualung,,,,,,,newest,
play nothing was the same the album,,,,,,nothing was the same,,,,,,,
play ol dirty bastard's hit songs,,,,,ol dirty bastard,,,,,,,,
Play old 80's songs,,,,,,,80's,,,,,,
play on how life is the album by macy gray,,,,,macy gray,on how life is,,,,,,,
play pass the love around sung by krewella,,,,pass the love around,krewella,,,,,,,,
Play pearl jam's album called pearl jam ,,,,,pearl jam,pearl jam,,,,,,,
Play pop punk songs from the 90's,,,,,,,90's,pop punk,,,,,
play pop that lock,pop that lock,,,,,,,,,,,,
play popular 90s hits,,,,,,,90s,,,,,,
play post malone station,,,,,post malone,,,,,,,,station
play prom songs ,,,,,,,,,,,prom,,
play purple haze by cam'ron the album,,,,,cam'ron,purple haze,,,,,,,
play R&B divas ,,,,,,,,R&B divas ,,,,,
Play radiohead,radiohead,,,,,,,,,,,,
play recent music by joss stone,,,,,joss stone,,,,,,,recent,
play reggae from the 60s ,,,,,,,60s,reggae,,,,,
play rick ross the hits,,,,,rick ross,,,,,,,,
play rihanna's hits ,,,,,rihanna,,,,,,,,
Play Roadtrip playlist,,,,,,,,,,Roadtrip,,,
play rush clockwork angels album,,,,,rush,clockwork angels,,,,,,,
play ruth b's song called 2 poor kids,,,,2 poor kids,ruth b,,,,,,,,
play sad breakup songs ,,,,,,,,,,,breakup ,,
play sad songs,,,,,,,,,sad,,,,
play sade's last album,,,,,sade,,,,,,,last,
play sex and love the album by enrique iglesias,,,,,enrique iglesias,sex and love,,,,,,,
play shawn mendes song called i don't even know your name,,,,i don't even know your name,shawn mendes,,,,,,,,
play similar artists,,,,,,,,,,,,,similar
play similar artists like erykah badu,,,,,erykah badu,,,,,,,,similar
play similar artists to e-z rollers,,,,,e-z rollers,,,,,,,,similar
play similar artists to him,,,,,him,,,,,,,,
play similar bands ,,,,,,,,,,,,,similar
play similar music,,,,,,,,,,,,,similar
play similar songs ,,,,,,,,,,,,,similar
play similar tracks,,,,,,,,,,,,,similar
play some 1980s rhythm and blues ,,,,,,,1980s,rhythm and blues,,,,,
Play some 60s british invasion music,,,,,,,60s,british invasion,,,,,
play some 70s music ,,,,,,,70s,,,,,,
Play some 70s pop ,,,,,,,70s,pop,,,,,
play some 90s east coast rap ,,,,,,,90s,east coast rap ,,,,,
play some acoustic favorites ,,,,,,,,,,,acoustic ,,
play some artists like 2ne1,,,,,2ne1,,,,,,,,like
play some artists similar to 4 non blondes,,,,,4 non blondes,,,,,,,,similar
play some bands like p diddy,,,,,p diddy,,,,,,,,like
play some brooding stuff,,,,,,,,,brooding,,,,
play some depressing music for me,,,,,,,,,depressing ,,,,
play some dj snake please,dj snake,,,,,,,,,,,,
play some dope remixes,,,,,,,,,,,dope remixes ,,
play some dubstep for me,,,,,,,,dubstep,,,,,
play some good 90s jams,,,,,,,90s ,,,,,,
play some good sing-along tunes ,,,,,,,,,,,sing-along ,,
play some good tango music,,,,,,,,tango,,,,,
play some good walk up songs ,,,,,,,,,,,walk up ,,
play some iconic divas,,,,,,,,,,,iconic divas ,,
play some jams for clubbing ,,,,,,,,,,,clubbing,,
play some joy to the world ,joy to the world,,,,,,,,,,,,
Play some little mix tunes,,,,,little mix,,,,,,,,
play some more artists like jennifer hudson,,,,,jennifer hudson,,,,,,,,like
play some more like this artist,,,,,this,,,,,,,,like
play some music ,,,,,,,,,,,,,
Play some music by him ,,,,,him,,,,,,,,
play some music by jes,,,,,jes,,,,,,,,
play some music for coding ,,,,,,,,,,,coding ,,
play some music for new year's eve,,,,,,,,,,,new year's eve,,
play some music for this barbeque,,,,,,,,,,,barbeque,,
play some music that's good for driving ,,,,,,,,,,,driving,,
play some music to study to,,,,,,,,,,,study,,
play some new music by the strokes,,,,,the strokes,,,,,,,new,
Play some new releases,,,,,,,,,,,,new,
play some new stuff from jadakiss,,,,,jadakiss,,,,,,,new,
play some nineties tunes ,,,,,,,nineties ,,,,,,
play some of lang lang's music,,,,,lang lang,,,,,,,,
Play some of their hits,,,,,their,,,,,,,,
play some onerepublic songs,,,,,onerepublic,,,,,,,,
play some recent music by kanye west ,,,,,kanye west ,,,,,,,recent,
Play some sad music,,,,,,,,,sad,,,,
Play some sad stuff ,,,,,,,,,Sad,,,,
play some singers like oakenfold,,,,,oakenfold,,,,,,,,like
play some songs ,,,,,,,,,,,,,
Play some songs by 30 Seconds to Mars,,,,,30 Seconds to Mars,,,,,,,,
play some songs by bass drum of death,,,,,bass drum of death,,,,,,,,
Play some songs by creed,,,,,creed,,,,,,,,
Play some songs by him ,,,,,him ,,,,,,,,
play some songs for a road trip ,,,,,,,,,,,road trip ,,
Play some songs from the 1950s.,,,,,,,1950s,,,,,,
play some songs good for singing in the shower ,,,,,,,,,,,singing in the shower,,
Play some Stevie Wonder,Stevie Wonder,,,,,,,,,,,,
play some stuff that's like rock mafia,,,,,rock mafia,,,,,,,,like
play some tracks by dr. dre,,,,,dr. dre,,,,,,,,
play some twerking music,,,,,,,,,,,twerking,,
Play some Welcome to the jungle,Welcome to the jungle,,,,,,,,,,,,
play someone like a flock of seagulls,,,,,a flock of seagulls,,,,,,,,like
play something ,,,,,,,,,,,,,
play something beautiful the song by tori kelly,,,,something beautiful,tori kelly,,,,,,,,
Play something by the chainsmokers ,,,,,the chainsmokers,,,,,,,,
Play something by them ,,,,,them ,,,,,,,,
