Answer.OpenAnswer1,Answer.AlarmTime,Answer.AlarmDate,Answer.AlarmRecurring
Please set an alarm for tomorrow morning at 8 am.,8 am,Tomorrow,
"Please set me a weekly recurring alarm for 5:00PM on Monday, Wednesday, and Friday.",5:00PM,"Monday, Wednesday and Friday",recurring
Please set my alarm for 5:30 in the morning tomorrow.,5:30,Tomorrow,
Please set my alarm for 6am tomorrow morning.,6am,,
Please set my alarm for 8:30 am.,8:30 am,,
Please set my alarm to 4am on monday.,4am,monday,
Please set my alarm to 7pm tomorrow evening,7pm,Tomorrow,
Please set my alarm to 8AM Monday-Friday.,8AM,Monday-Friday,
Please wake me up at 6:40 am every weekday.,6:40 AM,weekday,every
Please wake me up at 9 a.m.,9 a.m,,
Please wake me up at nine A.M. tomorrow morning.,nine A.M,Tomorrow,
"Please, alert me every Monday at 13:30 - meeting with my boss",13:30,monday,every
Remind me to put the recycle out every Friday at 8am,8am,Friday,every
Remind me to wake up tomorrow morning at 8AM,8AM,Tomorrow,
"Robot, set my alarm to 8 o' clock AM monday through friday",8 o' clock AM,Monday through Friday,through
Send me an alarm each day at 5:30 am so I can wake up,5:30 am,5:30 am,each day
Set  my alarm for 0630.,0630,,
set a alarm,,,
set a one time alarm for 8:00 AM tomorrow,8:00 AM,tomorrow,
Set a one time alarm for six-thirty am,six-thirty am,,
Set a recurring alarm for 10AM,10AM,,recurring
set a recurring alarm for 7 AM,7 AM,,recurring
Set a wake up alarm for 6:30 tomorrow morning.,6:30,tomorrow,
set alarm,,,
Set alarm,,,
set Alarm,,,
Set alarm,,,
set alarm,,,
Set Alarm,,,
"set alarm ""laundry"" for 3pm",3pm,,
Set alarm 6 AM Monday,6 AM,Monday,
set alarm 6:30 AM Monday,6:30 AM,Monday,
Set alarm 7 AM everyday from Monday to Friday,7 AM,Monday to Friday,everyday
Set alarm 7:00 am,7:00 am,,
set alarm 8am everyday,8am,,everyday
Set alarm at 6 AM.,6 AM,,
Set alarm at 6:00 am everyday,6:00 am,,everyday
set alarm clock  8:00AM Monday tomorrow morning.,8:00AM,Monday,
SET ALARM CLOCK FOR 7 A.M. TOMORROW,7 A.M.,TOMORROW,
Set alarm daily to 5.30 AM for Exercise daily,5.30 AM,,daily
Set alarm for,,,
set alarm for 05:00,05:00,,
Set Alarm for 1 pm,1 pm,,
Set alarm for 10:00 AM tomorrow.,10:00 AM,tomorrow,
set alarm for 10am tomorrow morning,10am,,
Set alarm for 2'o clock,2'o clock,,
Set Alarm for 2:00 pm,2:00 pm,,
set alarm for 2pm today.,2pm,today,
Set alarm for 3:00 Pm on Tuesday,3:00 Pm,Tuesday,
set alarm for 3pm,3pm,,
Set alarm for 4 o'clock,4 o'clock,,
set alarm for 4pm,4pm,,
Set alarm for 5 A.M.,5 A.M.,,
Set alarm for 5 am,5 am,,
Set alarm for 5 am,5 am,,
Set alarm for 5 am tomorrow,5 am,Tomorrow,
set alarm for 5:15 am for next wednesday,5:15 am,wednesday,
Set alarm for 5:30 in the morning for weekdays,5:30,weekdays,weekdays
set alarm for 5am tomorrow,5am,tomorrow,
Set alarm for 5am.,5am,,
Set Alarm for 5PM Today,5PM,Today,
Set alarm for 6 a.m. every weekday,6 a.m.,weekday,every
Set alarm for 6 AM,6 AM,,
set alarm for 6 am for every monday thru friday,6 am,monday thru friday,every
Set alarm for 6 AM.,6 am,,
set alarm for 6:00 am every weekday.,6:00 am,weekday,every
Set alarm for 6:00 AM tomorrow morning,6:00 AM,Tomorrow,
set alarm for 6:30am,6:30am,,
set alarm for 630am,630am,,
Set alarm for 6am every weekday,6am,weekday,every
Set alarm for 6am tomorrow.,6am,Tomorrow,
Set alarm for 6am.,6am,,
Set alarm for 7 am,7 am,,
Set alarm for 7 am.,7 am.,,
Set Alarm for 7:00 a.m.,7:00 a.m,,
Set alarm for 7:00 AM Monday,7:00 AM,Monday,
Set alarm for 7:15 AM everyday,7:15 AM,,everyday
set alarm for 7:20 a.m.,7:20 a.m.,,
Set alarm for 7:30,7:30,,
Set alarm for 7:30 AM,7:30 AM,,
Set Alarm for 7.15 am tomorrow morning the 16th of July 2016.,7.15 am,16th of July 2016,
Set alarm for 7am tomorrow,7am,Tomorrow,
Set Alarm for 7o clock,7o clock,,
Set alarm for 8 am on Thursday.,8 am,Thursday,
Set alarm for 8:00 am on monday.,8:00 am,Monday,
Set alarm for 8:00am,8:00am,,
Set alarm for 8:30 tomorrow morning,8:30,Tomorrow,
set alarm for 8:AM,8:AM,,
set alarm for 8.00am Monday through Friday,8.00am,Monday through Friday,through
Set alarm for 9 am tomorrow.,9 am,Tomorrow,
Set Alarm for eight am tomorrow morning,eight am,tomorrow,
set alarm for every monday at 5am,5am,Monday,every
SET ALARM FOR FRIDAY 6:00AM,6 :00AM,Friday,
Set alarm for Friday 7:00am,7:00am,Friday,
Set alarm for July 15 at 9pm,9pm,July 15,
set alarm for Monday 9 am,9 am,Monday,
Set alarm for Monday morning at 7 AM.,7 AM,Monday,
Set alarm for noon,noon,,
set alarm for one hour,one hour,,
Set alarm for Saturday July 16th at 9 am,9 am,Saturday,
Set alarm for Seven AM,Seven AM,,
Set alarm for seven am,Seven am,,
Set alarm for six AM every weekday,six AM,weekday,every
Set Alarm for Six Thirty A M,Six Thirty A M,,
Set alarm for tomorrow at 7:00 AM,7:00 AM,tomorrow,
set alarm for tomorrow at 8am,8am,tomorrow,
"Set alarm for tomorrow morning, 7 AM.",7 AM,Tomorrow morning,
Set alarm for tomorrow Saturday at 8 AM,8 AM,Saturday,
"Set Alarm for tomorrow, five AM.",five AM,,
Set alarm for tonight at 8:30 PM,8:30 PM,,
Set alarm for....,,,
Set alarm once to 1pm.,1pm,,
Set alarm to 6:30AM all week.,6:30AM,all week,all week
Set alarm to 7:00 AM everyday.,7:00 AM,,everyday
Set alarm Tuesday,,Tuesday,
"Set alarm, 7 AM",7 AM,,
"Set Alarm, every day, for 6 AM.",6 AM,,every
Set an alarm at 4:00 AM tomorrow.,4:00 AM,tomorrow,
Set an alarm every day for 6 AM.,6 AM,,every
Set an alarm for  Monday at 6' O clock morning,6' O clock,Monday,
Set an alarm for 10 pm tomorrow morning.,10 pm,tomorrow,
set an alarm for 10am on monday,10am,Monday,
set an alarm for 11am,11am,,
Set an alarm for 3:00.,3:00,,
Set an alarm for 4:30 AM,4:30 AM,,
Set an alarm for 5 pm.,5 pm.,,
Set an alarm for 5:30 am.,5:30 am,,
set an alarm for 5:30 pm,5:30 pm,,
Set an alarm for 5:30 tomorrow morning.,5:30 ,,
Set an alarm for 5am.,5am,,
Set an alarm for 5AM.,5AM,,
Set an alarm for 6 AM everyday.,6 AM,,everyday
Set an alarm for 6 AM on Sundays,6 AM,Sundays,Sundays
Set an alarm for 6:00 AM,6:00 AM,,
Set an alarm for 6:00 am.,6:00 AM,,
"Set an alarm for 6:30 A.M., please.",6:30 A.M.,,
Set an Alarm for 6:30 am tomorrow,6:30 am,Tomorrow,
Set an alarm for 6AM,6AM,,
set an alarm for 6pm,6pm,,
Set an alarm for 7 A M tomorrow.,7 A M,tomorrow,
Set an alarm for 7 a.m. tomorrow,7 a.m.,tomorrow,
Set an alarm for 7 am,7 am,,
Set an alarm for 7 AM,7 AM,,
Set an alarm for 7 AM tomorrow.,7 AM,Tomorrow,
Set an alarm for 7 AM tomorrow.,7 AM,tomorrow,
Set an alarm for 7 AM.,7 AM,,
Set an alarm for 7:00 pm,7:00 pm,,
Set an alarm for 7:45 AM,7:45 AM,,
Set an alarm for 7am.,7am,,
set an alarm for 8 a.m. Monday through Friday,8 a.m.,Monday through Friday,
Set an alarm for 8 am,8 am,,
Set an alarm for 8 AM every morning.,8 AM,,every
Set an alarm for 8 AM on Tuesdays,8 AM,Tuesdays,Tuesdays
Set an alarm for 8 AM.,8 AM,,
Set an alarm for 8:00 AM every weekday.,8:00 AM,weekday,every
Set an alarm for 8:00AM tomorrow,8:00AM,Tomorrow,
Set an alarm for 8:30 PM today.,8:30 PM,Today,
Set an alarm for 8:30am every day,8:30am,,every
Set an alarm for 8:45 AM tomorrow morning.,8:45 AM,Tomorrow,
Set an alarm for 8am tomorrow.,8am,Tomorrow,
Set an alarm for 8am.,8am,,
Set an alarm for 9 AM.,9 AM,,
Set an alarm for 9:00AM.,9:00AM,,
Set an alarm for 9am tomorrow,9am,Tomorrow,
Set an alarm for eight AM.,eight AM,,
set an alarm for every day  at 4:30am,4:30am,,every
Set an alarm for every Thursday at 3pm.,3pm,Thursday,every
Set an alarm for me every Friday at 11:00 PM,11:00 PM,Friday,every
Set an alarm for me every Monday at 6:30 am,6:30 AM,Monday,every
Set an alarm for me every Thursday at 8:30 AM,8:30 AM,Thursday,every
Set an Alarm for Monday at 10 AM,10 AM,Monday,
Set an alarm for next Thursday at 6:00 AM,6:00 AM,next Thursday,
set an alarm for nine ten pm reccuring for always,nine ten pm,,reccuring
Set an alarm for ten o'clock tonight.,ten o'clock tonight,Tonight,
set an alarm for tomorrow at 7am,7am,tomorrow,
Set an alarm for tomorrow at 8am.,8am,Tomorrow,
Set an alarm for tomorrow at 9 AM,9 AM,tomorrow,
Set an alarm for tomorrow morning 8:00am.,8:00am,Tomorrow,
set an alarm for tomorrow morning at seven.,seven,Tomorrow,
Set an alarm for weekdays at 5 a.m.,5 a.m.,weekdays,weekdays
Set my alarm,,,
Set my alarm at 8 am every morning.,8 am,,every
set my alarm clock,,,
Set my alarm for 6 a.m. tomorrow,6 a.m.,Tomorrow,
Set my alarm for 6:00 AM.,6:00 AM,,
Set my alarm for 6:30 AM.,6:30 AM,,
Set my alarm for 6am for work monday through friday.,6am,Monday through Friday,through
Set my alarm for 7 am,7 am,,
Set my alarm for 7 AM.,7 AM,,
set my alarm for 7am,7am,,
Set my alarm for 8 AM.,8 AM,,
Set my alarm for 8:00 AM everyday,8:00 AM,,everyday
Set my alarm for 8am every monday through friday.,8am,Monday through friday,through
Set my alarm for 8am with a 10 minute snooze.,8am,,
Set my alarm for 9 in the morning.,9,,
Set my alarm for five am.,five am,,
Set my alarm for six thirty am Monday through Friday.,six thirty am,Monday through Friday,through
Set my alarm for tomorrow at 11:00am.,11:00am,Tomorrow,
Set my alarm to 6:30 am,6:30 am,,
Set my alarm to 8:00 a.m.,8:00 a.m.,,
Set my alarm to go off Saturday July 16th at 8:00 am.,8:00 am,Saturday July 16th,
Set my alarm.,,,
Set recurring alarm 6:30am every Sunday,6:30am,Sunday,recurring
Set recurring alarm for 8:00 AM on Saturdays,8:00 AM,Saturdays,recurring
"Set repeating alarm for 7:30 AM, Monday through Friday",7:30 AM,Monday through Friday,repeating
Set the alarm at 7:00 am for tomorrow,7:00 am,tomorrow,
Set the alarm clock to 8am tomorrow.,8am,tomorrow,
Set the alarm daily at 5:30 AM.,5:30 AM.,,daily
"Set the alarm for 7:00 a.m. on Monday, July 18th through Friday, July 22nd.",7:00 a.m.,"Monday, July 18th through Friday, July 22nd",through
Set the alarm for 7:30 am tomorrow.,7:30 am,tomorrow,
"set the alarm on weekdays, on 0700 am",0700 am,,weekdays
Set the alarm to go off at 8 AM tomorrow.,8 AM,tomorrow,
Set the alarm to wake me up at 4 AM in the morning.,4 AM,,
Set the alarm to wake me up at 8:30AM Tuesday morning,8:30AM,Tuesday,
Set Up alarm in morning at 6AM,6AM,,
Set up an alarm for 5 pm later today,5 pm,Today,
Set up an alarm to wake me up at 8am tomorrow,8am,tomorrow,
"Siri, please set an alarm for 5:30 am Monday through Friday.",5:30 am,Monday through Friday,through
"Siri, please set an alarm to go off once 20 minutes from now.",20 minutes from now,,
"Siri, set an alarm for 4:00 PM",4:00 PM,,
"Siri, set my alarm for 6 am tomorrow morning.",6 am,tomorrow,
"Siri, set my alarm for 8am",8am,,
"Siri, set my alarm for seven am.",seven am,,
sound the alarm at 1:45,1:45,,
start an alarm each day at 6 am,6 am,,each
Wake me at 6 AM every weekday,6 AM,weekday,every
Wake me tomorrow morning at 8:00 am.,8:00 am,tomorrow,
Wake me up,,,
Wake me up at 5 AM,5 AM,,
Wake me up at 5:30 am,5:30 am,,
Wake me up at 6:30 am,6:30 am,,
WAKE ME UP AT 6:30 AM EVERYDAY,6:30 AM,,EVERYDAY
Wake me up at 7 tomorrow,7,tomorrow,
Wake me up at 7:00 AM.,7:00 AM,,
Wake me up at 7:15am on weekdays.,7:15am,weekdays,weekdays
Wake me up at 7:30 AM every Saturday,7:30 AM,Saturday,every
wake me up at 7am,7am,,
Wake me up at 8am on Wednesday,8am,Wednesday,
Wake me up at 9 am.,9 am,,
Wake me up at 9 o'clock in the morning,9 o'clock,,
wake me up in an hour,an hour,,
Wake me up tomorrow at 6 am.,6 am,,
Wake me up tomorrow at 7,7,Tomorrow,
Wake me up tomorrow at 7 am,7 am,,
Wake me up tomorrow at 7am,7am,Tomorrow,
Wake me up tomorrow at 8am.,8am,tomorrow,
Wakeup me at morning 5:00 AM,5:00 AM,,
Will you set my alarm for 5:30 am Monday-Friday.,5:30 am,Monday-Friday,
