WeatherSetAlertQ,WeatherSetAlertCondition,WeatherSetAlertDate,WeatherSetAlertLocation,WeatherSetTime
"What are the current weather alerts for Waukegan, Illinois?",,current,"Waukegan, Illinois",current
Tell me of any raining forecast in Paris this week,raining,this week,Paris,
Activate weather alerts during thunderstorms for New York City.,thunderstorms,,New York City,
Tell me the local rain alerts,rain,,local,
Send me weather alerts whenever the chance of rain is 50% or higher in Youngstown,rain,,Youngstown,
keep me updated on tonights weather in salt lake city and let me know if it rains,rains,tonights,salt lake city,
I NEED THE WEATHER ALERTS FOR OHIO ON NOVEMBER 11 AT NOON IF IT RAINS,rains,NOVEMBER 11,OHIO,NOON
Local weather alert for thunderstorms in Maryville Tn.,Thunderstorms,,Maryville Tn.,
tell me when it's going to start raining in my area,raining,,my area,when it's going to start raining
Alert me if it rains today in Boston,rains,today,Boston,
Alert me when it's rainy in Shanghai.,rainy,,Shanghai.,
Get me the weather condition of my town tommorrow,,Tommorrow,My town,
Alert me if there is storm warning in new york city on next saturday 13 november 2016.,Storm,13 november 2016,New York City,
Give me weather alerts for New York for 12 November if it is about to rain,rain,12 November,New York,
alert me when it will be snowing in boston,snowing,,boston,
Turn on weather alert for blizzard conditions in Minot.,blizzard,,Minot,
Please notify me if it will snow in Philadelphia tomorrow,snow,tomorrow,Philadelphia,
"Siri, send me an alert if you see that is going to rain this week in the morning in Miami.",Rain,This week,Miami,morning
"Siri, Set the alerts for me today if the weather in London gets cloudy before 5 PM",Cloudy,today,London,before 5 pm
"I want to get weather alerts for snow in Portland, Maine for Saturday, November 12th",snow,"Saturday, November 12th","Portland, Maine",
Alert me when rain is headed to Dayton Ohio.,rain,,Dayton Ohio,
activate weather alerts to advice me if it will rain in Paris during the next week,rain,the next week,Paris,
"if there are any tornado alerts for Ada, Oklahoma update me",tornado,,"Ada, Oklahoma",
Get flood alerts for Peru maine at noon,Flood,,Peru maine,Noon
Get rainy weather alerts for Houston.,rainy,,Houston,
"Give me weather alerts for Denver Colorado from today November 11th, 2016?",,from today,Denver Colorado,
alert me if it star raining today at newyork,,today,newyork,
Set up weather alerts for extreme heat in Phoenix.,Extreme heat,,Phoenix,
"Please alert me to all severe weather conditions for Jonesboro Ar for November 19 and 20, 2016?",all severe,November 19 and 20,Jonesboro AR,
Alert me if it looks like its going to rain tomorrow morning in Chicago,rain,tomorrow,Chicago,morning
"Give me snow and sleet weather alerts for Philadelphia, PA on Wednesday, December 21, 2016 at 4 AM EST",snow and sleet,"Wednesday, December 21, 2016","Philadelphia, PA",4 AM EST
alert if its raining at london in the morning,raining,,london,morning
"Hey, Siri, give me a weather update for Liberty, MS.",,,"Liberty, MS",
Notify me when there are raining reports in NY,raining,,NY,
"play: weather alert for: rain, in : location: Maceio",rain,,Maceio,
notify me about the smog levels in delhi on 14th november,smog,14th november,delhi,
Tell me whenever it's about to rain in the morning in Los Angeles,rain,,Los Angeles,morning
Let me know if it rains in Miami on Wednesday night,rains,Wednesday,Miami,Night
Show me snow alerts for Morris County.,snow,,Morris County,
get weather alert on location bagmane tech park for day sunday/6 time 12.30 about raining.,raining,sunday/6,bagmane tech park,12.30
"Alert me whenever weather will be rainy, hurricanes, tornados, and/or thunderstorms in Horry County from today"," rainy, hurricanes, tornados, and/or thunderstorms",from today,Horry County,
Give me current weather update for rain at home.,rain,,home,
Open Google app and get Rainy weather alerts for Delhi on every monday at 5 pm,rainy,Every monday,Delhi,5 PM
please alert me when its raining in north bend,raining,,north bend,
Please alert me if hurricane is forecast for Miami in July.,hurricane,July,Miami,
Give me alerts whenever its raining in Mumbai.,raining,,Mumbai,
Provide weather alert for Delhi on monday,,monday,Delhi,
"Please provide alert for rainy conditions tomorrow at 5:00 a.m. in Little Rock, Arkansas.",Rainy,Tomorrow,"Little Rock, Arkansas",5:00 a.m.
tell me when starts to rain in Rio Grande,rain,,Rio Grande,
Add weather alert for rain on Paris for today,rain,today,Paris,
"Hey, Could you please alert me on friday at San jose if there is a sunny weather at 3 PM",sunny,Friday,San jose,3 PM
give me an alert if there is a chance of rain tomorrow at Maracaibo,rain,tomorrow,Maracaibo,
Please alert me 1 hour in advance of a rainfall forecast in Mumbai on the 25th of November 2016.,rainfall,25th of November 2016,Mumbai,1 hour in advance
Give me an alert at 4 PM the day before it rains in Zagreb,rains,day before,Zagreb,4 PM
Give me weather alerts for Zagreb for everyday at afternoon.,,everyday,Zagreb,afternoon
Let me know every day at 9pm if it is going to rain tomorrow in Las Vegas.,rain,every day,Las Vegas,9pm
Alert me when chance of rain at my location is over 60% today,rain,today,my location,
Get all weather alerts for hurricanes in Florida.,Hurricanes,,Florida,
"Give me weather alerts for Sunday morning if it rains in  Kilgore, Tx.",Rains,Sunday,"Kilgore, TX",morning
"I need weather alerts for tomorrow in Pasadena, California",,tomorrow,"Pasadena, California",
Alert me if  an hurricane is going to hit our place in next few days.,hurricane,next few days.,our place,
"What is weather alert for today 6 p.m in coimbatore city, let me know.",,Today,Coimbatore,6 p.m
"Notify me if it will rain in Bora Bora on December 15, 2016",rain,"December 15, 2016",Bora Bora,
on 11th november 2016 weather condition in Pune throughout a day,,11th november 2016,Pune,throughout a day
I want to get weather alerts of New York City,,,New York City,
Let me know if there are any rain alerts tomorrow,rain,tomorrow,,
"Give me updates on weather conditions in Warren, RI for tomorrow.",,tomorrow,"Warren, RI",
"Please provide me the rainfall alert of Shimla 9:00 am on 23rd December, 2016.",Rainfall,"23rd December, 2016",Shimla,9:00 AM
Activate weather alerts for Atlanta Every 2 hours,,,Atlanta,Every 2 hours
follow the weather information on 16th November at 9am in Ottawa city whether it is sunny or not?,sunny,16th November,Ottawa city,9am
please inform me at 14:00 pm the weather focus in Almeria from Friday 25th November 2016 8:00 am. will it be cold?,cold?,Friday 25th November 2016,Almeria,14:00 pm
Give me regular update about rainy weather forecast at 3pm  on 13th november in mandi city.,rainy,13th november,mandi city.,3pm
"Tell me if it is raining on Friday, November 11, 2016 at 3am in spring hill, florida",raining,"Friday, November 11, 2016","spring hill, florida",3am
"Alert me for rains on 20/11 5am at Chennai, India",rains,20/11,"Chennai, India",5am
please get me whether alerts for rain in tirunelveli on 11/11/16 at 7 a.m,rain,11/11/16,tirunelveli,7 a.m
"Siri, please alert me if it is about to start raining in Montreal tomorrow around noon.",raining,tomorrow,Montreal,noon
Get me the snowy whether conditions alert on New York on sunday at 13:00,snowy,Sunday,New York,13:00
Alert me if it's going to rain today at 11am in Kroger,rain,Today,Kroger,11am
Hi Siri please confirm the lucknow weather for tomorrow,,,lucknow,
"Alert system set up a weather alert for temperature below 10 degree centigrade in Pittsburgh, PA.", temperature below 10 degree centigrade,,Pittsburgh,
Create weather alert Bari Rain1 for every day this week with high rain percentage,rain,Every day this week,Bari,
Let me know if a flood warning is issued in Dallas tonight.,flood,,Dallas,tonight
"Set rainy weather alert for Los Angeles, CA on 11/12/2016 at 6:00am",Rainy,11/12/2016,"Los Angeles, CA",6:00am
What is today's weather conditions in Thrissur ? Today I need to get weather alerts for always.,,Today,Thrissur,
get weather alerts for storms,storms,,,
can i get weather alerts for sunday in new york,,sunday,new york,
create alert for rain in belfast for today,rain,today,belfast,
Give me alerts when it is going to snow in Seattle,snow,,Seattle,
"Send me hourly rain chances for today in Lincoln, NE",rain,today,"Lincoln, NE",
I would like to enable snow alerts for any precipitation in Philadelphia,Snow,,Philadelphia,
Weather warnings 37683,,,37683,
alert me if snow accumulates more than 1 inch,snow,,,
can you alert me when there is a thunderstorm in Jakarta ?,thunderstorm,,Jakarta,
Tell me when it stops raining at my current location,raining,,current location,
info on snow alert chicago 12 november,snow,12 november,chicago,
Tell me when it is going to rain today in Hastings.,Rain,Today,Hastings.,
Set alerts for rainy weather conditions in Caracas,Rainy,,Caracas,
Set a snow alert for Cleeve Hill on Sunday please,snow,Sunday,Cleeve Hill,
Can I get rainy weather alerts for Chicago at 6pm on November 15?,rainy,November 15,Chicago,6pm
"siri, give me all weather alerts for tomorrow morning in Las vegas",all weather,tomorrow,Las vegas,morning
alert me about the weather at 6 pm in mumbai,,,mumbai,6 PM
set alerts of new york's weather for weekdays,,weekdays,new york,
provide updates every 15 min for thunderstorm in Carlton county,thunderstorm,,carlton county,15 min
Alert me in case of rain in New York for today,rain,Today,New York,
"Let me know when it's supposed to rain in Des Moines, IA.",rain,,"Des Moines, IA.",
"Tell me the weather for the day each morning in Washington, DC",,,"Washington, DC",
Hey siri get me the weather update right now at mumbai,,,mumbai,
Alert me when it will be sunny in Serra da Prata,sunny,,Serra da Prata,
Send me alerts when it starts snowing in my area tonight.,snowing,tonight,my area,tonight
turn on tornado warning for calgary,tornado,,calgary,
Send me a warning when it's about to snow in Utah,snow,,Utah,
"Are there tornado warnings for Manhattan, Kansas, tonight?",tornado,tonight,"Manhattan, Kansas",tonight
Alert me of any snowing conditions this week in Denmark,snowing,this week,Denmark,
Notify me of the weather at 7PM today in Compton.,,Today,Compton,7PM
Alert me when the forecast is clear,clear,,,
Send me weather alerts whenever Youngstown is forecasted to get 1 inch of snow or more,1 inch of snow or more,,Youngstown,
if it rains today after 6 pm in provo then let me know,rains,today,provo,after 6 pm
set THE WEATHER ALERT FOR SPAIN ON APRIL 3RD AT 4P.M. SUNNY,SUNNY,April 3rd,SPAIN,4P.M.
Send me a weather alert if it rains tomorrow at 12pm in Boston,rains,tomorrow,Boston,12pm
tell me when it's rainy in Shanghai.,rainy,,Shanghai.,
What what are the storm alerts for 6pm tonight in Waukesha wisconsin,storm,tonight,waukesha wisconsin,6pm
Send me a rain warning for new york city on 13 november 2016,Rain,13 november 2016,New York City,
Set up alerts for rain in New York on 12 November for 5 PM,rain,12 November,New York,5 PM
when it snows in boston send me an alert,snows,,boston,
set weather alert for tornado warnings throughout May in Kansas City,tornado warnings,May,Kansas City,throughout
"Siri, let me now with an alert if it's going to snow in Boston on December 25th in the morning.",Snow,December 25th,Boston,Morning
"Siri, are there any snow weather alerts for this Sunday morning in Lancaster, PA?",Snow weather,Sunday,"Lancaster, PA",Morning
Alert me if the weather gets cloudy today before 4 PM in London,Cloudy,today,London,4 PM
"Alert me if there is a chance of rain in Dayton, OH",rain,,"Dayton, OH",
gime an alert if it will snow tomorrow in Cervino,snow,tomorrow,Cervino,
"Is there a current tornado alert for Ada, Oklahoma",tornado,,"Ada, Oklahoma",current
Are there any flood alerts for noon today in Peru Maine?,Flood,Today,Peru maine,Noon
Set up weather alerts for sunny weather in Colorado.,sunny,,Colorado,
alert me when rain start today at newyork,rain,today,newyork,
I want to set up extreme heat alerts for Phoenix Arizona,extreme heat,,Phoenix Arizona,
"Notify me if there'll be rain in San Diego on November 11 at 7 PM, please.",Rain,November 11,San Diego,7 PM
please notify me of thunderstorms on Saturday November 19 for Walnut Ridge AR,thunderstorms,Saturday November 19,Walnut Ridge ar,
Let me know if the weather forecast shows rain tomorrow morning in Chicago,rain,tomorrow,Chicago,morning
"I want a snow and sleet weather alert for Philadelphia, PA on Wednesday, December 21, 2016 at 4 AM EST",snow and sleet,"Wednesday, December 21, 2016","Philadelphia, PA",4 AM EST
alert if start rain at london,rain,,london,
Alert me whenever is going to rain in NY,rain,,NY,
play weather alert: rain. daily at 0800 hrs for Maceio,rain,daily,Maceio,0800 hrs
Alert me when it's cloudy outside in Los Angeles,cloudy,,Los Angeles,
Show today's snow alerts for Morris County.,snow,today,Morris County,
set weather alert on location bagmane tech park for day sunday/6 time 12.30 about raining.,raining,sunday/6,bagmane tech park,12.30
Alert me when and if weather in Horry County will not be sunny today,not be sunny,,Horry County,
Notify me of rain forecast today at home.,rain,,home,today
Launch Google app and get sunny weather alerts for Goa on friday at 9 AM,sunny,friday,Goa,9 AM
Please notify me if the weather forecast for tomorrow changes from rain to anything else,rain to anything else,tomorrow,,
I want the weather alert whenever there's a thunderstorm in Mumbai.,thunderstorm,,Mumbai,
Show weather update for Delhi on monday,,monday,Delhi,
"Let me know if it will be sunny on Sunday at 2:00 p.m. in Clarksville, Arkansas.",Sunny,Sunday,"Clarksville, Arkansas",2:00 p.m.
show me when it's gonna snow here,snow,,here,
Add weather alert for snow for this week,snow,this week,,
"Hey, Could you please alert me on Sunday at Milpitas if there is a Rainy weather at 10 AM",Rainy,Sunday,Milpitas,10 AM
Please inform me of any dust storms that are going to hit Delhi between 20th to 21st November 2016,dust storms,20th to 21st November 2016,Delhi,
Alert me when there's an incoming storm in Umag,storm,,Umag,
"Tell me if it's going to rain on Saturday in Frankfort, Kentucky.",rain,Saturday,"Frankfort, Kentucky",
Sis please notify me of weather alerts in stockton,,,stockton,
"At 9pm every night, notify me when it is going to rain in Las Vegas the next day.",rain,every night,Las Vegas,9PM
get me the date and time when it is mostly likely to be raining in Newyork city next week,raining,next week,Newyork city,
"Send notification for chance of rain or thunderstorms over 65% in Buffalo,NY on Sunday, November 13",rain or thunderstorms,"Sunday, November 13","Buffalo, NY",
Get all weather alerts for thunder storms in Boston.,Thunder Storms,,Boston,
"Get me weather alerts for rain in Tacoma, Washington for Friday afternoon",rain,Friday,"Tacoma, Washington",afternoon
Please alert me when it rains tomorrow in florida,rains,tomorrow,florida,
Set the weather alerts turn on for California,,,California,
"Give me the weather update of a possibility of rain or snow in Warren, RI,  for November 12, 2016 any time of day.",rain or snow,"November 12, 2016","Warren, RI",any time
"Could you provide me the humidity alert of Ludhiyana 14:00 on 2nd January, 2017.",Humidity,"2nd January, 2017",Ludhiyana,14:00
Update Weather Status alert rain,rain,,,
update me on  nairobi weather focus at 6:00 pm on Tuesday 22nd November 2016. will it be raining?,raining,Tuesday 22nd November 2016,nairobi,6:00 PM
Update me all day about sunny weather forecast on 15th november in south Delhi.,sunny,15th november,south Delhi,
"Warn me for snowy weather on 24/12 12am at Darjeeling, India",snowy,24/12,"Darjeeling, India",12am
Let me have the sunny whether condition notifications,,,,
Alert me each time it's about to rain in New York City,Rain,,New York City,
"Set up alert for Storm in Orlando, FL.",Storm,,Orlando,
Create weather alert today for Rome temperature lower than 14 C degrees,Temperature lower than 14 C degrees,Today,Rome,
let me know if a tornado warning is issued for New Orleans within the next hour,tornado warning,,New Orleans,within the next hour
Can you alert me to high winds for Santa Barbara on 11/26/2016 at 12:00pm?,High winds,11/26/2016,Santa Barbara,12:00pm
Show me today's weather reports of Thrissur. And I need to get the weather alert in screen for always.,,Today,Thrissur,
please set up weather alerts for storms,storms,,,
I want weather alerts for all severe storms and tornadoes in Lancaster County Nebraska.,severe storms and tornadoes,,Lancaster County Nebraska,
Please give me updates on the weather in huntsville every morning,,Every,Huntsville,morning
Give me weather updates for snow for England for this week.,Snow,This week,England,This week
Can you set rain updates for Cheltenham next Saturday?,rain,next Saturday,Cheltenham,
I want to get rainy weather updates for Chicago at 6pm from November 15.,rainy,from november 15,Chicago,6pm
activate weather updates of new york for everyday,,everyday,new york,
Give me weather updates on thunderstorm for the next hour for carlton county,thunderstorm,,carlton county,hour
Please get weather updates for New York for today in case of raining,Raining,Today,New York,
"Start giving me rain updates for Rockford, IL.",rain,,"Rockford, IL",
Send me weather updates for any strong winds starting at 230pm tomorrow at Willis Case golf course.,strong winds,tomorrow,Willis Case Golf Course,230pm
"What are the current weather updates for Waukegan, Illinois?",,current,"Waukegan, Illinois",current
Activate weather updates during thunderstorms for New York City.,thunderstorms,,New York City,
Tell me the local rain updates,rain,,local,
Send me weather updates whenever the chance of rain is 50% or higher in Youngstown,rain,,Youngstown,
I NEED THE WEATHER updateS FOR OHIO ON NOVEMBER 11 AT NOON IF IT RAINS,rains,NOVEMBER 11,OHIO,NOON
Give me weather updates for New York for 12 November if it is about to rain,rain,12 November,New York,
"Siri, Set the updates for me today if the weather in London gets cloudy before 5 PM",Cloudy,today,London,before 5 pm
"I want to get weather updates for snow in Portland, Maine for Saturday, November 12th",snow,"Saturday, November 12th","Portland, Maine",
activate weather updates to advice me if it will rain in Paris during the next week,rain,the next week,Paris,
"if there are any tornado updates for Ada, Oklahoma update me",tornado,,"Ada, Oklahoma",
Get flood updates for Peru maine at noon,Flood,,Peru maine,Noon
Get rainy weather updates for Houston.,rainy,,Houston,
"Give me weather updates for Denver Colorado from today November 11th, 2016?",,from today,Denver Colorado,
Set up weather updates for extreme heat in Phoenix.,Extreme heat,,Phoenix,
"Give me snow and sleet weather updates for Philadelphia, PA on Wednesday, December 21, 2016 at 4 AM EST",snow and sleet,"Wednesday, December 21, 2016","Philadelphia, PA",4 AM EST
Show me snow updates for Morris County.,snow,,Morris County,
Open Google app and get Rainy weather updates for Delhi on every monday at 5 pm,rainy,Every monday,Delhi,5 PM
Give me updates whenever its raining in Mumbai.,raining,,Mumbai,
Give me weather updates for Zagreb for everyday at afternoon.,,everyday,Zagreb,afternoon
Get all weather updates for hurricanes in Florida.,Hurricanes,,Florida,
"Give me weather updates for Sunday morning if it rains in  Kilgore, Tx.",Rains,Sunday,"Kilgore, TX",morning
"I need weather updates for tomorrow in Pasadena, California",,tomorrow,"Pasadena, California",
I want to get weather updates of New York City,,,New York City,
Let me know if there are any rain updates tomorrow,rain,tomorrow,,
Activate weather updates for Atlanta Every 2 hours,,,Atlanta,Every 2 hours
please get me whether updates for rain in tirunelveli on 11/11/16 at 7 a.m,rain,11/11/16,tirunelveli,7 a.m
What is today's weather conditions in Thrissur ? Today I need to get weather updates for always.,,Today,Thrissur,
get weather updates for storms,storms,,,
can i get weather updates for sunday in new york,,sunday,new york,
Give me updates when it is going to snow in Seattle,snow,,Seattle,
I would like to enable snow updates for any precipitation in Philadelphia,Snow,,Philadelphia,
Set updates for rainy weather conditions in Caracas,Rainy,,Caracas,
Can I get rainy weather updates for Chicago at 6pm on November 15?,rainy,November 15,Chicago,6pm
"siri, give me all weather updates for tomorrow morning in Las vegas",all weather,tomorrow,Las vegas,morning
set updates of new york's weather for weekdays,,weekdays,new york,
Send me updates when it starts snowing in my area tonight.,snowing,tonight,my area,tonight
Send me weather updates whenever Youngstown is forecasted to get 1 inch of snow or more,1 inch of snow or more,,Youngstown,
What what are the storm updates for 6pm tonight in Waukesha wisconsin,storm,tonight,waukesha wisconsin,6pm
Set up updates for rain in New York on 12 November for 5 PM,rain,12 November,New York,5 PM
"Siri, are there any snow weather updates for this Sunday morning in Lancaster, PA?",Snow weather,Sunday,"Lancaster, PA",Morning
Are there any flood updates for noon today in Peru Maine?,Flood,Today,Peru maine,Noon
Set up weather updates for sunny weather in Colorado.,sunny,,Colorado,
I want to set up extreme heat updates for Phoenix Arizona,extreme heat,,Phoenix Arizona,
Show today's snow updates for Morris County.,snow,today,Morris County,
Launch Google app and get sunny weather updates for Goa on friday at 9 AM,sunny,friday,Goa,9 AM
Sis please notify me of weather updates in stockton,,,stockton,
Get all weather updates for thunder storms in Boston.,Thunder Storms,,Boston,
"Get me weather updates for rain in Tacoma, Washington for Friday afternoon",rain,Friday,"Tacoma, Washington",afternoon
Set the weather updates turn on for California,,,California,
