calendarCreateEvent,calendarEvent,calendarTvShow,calendarConcert,calendarSport,calendarDate,calendarTime,calendarTitle,calendarAttendees,calendarLocation,calendarDuration,calendarRecurrence
add dance party at Studio 54 at 10 o'clock March 6th,,,,,march 6th,10 o'clock,dance party,,studio 54,,
add dinner with bob then,,,,,,then,dinner,bob,,,
add dinner with her at 7pm Sunday on my schedule,,,,,sunday,7pm,dinner,her,,,
Add dinner with Hilary Faye-Dunn on October 5th at 6pm,,,,,october 5th,6pm,dinner,Hilary Faye-Dunn,,,
Add dinner with latrice at Terry's Grill at 7:30 pm in my calendar every day,,,,,,7:30 pm,dinner,latrice,Terry's Grill,,every day
add dinner with my wife every Friday 7pm at Roscoe's,,,,,friday,7pm,dinner ,my wife,Roscoe's,,every
Add Disneyland visit with Paul wilson to my schedule,,,,,,,Disneyland visit,Paul wilson,,,
add dorm dinner on Sunday to my calendar and tell peter piper about this,,,,,sunday,,dorm dinner,peter piper,,,
add erica's baby's baptism to my calendar and invite Susie Ross,,,,,,,erica's baby's baptism,Susie ross,,,
add event called movie screening with Lucretia Stinnette,,,,,,,Movie screening,Lucretia Stinnette,,,
add exhibition opening for Saturday at 6:30pm at MOMA,,,,,saturday,6:30pm,exhibition opening,,moma,,
Add eye exam for 2:30pm at Warby Parker this thursday,,,,,this thursday,2:30pm,eye exam,,warby parker,,
Add farmers market with janne every Saturday on my schedule,,,,,saturday,,farmers market,janne,,,every
add fishing on the hudson to my calendar,,,,,,,fishing on the hudson,,,,
Add flight to florida for this Friday to my calendar,,,,,Friday,,flight to florida,,,,
add foot doctor to my Monday schedule,,,,,Monday,,foot doctor,,,,
Add girls night out to calendar for Saturday at 10:30 pm with Belle lafleur,,,,,Saturday,10:30 pm,girls night out,Belle lafleur,,,
add grandma visit every Sunday with micha,,,,,sunday,,grandma visit,micha,,,every
Add grocery shopping with Becky Grace to my calendar,,,,,,,grocery shopping,Becky Grace,,,
Add Halloween Party to my calendar on Oct 29th at 5pm at Melissa's house ,,,,,Oct 29th,5pm,Halloween Party,,Melissa's House,,
add ileana's birthday that day to my calendar,,,,,that day,,ileana's birthday,,,,
add it to calendar,it,,,,,,,,,,
add it to my calendar,it,,,,,,,,,,
add John's Birthday Party to my calendar on Friday at 6pm,,,,,Friday,6pm,john's birthday party,,,,
Add kids party at Mcdonalds on 17th of October at 2 o'clock,,,,,17th of October,2 o'clock,kids party,,mcdonalds,,
Add Lilly's Birthday on May 15th to my calendar,,,,,may 15th,,Lilly's Birthday,,,,
Add listening party at Red Studio at 10pm March 22nd,,,,,march 22nd,10pm,listening party,,red studio,,
add lunch date with Steven horvath at Nobu for an hour at 1:30pm today,,,,,Today,1:30pm,lunch date,steven horvath,nobu,an hour,
Add lunch with Bob Staffer at 2:00 pm daily,,,,,,2:00 pm,lunch,bob staffer,,,daily
add lunch with Darnell at taco bell to my schedule,,,,,,,lunch,darnell,taco bell,,
add mom's birthday to my calendar every november 2nd,,,,,november 2nd,,mom's birthday,,,,every
add movie with phil carter to my calendar for Saturday 7pm at station casino,,,,,Saturday,7pm,movie,phil carter,station casino,,
add moving sale with Betty at 997 Adams,,,,,,,moving sale,betty,997 Adams,,
Add netflix date with Shawn john carter for midnight every week,,,,,,midnight,netflix date,shawn john carter,,,every week
add parents meet and greet to calendar on tuesday 6pm,,,,,Tuesday,6pm,Parents meet and greet,,,,
Add phone call with John wilkes booth every weekday at 2pm for 30 minutes,,,,,,2pm,phone call,john wilkes booth,,30 minutes,every weekday
Add physcial therapy with UCLA at 11 o'clock,,,,,,11 o'clock,physcial therapy,ucla,,,
add pick up flowers with joey jojo at Pavillions to my agenda,,,,,,,pick up flowers,joey jojo,pavillions,,
add pick up kids to my calendar every day at 1 pm,,,,,,1 pm,pick up kids,,,,every day
Add polo event at Grey Gardens on tuesday 2pm,,,,,Tuesday,2pm,polo event,,grey gardens,,
add PTA meeting on my schedule that day,,,,,that day,,PTA meeting,,,,
add PTA meeting to my calendar for 6pm next Tuesday,,,,,next Tuesday,6pm,PTA Meeting,,,,
add ramey mill's birthday to my calendar,,,,,,,ramey mill's birthday,,,,
add running with dad to my calendar on Tuesday,,,,,Tuesday,,running,dad,,,
Add Samantha's birthday party to Thursday at 2 pm at Fireman's Park,,,,,Thursday,2 pm,Samantha's Birthday Party,,Fireman's Park,,
add second concert to calendar,,,second,,,,,,,,
add show to my calendar,show,,,,,,,,,,
Add softball picnic on september 19th 1pm in people's park,,,,,september 19th,1pm,softball picnic,,people's park,,
add something on march 2 on my calendar,,,,,march 2,,,,,,
add something on my schedule for Sunday evening,,,,,sunday,evening,,,,,
add something that happens weekly to my calendar,,,,,,,,,,,weekly
add something to my calendar for 3 pm on Sunday,,,,,sunday,3 pm,,,,,
add something to my calendar on may 11,,,,,may 11,,,,,,
add something to my diary,,,,,,,,,,,
add something to my schedule for march 15th,,,,,march 15th,,,,,,
Add spinning class with Martha Thomas at equinox,,,,,,,spinning class,martha thomas,equinox,,
add st louis to my calendar on april 26,,,,,april 26,,st louis,,,,
add sydney's birthday dinner to my calendar,,,,,,,sydney's birthday dinner,,,,
add that show to my calendar,that show,,,,,,,,,,
add that to my calendar,that,,,,,,,,,,
add that to the calendar,that,,,,,,,,,,
Add the event to calendar,the event,,,,,,,,,,
add the fifth one to my diary,fifth one,,,,,,,,,,
add the game to my calendar,,,,the game,,,,,,,
add the game to my schedule,,,,the game,,,,,,,
add the mit new admits event to my calendar,,,,,,,mit new admits event,,,,
Add the second  program to the calendar,,second,,,,,,,,,
add the second game to my schedule,,,,second,,,,,,,
add the second to calendar,second,,,,,,,,,,
add the show to my calendar,the show,,,,,,,,,,
add the show to my calendar,the show,,,,,,,,,,
"add The Work Ball to my calendar for August 4, 2017 at the Hotel at 7pm.  Invite all work contacts.",,,,,"august 4, 2017",7pm,The Work Ball,all Work Contacts,The Hotel,,
add third one to calendar,third one,,,,,,,,,,
add this concert to my calendar,,,this concert,,,,,,,,
add this event to my calendar,this,,,,,,,,,,
add this game to my calendar,,,,this game,,,,,,,
add this show to my calendar,this show,,,,,,,,,,
add this to calendar,this,,,,,,,,,,
add this to my agenda,this,,,,,,,,,,
add this to my calendar,this,,,,,,,,,,
add this to my calendar every Monday 7pm call with sorayah kenneth,,,,,Monday,7pm,call,sorayah kenneth,,,every
add this to my diary,this,,,,,,,,,,
add this to my schedule,this,,,,,,,,,,
add to calendar,,,,,,,,,,,
add to calendar,,,,,,,,,,,
Add to calendar LA film festival screening 7pm on June 18th with Sally at cineplex,,,,,june 18th,7pm,LA film festival screening,sally,cineplex,,
add to calendar squats day with Tony at Planet fitness ,,,,,,,squats day,tony,planet fitness,,
Add to calendar visit parents next Sunday at noon for 3 hours,,,,,next Sunday,noon,visit parents,,,3 hours,
add to my agenda a meeting with ronaldo matthewson,,,,,,,,ronaldo matthewson,,,
add to my calendar,,,,,,,,,,,
add to my calendar a night at the opera,,,,,,,a night at the opera,,,,
add to my calendar dinner with susan jacobs every Monday at 6pm at the Canteen,,,,,Monday,6pm,dinner,susan jacobs,the canteen,,every
add to my schedule a call every Tuesday 9am with philip from 7digital,,,,,Tuesday,9am,call,philip from 7digital,,,every
add to my schedule a sculpture class with jermaine jackson at art studio at 3pm on february 16th for an hour,,,,,february 16th,3pm,sculpture class,jermaine jackson,art studio,an hour,
add to my schedule Mary's Bridal Shower on October 4 at 9am at Generic Street.,,,,,october 4,9am,Mary's Bridal Shower,,Generic Street,,
add to my schedule something that lasts 2 hours,,,,,,,,,,2 hours,
add to my schedule the ventura competition,,,,,,,ventura competition,,,,
add to schedule,,,,,,,,,,,
add training with Josh tomorrow from 7am at Freedom Park,,,,,tomorrow,7am,training with josh,,freedom park,,
Add TRANS4M Gala to my schedule on Sunday,,,,,sunday,,TRANS4M Gala,,,,
add trip to the repair shop to my calendar,,,,,,,trip to the repair shop,,,,
Add UCLA potluck on Sunday and send Lu an invitation,,,,,Sunday,,UCLA potluck,Lu,,,
add walking the dog to my calendar every Monday at 9pm,,,,,Monday,9pm,walking the dog,,,,every
Add wedding anniversary to calendar for every april 1,,,,,april 1,,wedding anniversary,,,,every
add wedding ring shopping to my agenda,,,,,,,wedding ring shopping,,,,
Add weekly chiropractor appointment with bev,,,,,,,chiropractor appointment,bev,,,weekly
Add weekly food tasting with Jacob to my schedule,,,,,,,food tasting,jacob,,,weekly
Add weekly pickup game with Steven to my calendar,,,,,,,pickup game,steven,,,weekly
Add weightlifting with Josh to my calendar every week,,,,,,,weightlifting,josh,,,every week
add yoga class with Jan every Wednesday 5pm for one hour at studio one,,,,,Wednesday,5pm,yoga class,Jan,studio one,one hour,every
arrange a meeting with amanda robinson for that time,,,,,,that time,,amanda robinson,,,
arrange an emergency meeting with Bill tran at 9am today in my office for an hour,,,,,today,9am,emergency meeting,Bill tran,my office,an hour,
calendar add event on Monday,,,,,Monday,,,,,,
can you add a meeting with rolanda foo to my calendar,,,,,,,,rolanda foo,,,
can you add a walk in the park to my schedule please,,,,,,,walk in the park,,,,
can you add an event then,,,,,,then,,,,,
can you add it to my reminders,it,,,,,,,,,,
can you add my trip to london on my calendar,,,,,,,trip to london,,,,
can you add ski trip to that day at 2pm,,,,,that day,2pm,ski trip,,,,
can you add the concert to my schedule,,,the concert,,,,,,,,
can you add this to my schedule,this,,,,,,,,,,
Can you please add it to my calendar,it,,,,,,,,,,
can you please add this to my calendar,this,,,,,,,,,,
can you put the first one on my schedule,first one,,,,,,,,,,
can you remind me about that match,,,,that match,,,,,,,
can you remind me about this concert,,,this concert,,,,,,,,
can you schedule a meeting with her on Sunday 2pm,,,,,sunday,2pm,,her,,,
can you schedule an art girl army meeting on that day for 5pm,,,,,that day,5pm,art girl army meeting,,,,
can you schedule this for me,this,,,,,,,,,,
can you send her a meeting request for tomorrow 3 o'clock,,,,,tomorrow,3 o'clock,,her,,,
can you set up a meeting Sunday for that time,,,,,sunday,that time,,,,,
could you add a trip to the dentist that day,,,,,that day,,trip to the dentist,,,,
could you set up a meeting with hannah horvath,,,,,,,,hannah horvath,,,
create a biweekly recurring event,,,,,,,,,,,biweekly
create a calendar event for dinner at Steve's Restaurant on Tuesday at 5pm for 2 hours with Jen and Bob,,,,,Tuesday,5pm,dinner,Jen and Bob,Steve's Restaurant,2 hours,
Create a calendar event for Halloween Party at dave's house on October 31 at 8pm,,,,,october 31,8pm,Halloween Party,,dave's house,,
create a calendar event lasting two hours,,,,,,,,,,two hours,
create a calendar event set at the thirsty ear pub,,,,,,,,,thirsty ear pub,,
Create a doctor's appointment at Valley Medical at 10am on November 6th ,,,,,November 6th,10am,Doctor's Appointment,,Valley Medical,,
create a march 29th event on the calendar,,,,,march 29th,,,,,,
create a meeting on Monday at 7am with Sly Parker,,,,,Monday,7am,,Sly Parker,,,
create a meeting request,,,,,,,,,,,
create a meeting this Saturday 7pm with Tom and Jane,,,,,Saturday,7pm,,Tom and Jane,,,
create a meeting with David Lewisham for next Thursday at 1 p.m.,,,,,next Thursday,1 p.m.,,David Lewisham,,,
create a meeting with John Winters for Wednesday 2pm,,,,,Wednesday,2pm,,John Winters,,,
create a meeting with Lance black tomorrow for 4pm,,,,,tomorrow,4pm,,Lance black,,,
create a meeting with Steve Jones Monday at 9am,,,,,Monday,9am,,Steve Jones,,,
create a new event called a night at the movies,,,,,,,a night at the movies,,,,
Create a production meeting for August 10th,,,,,august 10th,,production meeting,,,,
create a recurring daily event,,,,,,,,,,,daily
Create a reminder at 7pm on 22nd November called Concert at times square,,,,,22nd November,7pm,Concert,,times square,,
create a weekly event,,,,,,,,,,,weekly
create an appointment,,,,,,,,,,,
create an event and call it dinner with the folks,,,,,,,dinner with the folks,,,,
create an event at 5 pm on next Wednesday,,,,,Wednesday,5 pm,,,,,
create an event at the long beach arena,,,,,,,,,long beach arena,,
Create an event called clean the house with the roomies and make it 40 minutes,,,,,,,clean the house,the roomies,,40 minutes,
create an event called dad's bday every May 1st and share it with Connie,,,,,may 1st,,dad's bday,connie,,,every
create an event called future concert on march 2nd and invite lucy withers,,,,,march 2nd,,future concert,lucy withers,,,
create an event called Game of Thrones party on Sunday and send halle an invite,,,,,sunday,,game of thrones party,halle,,,
Create an event called Oscars viewing party on March 2nd,,,,,March 2nd,,Oscars viewing party,,,,
Create an event called Phil's Birthday Party and invite Meja shoba,,,,,,,Phil's Birthday Party,Meja shoba,,,
create an event called Sunday school potluck on december 6,,,,,december 6,,Sunday school potluck,,,,
create an event for 5 hours,,,,,,,,,,5 hours,
create an event for five hours,,,,,,,,,,five hours,
create an event in my calendar,,,,,,,,,,,
create an event on Friday,,,,,Friday,,,,,,
Create an event on October 10th at 10am for Georgie's Birthday at Pizza Hut ,,,,,october 10th,10am,georgie's birthday,,pizza hut,,
create an event with duration 4 hours,,,,,,,,,,4 hours,
create an event with Lana del rey on Monday to watch the eclipse,,,,,monday,,watch the eclipse,lana del rey,,,
create an event with the location charles river boathouse,,,,,,,,,charles river boathouse,,
create an event with winston tomas on my calendar,,,,,,,,winston tomas,,,
create an event with the title hello,,,,,,,hello,,,,
create an event with the title dinner with the folks,,,,,,,dinner with the folks,,,,
Create an event with the title clean the house with the roomies and make it 40 minutes,,,,,,,clean the house,the roomies,,40 minutes,
create an event with the title dad's bday every May 1st and share it with Connie,,,,,may 1st,,dad's bday,connie,,,every
create an event with title future concert on march 2nd and invite lucy withers,,,,,march 2nd,,future concert,lucy withers,,,
create an event with title Game of Thrones party on Sunday and send halle an invite,,,,,sunday,,game of thrones party,halle,,,
Create an event with the title Oscars viewing party on March 2nd,,,,,March 2nd,,Oscars viewing party,,,,
Create an event with the title Phil's Birthday Party and invite Meja shoba,,,,,,,Phil's Birthday Party,Meja shoba,,,
create an event with the title Sunday school potluck on december 6,,,,,december 6,,Sunday school potluck,,,,
Create event called hack for LA with trevor R Watts for 5 pm every week,,,,,,5 pm,hack for LA,Trevor R Watts,,,every week
Create event called movie screening with Tom Lucius,,,,,,,Movie screening,Tom Lucius,,,
Create event named Picnic with Suzie,,,,,,,picnic,suzie,,,
Create event named running with mike at 4:00 pm recurring every week,,,,,,4:00 pm,running,mike,,,every week
create event titled workout tomorrow at 8:30am for one hour,,,,,tomorrow,8:30am,workout,,,one hour,
Create event with Edina monsoon named volleyball meetup ,,,,,,,volleyball meetup,edina monsoon,,,
create meeting invite with ming ming lee tonight at 9,,,,,,tonight at 9,,ming ming lee,,,
create meeting with on Friday 9 a.m. with Turner and Pendleton,,,,,Friday,9 a.m.,,Turner and Pendleton,,,
create meeting with Peter Kane on Sunday for 4pm,,,,,Sunday,4pm,,Peter Kane,,,
establish a two hour event on my schedule,,,,,,,,,,two hour,
every Monday at 6pm remind me to take my medication,,,,,Monday,6pm,take my medication,,,,every
every noon on Monday remind me to call my stock trader,,,,,Monday,noon,call my stock trader,,,,every
get the third one on my calendar,third one,,,,,,,,,,
I need to go to the spa that day,,,,,that day,,go to the spa,,,,
I need to meet with yara stewart that day at 5pm,,,,,that day,5pm,,yara stewart,,,
I want to add a daily recurrence to my calendar,,,,,,,,,,,daily
I want to add a meeting to my calendar on may 9th,,,,,may 9th,,,,,,
I want to add a two hour thing to my schedule,,,,,,,,,,two hour,
I want to schedule something every weekday,,,,,,,,,,,every weekday
include doing laundry on my calendar,,,,,,,doing laundry,,,,
include that concert in my schedule,,,that concert,,,,,,,,
input a hair appointment with Sam Ronson at Revlon studio this saturday at 10 o'clock for an hour and a half,,,,,saturday,10 o'clock,hair appointment,sam ronson,revlon studio,hour and a half,
Input a meeting with Alan woo on Thursday at noon at the grove,,,,,Thursday,noon,,Alan woo,the grove,,
Input an 8:30am casting session with Radical Media ,,,,,,8:30am,casting session,radical media,,,
Input beyonce concert this friday at staples center at 6pm,,,,,this friday,6pm,beyonce concert,,staples center,,
Input concert at UCLA for 7pm on November 4th,,,,,November 4th,7pm,concert,,ucla,,
input dress shopping with Jill anne at noon weekly at the dress barn,,,,,,noon,dress shopping,jill anne,the dress barn,,weekly
input oil change at 10am with charles,,,,,,10am,oil change,charles,,,
input pitch session with Kate Monday in conference 4,,,,,monday,,pitch session,kate,conference 4,,
input reading class with kids at 5pm in Hollywood,,,,,,,reading class,kids,hollywood,,
input superbowl at 3pm at mike's tavern on April 10th,,,,,April 10th,3pm,superbowl,,mike's tavern,,
input therapy session at  noon on December 11th at Dr. Smith's office,,,,,December 11th,noon,therapy session,,Dr. Smith's office,,
Input therapy with Dr. Kelly in newport beach,,,,,,,therapy,Dr. Kelly,newport beach,,
input Wedding on January 3rd at 1:30pm at Chapel,,,,,january 3rd,1:30pm,wedding,,chapel,,
Input workout with Jessica at verizon park,,,,,,,workout ,jessica,verizon park,,
invite him to a meeting,,,,,,,,him,,,
laser tag with mary tyler moore every Saturday,,,,,Saturday,,laser tag,mary tyler moore,,,every
make a new event on my calendar that occurs daily,,,,,,,,,,,daily
make an appointment,,,,,,,,,,,
make an appointment with kiran@iamplus.com,,,,,,,,kiran@iamplus.com,,,
make an appointment with pat@gmail.com on Monday,,,,,Monday,,,pat@gmail.com,,,
make an event on my calendar on Tuesday,,,,,Tuesday,,,,,,
make an event titled Pool Party for Saturday and share it with kelly piper,,,,,Saturday,,pool party,kelly piper,,,
make appointment,,,,,,,,,,,
mark 5pm on my calendar to pick up Jim from school,,,,,,5pm,pick up Jim from school,,,,
mark an event in my calendar titled Review Meeting for 4 p.m. on Wednesday,,,,,Wednesday,4 p.m.,Review Meeting,,,,
mark an event in my calendar titled Status call for 6 p.m. on Monday,,,,,Monday,6 p.m.,Status Call,,,,
mark an event in my schedule for 3 p.m. on Friday to book tickets for concert,,,,,Friday,3 p.m.,book tickets for concert,,,,
mark an event in my schedule for 6 p.m. tomorrow to meet with Diane,,,,,tomorrow,6 p.m.,meet with Diane,,,,
Mark December 15th as Amy's birthday ,,,,,December 15th,,Amy's birthday ,,,,
on that day can you add a doctor's appointment to my calendar,,,,,that day,,Doctor's appointment,,,,
pencil in an hour long session,,,,,,,,,,hour,
pencil in movies with Steve aliso on Saturday,,,,,Saturday,,movies,steve aliso,,,
pencil it in,it,,,,,,,,,,
pencil something in my schedule,,,,,,,,,,,
pencil that in ,that,,,,,,,,,,
pencil that on my calendar,that,,,,,,,,,,
pencil this in,this,,,,,,,,,,
please add an event with her at 2pm,,,,,,2pm,,her,,,
please add an event with tim dawkins-lee to my schedule,,,,,,,,tim dawkins-lee,,,
please add dinner wth marnie wilson at Pink Taco to my calendar every Thursday night,,,,,thursday,night,dinner,marnie wilson,Pink Taco,,every
please add flight to denver to my schedule,,,,,,,flight to denver,,,,
please add that to my diary,that,,,,,,,,,,
please add the first show to my calendar,first,,,,,,,,,,
please add this to my agenda,this,,,,,,,,,,
Please mark 20th of October as PTM of my child at 9AM at school.,,,,,20th of october,9am,PTM of my child,,school,,
put a date with Jen Henks on July 7 at 7pm,,,,,july 7,7pm,date ,Jen henks,,,
put a Monday noon event on my schedule,,,,,monday,noon,,,,,
put an event down for march 15th at noon,,,,,march 15th,noon,,,,,
put Christmas shopping on my calendar on Saturday,,,,,Saturday,,christmas shopping,,,,
put dinner with the gang on my calendar,,,,,,,dinner,the gang,,,
Put down a Kid's robotics tournament on my agenda for next Monday,,,,,next Monday,,kid's robotics tournament,,,,
put down a meeting at the rover's tavern,,,,,,,,,rover's tavern,,
put down a meeting with lorraine o'dell on my schedule,,,,,,,,lorraine o'dell,,,
put down a meeting with Meja Shoba that day,,,,,that day,,,Meja shoba,,,
put down a meeting with samira wallis on my sched,,,,,,,,samira wallis ,,,
put down buy burning man tickets on my schedule that day,,,,,that day,,buy burning man tickets,,,,
put down dress shopping at the grove to my calendar,,,,,,,dress shopping,,the grove,,
put down film screening at theater for 8pm tonight,,,,,,8pm,film screening,,theater,,
put down FIRST Robotics Competition for next Monday in Long Beach,,,,,next Monday,,FIRST Robotics Competition,,Long Beach,,
put down nail appointment on December 2nd with Sally May for 2 hours at 3pm at the nail salon,,,,,december 2nd,3pm,nail appointment,sally May,nail salon,2 hours,
put down pickup basketball game with the boys every Thursday night at Prospect Park,,,,,thursday,night,pickup basketball game,the boys,Prospect Park,,every
put down something on my calendar for Friday,,,,,Friday,,,,,,
put down swimming class on my schedule,,,,,,,swimming class,,,,
put down Thanksgiving shopping for Monday at 9am,,,,,Monday,9am,Thanksgiving shopping,,,,
put down the team lunch on my schedule,,,,,,,team lunch,,,,
put in a 4 hour cooking class with Becky Foshay on my schedule,,,,,,,cooking class,Becky Foshay,,4 hour,
put on the calendar Picnic at the Beach Sunday 3pm,,,,,Sunday,3pm,picnic at the beach,,,,
put pick up the kids on my calendar at 1 pm each day,,,,,,1 pm,pick up the kids,,,,each day
put pooja's baby shower on the calendar,,,,,,,pooja's baby shower,,,,
put something down for 2pm on march 12,,,,,march 12,2pm,,,,,
put something down for march 6th at 2 pm,,,,,march 6th,2 pm,,,,,
put something on my agenda,,,,,,,,,,,
put something on my calendar on december 5th,,,,,december 5th,,,,,,
put something on my calendar tomorrow,,,,,tomorrow,,,,,,
put that on calendar,that,,,,,,,,,,
put the alumni ski trip on my calendar,,,,,,,alumni ski trip,,,,
put the olympics on my schedule,,,,,,,olympics,,,,
put the second one on calendar,second one,,,,,,,,,,
Put the third tv program on my calendaer,,third,,,,,,,,,
put this sports game on my calendar,,,,this sports game,,,,,,,
remind about the first event,first,,,,,,,,,,
Remind me about a doctor's appointment on October 7th at 3pm at the Kaiser Baldwin Park,,,,,October 7th,3pm,Doctor's appointment,,Kaiser Baldwin Park,,
remind me about doing my taxes that day,,,,,that day,,doing my taxes,,,,
remind me about it,it,,,,,,,,,,
remind me about that,that,,,,,,,,,,
remind me about that event,that event,,,,,,,,,,
remind me about the bible study at the korean church on Sunday night,,,,,sunday,night,bible study,,korean church,,
remind me about the first game,,,,first,,,,,,,
remind me about this,this,,,,,,,,,,
remind me about this game,this,,,,,,,,,,
remind me about this later,this,,,,,,,,,,
remind me about walking the dog,,,,,,,walking the dog,,,,
remind me that day about walking the dog,,,,,that day,,walking the dog,,,,
remind me that day to call my aunt sue,,,,,that day,,call my aunt sue,,,,
remind me that Suzie's birthday is on Sunday and invite tom pence,,,,,sunday,,suzie's birthday,tom pence,,,
remind me to buy groceries,,,,,,,buy groceries,,,,
remind me to buy laundry detergent,,,,,,,buy laundry detergent ,,,,
