TransportTaxiRideHistoryQ,TransportTaxiRideHistoryType
uber cab booking history,uber
Check Car booking history of Mike in Uber App,Uber
"Siri, how many times have I scheduled rides with Uber?",Uber
I NEED MY UBER BOOKINGS FOR TOM,UBER
check how many rides did i take in uber SUV,uber SUV
check all my booking history uber suv,uber suv
When have I used Uber in the past?,Uber
Where have I taken a Lyft?,Lyft
Please show me a history of all my Uber rides for the past month.,Uber
Open Uber history,Uber
Check my history of Uber rides,Uber
Show me all my UberXL ride histories.,UberXL
"Hey, Can you please get my Uber History for me ?",Uber
What journeys have I taken with Uber?,Uber
check my Uber cab booking history  for the Uber SUV,Uber SUV
Check cab booking history in Uber pool,Uber pool
Can you show the history of my Uber SUV bookings in the past month?,Uber SUV
check history of my booking pool,pool
Check history of my cab bookings on Uber with Uber SUV.,Uber SUV
When were my Uber bookings for the last month?,Uber
Show me the history of my OLA Micro cab bookings till today?,OLA Micro
Search in my browser history for Uber SUV car service,Uber SUV
Siri search for my last week Uber bookings history,Uber
"Siri, show my booking history for Uber over the last six months.",Uber
Show me my history of Uber transactions,Uber
Check my Uber bookings,Uber
When did I last book an Uber SUV?,Uber SUV
When have I ridden with Uber,Uber
Tell me my Uber cab booking schedule for current month.,Uber
Find booking history of Uber,Uber
show uber history,uber
show me booking history of uber mini cabs,uber
Show me all my Uber SUV bookings,Uber SUV
Show me uber,Uber
I want to see all my past ride information for Uber rides,Uber
List all my previous Uber vehicle request's.,uber
list all my booking history for uber,uber
Find me previous Uber bookings,Uber
Get me a detailed history of my Uber bookings.,Uber
tell me my uber history,uber
"Siri, open booking history of Uber app for  SUVs after 2015.",Uber
Tell me the history of my Uber SUV bookings,Uber SUV
When did I use Uber before?,Uber
search my travel history on Uber,Uber
Can I have a history of my Uber bookings,Uber
Show me all Lyft Plus bookings I've made.,Lyft Plus
Show me the transactions of my cab bookings,cab
what was my last uber ride,uber
"Assistant, please let me know how many times I've booked Uber SUV.",Uber SUV
Check my Uber rides history for 2016,Uber
Can you help me with my last booking with Ola,ola
find me the history of cab booking please?,cab
Fetch  UBERX Booking history,UBERX
Siri find out my uber cab booking history,uber
How many times have I booked Lyft Plus so far ?,Lyft Plus
uber suv history on uber,uber suv
Tell me the list of Uber rides I've used in the last month.,Uber
Check Uber bookings history,Uber
Can you show me my past lyft bookings?,Lyft
What is my Uber SUV history ?,Uber SUV
Find the history of my Lyft Line,Lyft Line
uber history,uber
What is the history of my UberX rides?,UberX
I need the history displayed for my Uber cab booking history.,Uber
Dear automated assistant will You Please get history of  Lyft Plus cab bookings.,Lyft Plus
What is my current Uber history,Uber
how many destinations have i gone to with uber?,uber
I want to hear the dates when I have used Lyft Line,Lyft Line
Let me know the last time I travelled by using uber,uber
Show me the history of  my bookings in Uber SUV,Uber SUV
What is the history of my Uber SUV bookings?,Uber SUV
Can I see my record of Uber rides?,Uber
find uber history of bookings,uber
Mikes car booking history in Uber App,Uber
"Siri, list my history of scheduling rides with Uber.",Uber
COULD I PLEASE HAVE MY CAB BOOKINGS,cab
see how many miles have i taken in lyft,lyft
provide my all booking history of uber suv,uber suv
Tell me when I have booked a car before.,car
"Show me my ride history, please.",ride
Can you provide me with a list of all the times I took a cab in New York City?,cab
What is my Uber history,Uber
Show history of Uber rides,uber
Can you show me the last 20 UberXL rides I have taken?,UberXL
"Hey, show me the complete history of my uber rides.",uber
When have I used Uber?,Uber
show me Uber cab booking history,uber
How many times did I book uber pool in the last month,uber pool
How many times did I use Uber SUV this past month?,Uber SUV
my pool booking history,pool
Display all my cab bookings on Lyft with Lyft Plus,Lyft plus
How many time have I used Ola this year?,Ola
Show details of my Uber Select cab bookings.,Uber Select
Find SUV rental car information from my browser history,SUV
Siri search for my recent cab booking history,cab
"Siri, find my recent ride history in the Lyft App.",Lyft
What rides have I requested from Lyft in the last year,Lyft
my uber history,uber
Find the history of my Lyft Lyne bookings,lyft lyne
Please give me a list of my uber booking history,uber
Aware me about my OLA cab bookings for September 2015,OLA
Check my bookings for Uber SUV,Uber SUV
how many destinations have i gone to with uber ride,uber
"Assistant, please let me know how many times I've booked Uber SUV",Uber SUV
check how many times I've booked for an uber pool ride,uber pool
how many destinations have I gone to with uber cab,uber
How many times did I use Uber to take me from my house to church,uber
