ControlRepeatResponse,ControlRepeatSkill,ControlRepeatAll
repeat it ,,
repeat ,,
repeat what you said before ,,
repeat it for me ,,
can you repeat that ,,
read that again ,,
say that again ,,
again ,,
say again ,,
come again ,,
what again ,,
what was that again ,,
say it again ,,
tell me again ,,
tell again ,,
speak again ,,
tell me again ,,
again please ,,
one more time,,
once more ,,
once again ,,
say it once more ,,
one more time ,,
say it one more time ,,
give it to me again ,,
repeat that aneeda,,
repeat that one ,,
repeat this one ,,
repeat this card ,,
repeat this result ,,
repeat it ,,
repeat that ,,
repeat this ,,
repeat please ,,
tell me again please ,,
repeat again please ,,
repeat again,,
repeat it again ,,
can you repeat that ,,
please repeat ,,
put it on repeat ,,
put this on repeat ,,
put on repeat ,,
set it to repeat ,,
make it repeat ,,
aneeda repeat ,,
repeat it please,,
please repeat that ,,
please repeat this ,,
please repeat it ,,
please repeat,,
aneeda please repeat ,,
aneeda please repeat it ,,
please put it on repeat ,,
please make it repeat ,,
repeat this song  ,song ,
repeat this track ,track ,
put this song on repeat ,song ,
put this track on repeat ,track ,
repeat song ,song ,
repeat track ,track ,
repeat the song ,song ,
put this song on repeat ,song ,
just repeat this song ,song ,
repeat only this song ,song ,
repeat only one song ,song ,
put this song on repeat only ,song ,
only repeat this song ,song ,
repeat only this track ,track ,
repeat this song again ,song ,
put this music on repeat ,music,
put this song on repeat please,song ,
please put this song on repeat ,song ,
play this song again ,song ,
play this song and put it on repeat ,song ,
make this song on repeat ,song ,
can I hear this song on repeat ,song ,
can I hear this again ,,
can I hear it again ,,
can I hear that again ,,
can I hear that song again ,song ,
can I hear this song again ,song ,
can you repeat this song ,song ,
repeat the song ,song ,
repeat this song ,song ,
repeat that song ,song ,
put that song on repeat ,song ,
put this song on repeat ,song ,
put this song in repeat ,song ,
song repeat mode ,song ,
repeat song mode ,song ,
repeat song please ,song ,
play it again ,,
play this song again ,song ,
play that song again ,song ,
play the song again ,song ,
play this playlist again ,playlist ,
repeat the playlist ,playlist ,
repeat this collection,collection,
repeat this set ,set,
repeat this music set ,set,
repeat this song set ,set,
put this album on repeat ,album ,
put all of this on repeat ,,all
repeat all mode ,,all
put all songs on repeat ,,all
all on repeat ,,all
put this playlist on repeat ,playlist ,
play all these on repeat ,,all
repeat all ,,all
repeat all of this ,,all
repeat all results,,all
repeat all the cards,,all
repeat all the results ,,all
repeat all again ,,all
can you repeat it all ,,all
can you repeat all of this ,,all
can you repeat all of it ,,all
can you repeat all of that ,,all
can you repeat all ,,all
repeat everything ,,everything
repeat all of it ,,all
repeat everything please,,everything
repeat everything here ,,everything
repeat everything again ,,everything
repeat all songs ,songs,all
repeat all mode ,,all
mode repeat all ,,all
repeat all music ,,all
repeat it all ,,all
play all again ,,all
play all these again ,,all
put this all on repeat ,,all
put it all on repeat ,,all
put all on repeat ,,all
put that all on repeat ,,all
make it all repeat ,,all
set it on repeat all ,,all
set it to repeat all ,,all
music repeat all mode,,all
music repeat all please,,all
music repeat all ,,all
repeat all songs ,songs,all
repeat all these songs,songs,all
repeat all of these songs ,songs,all
repeat everything ,,everything
repeat every thing ,,every thing
repeat everything on the list ,,everything
repeat all tracks ,tracks,all
repeat all the tracks ,tracks,all
repeat these tracks ,tracks,
repeat the whole set ,,set
repeat the set ,,set
repeat all please,,all
repeat it all please,,all
repeat it all ,,all
repeat this all ,,all
repeat all of it ,,all
repeat every song ,,every
repeat every card ,,every
repeat every result,,every
repeat everything ,,everything
say everything again ,,everything
tell me everything again ,,everything
speak everything again ,,everything
read everything again ,,everything
read all results again,,all
read all of it again ,,all
read it all again ,,all
read all again ,,all
repeat all again ,,all
repeat all ,,all
