AneedaOpinionResponse,AneedaOpinionArtist,AneedaOpinionKeyword
what are your thoughts on mike pence,,mike pence
what are your thoughts on girls,,girls
what are your thoughts on game of thrones ,,game of thrones
what are your thoughts on public schools ,,public schools
what are your thoughts on education ,,education
what are your thoughts on prison reform ,,prison reform
what are your thoughts on japan,,japan
what are your thoughts on us china relations ,,us china relations
what are your thoughts on burgers,,burgers
what are your thoughts on time magazine ,,time magazine
what are your thoughts on paris hilton,,paris hilton
what are your thoughts on the tech industry ,,the tech industry
what are your thoughts on food,,food
what is your opinion on the backstreet boys,the backstreet boys,
what is your opinion on halsey,halsey,
what is your opinion on the chainsmokers ,the chainsmokers,
what is your opinion on pink,pink,
what is your opinion on selena gomez,selena gomez,
what is your opinion on john legend,john legend,
what is your opinion on demi lovato ,demi lovato,
what is your opinion on kanye west ,kanye west,
what is your opinion on beyonce,beyonce,
what's your opinion on ty dolla sign ,ty dolla sign,
what's your opinion on asap rocky,asap rocky,
what's your opinion on chance the rapper,chance the rapper,
what's your opinion on michael jackson,michael jackson,
what's your opinion on prince,prince,
what's your opinion on the beatles,beatles,
what's your opinion on will.i.am ,will.i.am,
what's your opinion on fergie,fergie,
what's your opinion on ariana grande,ariana grande,
what's your opinion on childish gambino,childish gambino,
what's your opinion on sia,sia,
what's your opinion on pitbull ,pitbull,
what's your opinion on flo rida ,flo rida,
what's your thoughts on nicki minaj,nicki minaj,
what's your thoughts on meek mill,meek mill,
what's your thoughts on jessie j,jessie j,
what's your thoughts on bruno mars,bruno mars,
what's your thoughts on mark ronson,mark ronson,
what's your thoughts on maroon 5,maroon 5,
what's your thoughts on tinashe,tinashe,
what's your thoughts on imagine dragons,imagine dragons,
what's your thoughts on the strokes,the strokes,
what's your thoughts on bob dylan ,bob dylan,
tell me what you think about rae sremmurd,rae sremmurd,
tell me what you think about gucci mane,gucci mane,
tell me what you think about dj snake,dj snake,
tell me what you think about the weeknd,the weeknd,
tell me what you think about kendrick lamar,kendrick lamar,
tell me what you think about solange knowles,solange knowles,
tell me what you think about shawn mendes,shawn mendes,
tell me what you think about sean paul ,sean paul,
tell me what you think about x ambassadors,x ambassadors,
tell me what you think about keith urban,keith urban,
tell me what you think about martin garrix,martin garrix,
tell me what you think about future,future,
tell me what you think of dj khaled,dj khaled,
tell me what you think of lil wayne ,lil wayne,
tell me what you think of wiz khalifa ,wiz khalifa,
tell me what you think of desiigner,desiigner,
tell me what you think of tyga,tyga,
tell me what you think of asap ferg,asap ferg,
tell me what you think of machine gun kelly,machine gun kelly,
tell me what you think of mariah carey ,mariah carey,
tell me what you think of big sean,big sean,
tell me what you think of keith urban,keith urban,
tell me what you think of luke bryan,luke bryan,
tell me what you think of chris stapleton ,chris stapleton,
tell me your thoughts on katy perry,katy perry,
tell me your thoughts on miley cyrus,miley cyrus,
tell me your thoughts on zayn malik ,zayn malik,
tell me your thoughts on one direction ,one direction,
tell me your thoughts on zayn ,zayn,
tell me your thoughts on little mix,little mix,
tell me your thoughts on kelly clarkson,kelly clarkson,
tell me your thoughts on erykah badu,erykah badu,
tell me your thoughts on lauryn hill,lauryn hill,
tell me your thoughts on dr dre,dr dre,
tell me your thoughts on tupac,tupac,
tell me your thoughts on notorious BIG ,notorious BIG,
tell me your opinion on a tribe called quest ,a tribe called quest,
tell me your opinion on NWA,NWA,
tell me your opinion on wu tang clan,wu tang clan,
tell me your opinion on celine dion,celine dion,
tell me your opinion on the backstreet boys,the backstreet boys,
tell me your opinion on janet jackson,janet jackson,
tell me your opinion on the rolling stones,the rolling stones,
tell me your opinion on amy winehouse,amy winehouse,
tell me your opinion on alicia keys,alicia keys,
tell me your opinion on ryan adams ,ryan adams,
tell me your opinion on frank ocean ,frank ocean,
what's your opinion of usher,usher,
what's your opinion of TI,TI,
what's your opinion of t-pain,t-pain,
what's your opinion of lil jon ,lil jon,
what's your opinion of eminem ,eminem,
what's your opinion of christina aguilera,christina aguilera,
what's your opinion of jessica simpson,jessica simpson,
what's your opinion of destiny's child,destiny's child,
what's your opinion of ciara,ciara,
what's your opinion of guns n roses,guns n roses,
what's your opinion of lauryn hill,lauryn hill,
what's your opinion of macy gray ,macy gray,
what's your opinion of lorde,lorde,
what's your opinion of one direction ,one direction,
what's your opinion of mary j blige ,mary j blige,
what's your opinion of the weeknd,the weeknd,
what's your opinion of daft punk,daft punk,
what's your opinion of frank ocean,frank ocean,
what's your opinion of destiny's child,destiny's child,
what's your opinion of red hot chili peppers,red hot chili peppers,
what's your opinion of craig david,craig david,
what's your opinion of adam levine,adam levine,
what's your opinion of dave brubeck,dave brubeck,
what's your opinion of korn,korn,
what's your opinion of bob dylan,bob dylan,
what's your opinion of the who,the who,
what's your opinion of aretha franklin,aretha franklin,
what's your opinion of tina turner,tina turner,
what's your opinion of whitney houston ,whitney houston,
what's your opinion on the war in syria ,,war in syria
what's your opinion on black lives matter,,black lives matter
what's your opinion on the election ,,election
what's your opinion on brexit ,,brexit
what's your opinion on amazon echo ,,amazon echo
what's your opinion on google home ,,google home
what's your opinion on siri ,,siri
what's your opinion on aliens,,aliens
what's your opinion on artificial intelligence,,artificial intelligence
what's your opinion on charter schools ,,charter schools
what's your opinion on streaming music,,streaming music
what's your opinion on christmas ,,christmas
what's your opinion on thanksgiving ,,thanksgiving
what's your opinion on celebrities ,,celebrities
what's your opinion on rap music ,,rap music
what's your opinion on chinese food,,chinese food
what's your opinion on russian politics ,,russian politics
what's your opinion on hacking ,,hacking
tell me how you feel about aerosmith  ,aerosmith ,
tell me how you feel about nsync,nsync,
tell me how you feel about whitney houston,whitney houston,
tell me how you feel about cher,cher,
tell me how you feel about craig david,craig david,
tell me how you feel about gwen stefani,gwen stefani,
tell me how you feel about halsey,halsey,
tell me how you feel about hailee steinfeld,hailee steinfeld,
tell me how you feel about meek mill ,meek mill,
tell me how you feel about bon jovi ,bon jovi,
how do you feel about paul mccartney ,paul mccartney,
how do you feel about bruce springsteen ,bruce springsteen,
how do you feel about elvis,elvis ,
how do you feel about stevie wonder,stevie wonder,
how do you feel about edward snowden ,,edward snowden
how do you feel about time travel ,,time travel
how do you feel about worm holes,,worm holes
how do you feel about gun control  ,,gun control
how do you feel about evolution ,,evolution
how do you feel about donald trump ,,donald trump
how do you feel about trump ,,trump
how do you feel about clinton,,clinton
how do you feel about jimmy fallon ,,jimmy fallon
how do you feel about kardashians ,,kardashians
how do you feel about brad pitt,,brad pitt
how do you feel about the world ,,the world
how do you feel about the world today ,,the world today
how do you feel about life ,,life
tell me your thoughts on america,,america
tell me your thoughts on the us,,the us
tell me your thoughts on the uk ,,the uk
tell me your thoughts on brexit ,,brexit
tell me your thoughts on china,,china
tell me your thoughts on turkish airlines,,turkish airlines
tell me your thoughts on black Friday ,,black Friday
tell me your thoughts on internet bullying ,,internet bullying
tell me your thoughts on social media ,,social media
tell me your thoughts on commercials ,,commercials
tell me your thoughts on advertising ,,advertising
tell me your thoughts on canada ,,canada
tell me your thoughts on mexico,,mexico
tell me your thoughts on illegal immigrants ,,illegal immigrants
tell me your thoughts on starbucks,,starbucks
tell me your thoughts on coffee,,coffee
tell me your thoughts on empire,,empire
tell me your thoughts on star wars ,,star wars
tell me your thoughts on drake,drake,
tell me your thoughts on red hot chili peppers,red hot chili peppers,
tell me your thoughts on u2,u2,
tell me your thoughts on coldplay ,coldplay,
tell me your thoughts on adele,adele,
tell me your thoughts on justin bieber,justin bieber,
tell me your thoughts on hailee steinfeld,hailee steinfeld,
tell me your thoughts on lady gaga,lady gaga,
tell me your thoughts on lil kim ,lil kim,
tell me your thoughts on tupac,tupac,
tell me your thoughts on 2pac,2pac,
tell me your thoughts on snoop dogg ,snoop dogg,
