MusicReplayQuery,MusicReplayAlbum,MusicReplayArtist,MusicReplayAlbumArtist,MusicReplayCollection,MusicReplayTimeRange
replay what I listened to last Friday,,,,,last Friday
replay what I listened to last Saturday,,,,,last Saturday
replay what I listened to last Sunday,,,,,last Sunday
replay what I listened to last Thursday,,,,,last Thursday
replay what I listened to last Tuesday,,,,,last Tuesday
replay what I listened to last Wednesday,,,,,last Wednesday
replay with confidence from last week,,,with confidence,,last week
replay word up from 1 month ago,,,word up,,1 month ago
Plays songs from the 30 minutes ago,,,,,30 minutes ago
Repeat that playlist,,,,that,
Repeat the album from 3 days ago,album,,,,3 days ago
repeat the rock playlist,,,,rock,
Repeat the songs from this morning,,,,,this morning
replay 24k i listened to on thursday,,,24k,,thursday
replay albums from last Friday,albums,,,,last Friday
replay albums from last Saturday,albums,,,,last Saturday
replay albums from last Sunday,albums,,,,last Sunday
replay albums from last Thursday,albums,,,,last Thursday
replay albums from last Tuesday,albums,,,,last Tuesday
replay albums from last Wednesday,albums,,,,last Wednesday
replay albums from Monday,albums,,,,Monday
replay alison wonderland from last month,,,alison wonderland,,last month
replay bobby helms i heard yesterday,,,bobby helms,,yesterday
replay bun b from last thursday,,,bun b,,last thursday
replay d'angelo and the vanguard from last thursday,,,d'angelo and the vanguard,,last thursday
replay exercise from last sunday,,,,exercise,last sunday
replay hip-hop from last sunday,,,,hip-hop,last sunday
replay love my life from last sunday,,,love my life,,last sunday
replay music from 10 2 months ago,,,,,2 months ago
replay music from 15 minutes ago,,,,,15 minutes ago
replay music from 45 minutes ago,,,,,45 minutes ago
replay music from last Friday,,,,,last Friday
replay music from last Saturday,,,,,Saturday
replay music from last Sunday,,,,,Sunday
replay music from last Thursday,,,,,last Thursday
replay music from last Tuesday,,,,,last Tuesday
replay music from last Wednesday,,,,,last Wednesday
replay music from the last 2 hours,,,,,last 2 hours
Replay my dancehall playlist,,,,dancehall,
replay nicolas jaar i listened to on thursday,,,nicolas jaar,,thursday
replay piensas dile la verdad i listened to on saturday,,,piensas dile la verdad,,saturday
replay playlists from 45 minutes ago,,,,playlists,45 minutes ago
replay playlists from Friday,,,,playlists,Friday
replay playlists from Monday,,,,playlists,Monday
replay playlists from Saturday,,,,playlists,Saturday
replay playlists from Sunday,,,,,Sunday
replay playlists from the last half hour,,,,playlists,last half hour
replay playlists from Thursday,,,,playlists,Thursday
replay playlists from Tuesday,,,,playlists,Tuesday
replay playlists from Wednesday,,,,playlists,Wednesday
replay queen of the clouds from last thursday,,,queen of the clouds,,last thursday
replay road trip from 45 minutes ago,,,,road trip,45 minutes ago
replay songs from 12 hours ago,,,,,12 hours ago
Replay songs from an hour ago,,,,,an hour ago
replay songs I heard on Friday,,,,,Friday
replay songs I heard on Saturday,,,,,Saturday
replay songs I heard on Thursday,,,,,Thursday
replay songs I heard on Tuesday,,,,,Tuesday
replay songs I heard on Wednesday,,,,,Wednesday
replay songs that I heard on Sunday,,,,,Sunday
replay that album,that,,,,
Replay that song,,,,,
Replay the album I heard 2 days ago,album,,,,2 days ago
replay the albums I listened to on Saturday,albums,,,,Saturday
replay the albums I listened to on Sunday,albums,,,,Sunday
replay the albums I listened to on Thursday,albums,,,,Thursday
replay the albums I listened to on Tuesday,albums,,,,Tuesday
replay the albums I listened to on Wednesday,albums,,,,Wednesday
replay the albums that I listened to on Friday,albums,,,,Friday
replay the aloha soundtrack i listened to on saturday,,,aloha soundtrack,,saturday
replay the cardio playlist,,,,cardio,
replay the hip hop playlist,,,,hip hop,
replay the love songs  playlist from 10 minutes ago,,,,love songs,10 minutes ago
replay the party mix playlist from last sunday,,,,party mix,last sunday
replay the playlists from last Friday,,,,playlists,last Friday
replay the playlists from last Saturday,,,,,last Saturday
replay the playlists from last Sunday,,,,playlists,last Sunday
replay the playlists from last Thursday,,,,playlists,last Thursday
Replay the pool party playlist,,,,pool party,
replay the punk playlist from 45 minutes ago,,,,punk,45 minutes ago
replay the rap faves playlist,,,,rap faves,
Replay the songs from this morning,,,,,this morning
replay the songs from Tuesday night,,,,,Tuesday night
replay the workout playlist from tuesday,,,,workout,tuesday
replay what I listened to 30 minutes ago,,,,,30 minutes ago
replay what I listened to 45 minutes ago,,,,,45 minutes ago
