calendarCheckEvent,calendarDate,calendarTime
does my schedule look free next Friday,next Friday,
help me check if I am free next Monday 6pm,next Monday,6pm
help me see if I'm available on the evening of september 1st,september 1st,evening
is there space on my calendar Thursday,Thursday,
is there a chance I'm free on may 12th in the evening,may 12th,evening
is there free time on my calendar on Monday,Monday,
is there anytime I'm free on Friday,Friday,
is there times I'm free ,,
is there free time on my schedule ,,
is there any free time on my schedule today,today,
is there any space on my calendar tomorrow,tomorrow,
is there space on my schedule for dinner,,dinner
is there time on my calendar tomorrow afternoon,tomorrow,afternoon
find time on my schedule tomorrow,tomorrow,
find time on my calendar on Monday night,Monday,night
find time on my schedule on may 7th,may 7th,
find time on december 2nd on my schedule,december 2nd,
find time on my calendar for Thursday,Thursday,
find time on my schedule april 10th,april 10th,
find times on my calendar next Monday afternoon,Monday,afternoon
find free time on my schedule Monday,Monday,
find free time on the calendar next Wednesday evening,next Wednesday,evening
find some free time on my schedule Friday,Friday,
find openings in my schedule on Sunday,Sunday,
find the openings in my schedule tomorrow,tomorrow,
look up the free times on my calendar next Friday,next Friday,
look up some free time on my calendar friday evening,friday,evening
look up the times I have free on my schedule,,
look up the times I have free,,
look up the times I'm free,,
find the times I'm free,,
find the times I'm free tomorrow ,tomorrow,
look up the times I'm free on march 2nd,march 2nd,
look into the times I am free may 3rd,may 3rd,
can you look into the times I am free Tuesday,Tuesday,
look up free times on may 5th evening,may 5th ,evening
find free time on my schedule for Thursday,Thursday,
find some free times on Monday morning,Monday,morning
show me the openings on my calendar next Wednesday,next Wednesday,
show me the free times I have on october 4th,october 4th,
show me free times on my schedule on Monday,Monday,
show me the gaps in my schedule next Friday evening,next Friday,evening
show me if I am free 4pm on Thursday,Thursday,4pm
find out if I am free on Monday at 5pm,Monday,5pm
find out if I am available at 2pm on next Monday,Monday,2pm
find out if I'm free on Tuesday please,Tuesday,
please check if I'm free on december 3rd,december 3rd,
see if I am free on may 15th for dinner,may 15th,dinner
see if I am free on november 30th,november 30th,
see if I am free on the 4th of july,4th of july,
see if I am free tomorrow night,tomorrow,night
see if I'm available Saturday,Saturday,
see if I'm free on Friday night,Friday,night
tell me the breaks in my schedule ,,
tell me the openings in my schedule,,
tell me when I'm free tomorrow,tomorrow,
tell me when I am free on Thursday,Thursday ,
tell me when I should be free Saturday,Saturday,
tell me times I'm free on Wednesday afternoon,Wednesday,afternoon
tell me if I'm free Friday 4pm,Friday,4pm
tell me if I am free next Monday at noon,next Monday,noon
tell me the breaks in my day tomorrow,tomorrow,
what openings do I have in my schedule next week,next week,
what are the openings in my calendar Monday,Monday,
what are the openings on my schedule for next Tuesday,next Tuesday,
what are the breaks in my day on Friday,Friday,
what are the free times I have on my schedule,,
what are the gaps in my schedule,,
what free time do I have on december 10th,december 10th,
what free time do I have this evening ,,this evening 
what free time do I have tomorrow,tomorrow,
what free time do I have tomorrow night,tomorrow,night
What free time do I have tomorrow?,tomorrow,
what gaps do I have in my schedule on Monday,Monday,
what time am I free tomorrow for a meeting ,tomorrow,
What time can I fit in a meeting with Ken on Monday afternoon,Monday,afternoon
what times am I available next Sunday morning,next Sunday,morning
what times am I available on Thursday,Thursday,
what times am I free on Monday ,Monday,
what times am I free Thursday,Thursday,
what times am I free Thursday at night,Thursday,night
what times am I free tomorrow afternoon ,tomorrow,afternoon
What times are free on my calendar today ,today ,
what times do I have free ,,
what times do I have free on Monday,Monday,
what times do I have free on Tuesday night,Tuesday ,night
when am I free ,,
when am I free next Sunday,next Sunday,
When can I schedule a dinner with David next week?,next week,dinner
when can I schedule a meeting with chandra next Monday  ,next Monday,
when can I schedule a meeting with chandra next week ,next week,
when can I schedule a meeting with chandra next weekend,next weekend,
when can I schedule a meeting with chandra on may 11th ,may 11th,
when can I schedule a meeting with chandra this week ,this week ,
when can I schedule a meeting with chandra tomorrow,tomorrow,
when do I have some time on the calendar ,,
when does my schedule free up ,,
When should I schedule this meeting?,,
where are the breaks in schedule,,
Where are the gaps in my schedule today?,today ,
where are the gaps in my schedule tomorrow ,tomorrow ,
would I be free next Wednesday afternoon ,next Wednesday,afternoon
would I be free on july 4th evening ,july 4th ,evening
would I be free on Monday afternoon   ,Monday,afternoon
would I be free on Saturday night ,Saturday,night
would I be free on Sunday morning ,Sunday,morning
Would I be free tomorrow evening?,tomorrow,evening
what times do I have free,,
where are the breaks in my schedule,,
when do I have free time,,
when do I have some free time,,
when do I have openings in my calendar,,
what times am I free,,
what times do I have free,,
what are the free times on my schedule,,
when is my schedule free,,
what times do I have free,,
what times have I got free,,
what openings do I have on the calendar,,
what are the open times on my schedule,,
where are the breaks in my schedule today,today,
do I have Monday afternoon free,Monday,afternoon
do I have next Sunday free,next Sunday,
do I have may 7th free on my calendar,may 7th,
do I have next Tuesday night free,next Tuesday,night
do I have Monday open,Monday,
do I have next Tuesday open,next Tuesday,
is my next Monday 4pm open,next Monday,4pm
is my next Monday night open,next Monday,night
is my 7pm on Tuesday open,Tuesday,7pm
is my Saturday night open,Saturday,night
is my Sunday night free,Sunday,night
is my Wednesday morning available,Wednesday,morning
is Monday night free,Monday,night
is february 14th free on my schedule,february 14th,
is may 15th open on my calendar,may 15th,
is my next Tuesday evening open,next Tuesday,evening
is my 6pm on Monday open,Monday,6pm
is Tuesday free for me,Tuesday,
is april 4th open for me,april 4th,
can I do 4pm for a meeting,,4pm
can I do 4pm tomorrow for a meeting,tomorrow,4pm
can I do Thursday afternoon for a meeting,Thursday,afternoon
can I do next Friday for a meeting,next Friday,
can I do in the evening on Sunday for a meeting,Sunday,evening
can I do 7pm Monday for a meeting,Monday,7pm
could I do a meeting on Friday night,Friday,night
could I do next Wednesday morning for a meeting,next Wednesday,morning
could I do march 1st morning for a meeting,march 1st,morning
can I do the morning of the 4th of july for a meeting,4th of july,morning
can I do 7pm on september 4th for a meeting,september 4th,7pm
is the 10th of october free for me,10th of october,
is the 11th of may open for me,11th of may,
find the openings on my calendar for june 3rd,june 3rd,
find the openings in my day for may 6th,may 6th,
find all the open times on my schedule next Friday,next Friday,
find the free times on my schedule on Monday,Monday,
when am I free on Tuesday,Tuesday,
when am I free tomorrow afternoon,tomorrow,afternoon
when am I available on Friday,Friday,
when am I free this Friday,Friday,
when am I free next Tuesday afternoon,next Tuesday,afternoon
when am I free on may 7th,may 7th,
when am I free on the afternoon on may 12th,may 12th,afternoon
am I free the afternoon of august 22nd,august 22nd,afternoon
am I free in the evening of november 4th,november 4th,evening
am I free the night of december 7th,december 7th,night
am I free next Tuesday night,next Tuesday,night
will I be free next Monday night,next Monday,night
will I be free on the night of may 2nd,may 2nd,night
what times are open on my calendar,,
what times are free on my schedule,,
what times am I free next Tuesday,next Tuesday,
what times am I free on the 5th of march,5th of march,
what times am I free may 20th,may 20th,
do I have may 11th free,may 11th,
do I have next Tuesday free,next Tuesday,
do I have any free times on Monday,Monday,
do I have time available ,,
do I have some free time,,
do I have November 3rd evening free,November 3rd,evening
next Monday do I have any free time,next Monday,
Monday evening do I have free time,Monday,evening
on Tuesday do I have times available,Tuesday,
on may 4th do I have free,may 4th,
may 4th do I have that free,may 4th,
next Tuesday do I have free,next Tuesday,
Tuesday night do I have that free,Tuesday,night
september 5th is that free,september 5th,
Friday evening am I free,Friday,evening
the night of july 11th am I free,july 11th,night
the morning of april 1st is that free,april 1st ,morning
december 5th do I have that day free,december 5th,
next Monday morning do I have free,next Monday,morning
Friday night am I free,Friday,night
am I free that day,that day,
do I have free time that day,that day,
do I have any openings that day,that day,
am I available that day,that day,
what times am I free that day,that day,
would I be free that day,that day,
am I open that day,that day,
what openings do I have that day,that day,
that day am I free,that day,
that day do I have free,that day,
do I have that day free,that day,
that day do I have free time,that day,
am I free that day,that day,
will I be free that day,that day,
would I be free that day,that day,
do I have free that day,that day,
is that day free for me,that day,
is that day all clear for me,that day,
any openings In my schedule that day,that day,
what are the openings in my schedule that day,that day,
any free time that day,that day,
that day do I have any free time,that day,
have I got any free time that day,that day,
am I free this day,this day,
do I have free time this day,this day,
do I have any openings this day,this day,
am I available this day,this day,
what times am I free this day,this day,
would I be free this day,this day,
am I open this day,this day,
what openings do I have this day,this day,
this day am I free,this day,
this day do I have free,this day,
do I have this day free,this day,
this day do I have free time,this day,
am I free this day,this day,
will I be free this day,this day,
would I be free this day,this day,
do I have free this day,this day,
is this day free for me,this day,
is this day all clear for me,this day,
any openings In my schedule this day,this day,
what are the openings in my schedule this day,this day,
any free time this day,this day,
this day do I have any free time,this day,
have I got any free time this day,this day,
