emailShow,emailContactDate,emailContact,emailDate,emailKeyword,emailSubject,emailCategory,emailUnread,emailLatest
what is the latest email from don draper,don draper,,,,,,,latest
what's the important one from donald trump about,donald trump,,,,,important,,
can you find emails from donatella  subject versace meeting,donatella,,,,versace meeting,,,
can you read the email I got from dr. obama,dr. obama,,,,,,,
do I have any new emails from duncan burns,duncan burns,,,,,,,new
read emails from dylan chapgier about tech shoot in the desert,dylan chapgier,,,tech shoot in the desert,,,,
read emails with subject burning man sent from dylan potter,dylan potter,,,,burning man,,,
search for the e-mail from eboni carter about casting,eboni carter,,,casting,,,,
do I have any email from eduardo chin,eduardo chin,,,,,,,
find most recent mail from Eileen Smooth,Eileen Smooth,,,,,,,recent
read the urgent one from Elijah Dreams,Elijah Dreams,,,,,urgent,,
what emails do I still need to reply to from Eliseo,Eliseo,,,,,reply,,
search for the most recent email from Elizabeth Chesley,Elizabeth Chesley,,,,,,,recent
open the unread emails from emily dickerson,emily dickerson,,,,,,unread,
could you find my emails from february 3rd,february 3rd,,,,,,,
pull up urgent emails from Fidel Castro,Fidel Castro,,,,,urgent,,
read me foshanda jenkins email with subject sync up,foshanda jenkins,,,,sync up,,,
what emails do I have to answer from Francia Nordling,Francia Nordling,,,,,answer,,
read me needs a response emails from gary,gary,,,,,response,,
do I have any meeting requests form Gary G Smith,Gary G Smith,,,,,meeting requests,,
search emails from gary vaynerchuck containing the words startup contract,gary vaynerchuck,,,startup contract,,,,
what is the meeting request from Gavin Williams about,Gavin Williams,,,,,meeting request,,
pull out emails from george malary jones,george malary jones,,,,,,,
show George Sterling emails awaiting response,George Sterling,,,,,awaiting response,,
find George Ulmer's email about the surprise dinner,George Ulmer,,,surprise dinner,,,,
what messages from George Washington needs reply,George Washington,,,,,reply,,
show me emails from gg lane,gg lane,,,,,,,
find gilli emails about sprint planning,gilli,,,sprint planning,,,,
read the emails from Gilli about the control room meetings,Gilli,,,control room meetings,,,,
pull up emails from gina rodriguez,gina rodriguez,,,,,,,
show emails that contain timezone request from Ginger San,Ginger San,,,timezone request,,,,
surface emails from ginger zee with the subject weather report,ginger zee,,,,weather report,,,
search for mail from Goliath Investments related to project timelines,Goliath Investments,,,project timelines,,,,
do I have an email from grace o'malley,grace o'malley,,,,,,,
read my gracenote emails,gracenote,,,,,,,
find emails about goop sent from gwyneth paltrow,gwyneth paltrow,,,goop,,,,
read an email from haley ng that had the subject london expenses,haley ng,,,,london expenses,,,
search emails for subject rent is due sent from hanna vo,hanna vo,,,,rent is due,,,
show me the last email I got from harry kardashian,harry kardashian,,,,,,,last
show any unseen e-mails from Harvey Cheesewinkle.,Harvey Cheesewinkle,,,,,,unseen,
read me the ones from Hasan which I missed reading,Hasan,,,,,,missed,
read the new one from Heather Collins,Heather Collins,,,,,,,new
get me emails from Hildegard Luthers that I need to reply,Hildegard Luthers,,,,,reply,,
get emais from Holly Schreckengast that still need an answer,Holly Schreckengast,,,,,answer,,
which emails from horizon are important,horizon,,,,,important,,
read to me hsu kang li's email,hsu kang li,,,,,,,
read to me Ian Bristowe's urgent email,Ian Bristowe,,,,,urgent,,
can you read the latest email from india love,india love,,,,,,,latest
find my emails from ipsy,ipsy,,,,,,,
find the email from issa rae about the hbo pilot,issa rae,,,hbo pilot,,,,
show emails from jack that are marked unread,jack,,,,,,unread,
show email from projack that are marked unread,projack,,,,,,unread,
where are the emails from jack dangermond about esri scholarship,jack dangermond,,,esri scholarship,,,,
read my emails from jack kane that mentions twitter stock,jack kane,,,twitter stock,,,,
did I miss reading anything from jacob babu,jacob babu,,,,,,miss,
read emails from jacob jojo concerning movie tickets,jacob jojo,,,,movie tickets,,,
can you read the message from jaden smith,jaden smith,,,,,,,
what is the recent email from james brown lee saying,james brown lee,,,,,,,recent
show me the email from James lynch about the party in moscow,James lynch,,,party in moscow,,,,
do I have unseen emails from Jamie Jones.,Jamie Jones,,,,,,unseen,
did I miss reading any from jane forester,jane forester,,,,,,miss,
read all emails from janet chu,janet chu,,,,,,,
what are my emails from janne kyttanen,janne kyttanen,,,,,,,
find emails from january regarding london flights,january,,,london flights,,,,
find my emails from January 20th,January 20th,,,,,,,
open the mail about kickstarter project from jason chan lee,jason chan lee,,,kickstarter project,,,,
I'm looking for an email with subject hong kong from jay lee,jay lee,,,,hong kong,,,
show me the one from jaya torres,jaya torres,,,,,,,
what emails from Jeff Kim require me to respond,Jeff Kim,,,,,respond,,
which one from Jefferson do I need to reply to,Jefferson,,,,,reply,,
read the one from Jenn Strople awaiting response,Jenn Strople,,,,,awaiting response,,
read jenner brady's mail,jenner brady,,,,,,,
show all my emails from jennifer martucci,jennifer martucci,,,,,,,
search emails for ones from jenny y yang,jenny y yang,,,,,,,
show me the emails from jerry mcguire about contract,jerry mcguire,,,contract,,,,
can you find messages from jessica alba about honest company,jessica alba,,,honest company,,,,
Go to unread messages from Jessica Davis,Jessica Davis,,,,,,unread,
search for mails from jessica myers-banks about wall street,jessica myers-banks,,,wall street,,,,
read out the one from jill biden smith,jill biden smith,,,,,,,
find me jim's emails,jim,,,,,,,
what were jimmy's meeting emails about,jimmy,,,,,meeting,,
what does the one from jj say,jj,,,,,,,
read to me the email from jj smith,jj smith,,,,,,,
what meeting invites do I have from jo jo king,jo jo king,,,,,meeting invites,,
can I see joan r hart's latest e-mail,joan r hart,,,,,,,latest
read me joe biden's emails,joe biden,,,,,,,
read my emails from joe namath that mentioned the hall of fame,joe namath,,,hall of fame,,,,
which of john's emails are considered important,john,,,,,important,,
find that unseen email from John Abraham,John Abraham,,,,,,unseen,
search john allen emails for lenovo,john allen,,,lenovo,,,,
what emails from john doe require action from me,john doe,,,,,require action,,
what are my missed ones from john harrow,john harrow,,,,,,missed,
what does john houston's meeting email say,john houston,,,,,meeting,,
get me john joseph's meeting invites,john joseph,,,,,meeting invites,,
what are john kane's emails have I not seen,john kane,,,,,,not seen,
read me emails from john smith,john smith,,,,,,,
what emails from John Smith haven't I read yet,John Smith,,,,,,haven't I read,
read the ones from johnny ko,johnny ko,,,,,,,
read me any emails from Johnny Woo about baseball with the subject fantasy league,Johnny Woo,,,baseball,fantasy league,,,
can you open my emails from jon snow,jon snow,,,,,,,
find email about the track team sent from jonathan o wang,jonathan o wang,,,track team,,,,
what are my important Jose Gonzalez emails,Jose Gonzalez,,,,,important,,
show me joy jones latest email,joy jones,,,,,,,latest
show all emails from judy phu about filming whoopi goldberg,judy phu,,,filming whoopi goldberg,,,,
read me e-mails that require action from Julia K,Julia K,,,,,require action,,
did I get an email from Julia Roberts about Notting Hill,Julia Roberts,,,Notting Hill,,,,
search for emails that say customer support from july,july,,,customer support,,,,
find ones about vista program from july,july,,,vista program,,,,
find e-mails from June 1st that had turbo tax in the subject line,June 1st,,,,turbo tax,,,
Find emails about data delivery API from juston,juston,,,data delivery API,,,,
search through my emails from ones from juston jj,juston jj,,,,,,,
tell me kaiser kuo's email,kaiser kuo,,,,,,,
what are the urgent emails from Kaitlyn P Drake,Kaitlyn P Drake,,,,,urgent,,
search my emails for ones from ken burns with the subject dinner plans,ken burns,,,,dinner plans,,,
can you open my emails from ken edmond,ken edmond,,,,,,,
what's the unread email from ken edmonds about,ken edmonds,,,,,,unread,
search for the email from ken hertz subject calibration suggestions,ken hertz,,,,calibration suggestions,,,
what did the new one from Kevin Cortez say,Kevin Cortez,,,,,,,new
read me the email from kim kardashian,kim kardashian,,,,,,,
show emails with subject kendall jenner sent from kris jenner,kris jenner,,,,kendall jenner,,,
find my emails from kristina lopez subject royal stamps,kristina lopez,,,,royal stamps,,,
read the ones from kyle that are marked unread,kyle,,,,,,unread,
read emails from kylie lecool,kylie lecool,,,,,,,
Show me emails from last 5 hours,last 5 hours,,,,,,,
can you read my emails received from last August,last August,,,,,,,
show me all the emails I have from last Monday.,last Monday,,,,,,,
pull up all my emails from last month about dodgers games,last month,,,dodgers games,,,,
can you find all my emails from last month about expenses,last month,,,expenses,,,,
find me emails about the getty tickets from last month,last month,,,getty tickets,,,,
search for the ones from last month about bill money,last month,,,bill money,,,,
show the email that was about hack for la from last month,last month,,,hack for la,,,,
find all the emails from last month having subject sprint planning,last month,,,,sprint planning,,,
search my inbox for subject apsa from last month,last month,,,,apsa,,,
could you find the one from last Sunday that mentions soccer game,last Sunday,,,soccer game,,,,
search for ones with subject river rafting from last Tuesday,last Tuesday,,,,river rafting,,,
open my emails from last Wednesday,last Wednesday,,,,,,,
read my email from last week about the aneeda release updates,last week,,,aneeda release updates,,,,
show the emails about wink demo from last week,last week,,,wink demo,,,,
can you search for ones about happy hour from last week,last week,,,happy hour,,,,
find that one from last week talking about monica garcia,last week,,,monica garcia,,,,
look for messages with subject foxxconn from last week,last week,,,,foxxconn,,,
find emails with miami in the subject from last week,last week,,,,miami,,,
Read me my unopened e-mails from Laura,Laura,,,,,,unopened,
search through my inbox for unread emails from laura,laura,,,,,,unread,
read legretta's emails with subject call sheet,legretta,,,,call sheet,,,
what's the last email I got from lewis haversham,lewis haversham,,,,,,,last
read recently sent emails from Lilly K,Lilly K,,,,,,,recently sent
read the emails from lilly kam about berlin,lilly kam,,,berlin,,,,
read recent ones from lilly starr,lilly starr,,,,,,,recent
show me emails from Lilly Zee mentioning training data requests,Lilly Zee,,,training data requests,,,,
find emails from lily about china summer program,lily,,,china summer program,,,,
can I see e-mails from ll cool j that that have the subject concert in miami,ll cool j,,,,concert in miami,,,
help me find emails from llcoolj@iam.net,llcoolj@iam.net,,,,,,,
any unseen email from lu_steel@yandex.ru.,lu_steel@yandex.ru,,,,,,unseen,
read my emails from lucky palmer that mention football,lucky palmer,,,football,,,,
find lucy's emails that have subject laundry items,lucy,,,,laundry items,,,
Display important email messages from lucy.stein@aol.com,lucy.stein@aol.com,,,,,important,,
Please read unread emails from Luis Cosson,Luis Cosson,,,,,,unread,
emails from lulu that require action from me,lulu,,,,,require action,,
can you read the one from marc benioff,marc benioff,,,,,,,
read Margeret Thatcher's new email to me,Margeret Thatcher,,,,,,,new
I need to respond to what email from Marilyn Squigs,Marilyn Squigs,,,,,respond,,
show me mark bryant's meeting requests to me,mark bryant,,,,,meeting requests,,
read me mark duncan's new email,mark duncan,,,,,,,new
search for the email from mark zuckerberg about the sf event,mark zuckerberg,,,sf event,,,,
show me all emails from marnie wu that have the subject steam expenses,marnie wu,,,,steam expenses,,,
could you pull up mary smith most recent email,mary smith,,,,,,,recent
pull up mathan's email about volunteers,mathan,,,volunteers,,,,
read me mathan johnson's emails,mathan johnson,,,,,,,
read out emails from may about mit internships,may,,,mit internships,,,,
aneeda could you read emails from may that mention steam expenses,may,,,steam expenses,,,,
read the e-mail from may ling wu about w9 forms,may ling wu,,,w9 forms,,,,
can you read the email I got from mayor eric garcetti,mayor eric garcetti,,,,,,,
open all unread emails from mechanical turk,mechanical turk,,,,,,unread,
Please pull up needs a response emails from megan@mac.com.,megan@mac.com,,,,,response,,
open the one from meja shoba,meja shoba,,,,,,,
show my new emails from Meryl Jones,Meryl Jones,,,,,,,new
could you find meryl perez's most recent email to me,meryl perez,,,,,,,recent
can you read me michael's urgent email,michael,,,,,urgent,,
find the email from michael lee about rent,michael lee,,,rent,,,,
read me michelle obama's emails to me,michelle obama,,,,,,,
any ones from mike collins that are not opened,mike collins,,,,,,not opened,
find any emails from mike jones I haven't read yet,mike jones,,,,,,haven't read,
do I have any emails unread from ming ming lee,ming ming lee,,,,,,unread,
what emails from Miranda Dimase do I need to answer,Miranda Dimase,,,,,answer,,
read the one from miriam h scott,miriam h scott,,,,,,,
find emails from the MIT alumni association,MIT alumni association,,,,,,,
do I have any important emails from mom,mom,,,,,important,,
what are mom's emails have I not read,mom,,,,,,not read,
I need emails from mom containing subject irs forms,mom,,,,irs forms,,,
read ones from mona lisa that are urgent,mona lisa,,,,,urgent,,
show me the emails from Monday,Monday,,,,,,,
please show the one about milo cash from Monday,Monday,,,milo cash,,,,
can you find morgana ash's latest mail,morgana ash,,,,,,,latest
what are the emails from mr belvedere about the housekeeper,mr belvedere,,,housekeeper,,,,
have I got any unread emails from Mr. John Sienna,Mr. John Sienna,,,,,,unread,
show me ones from Narasimma Rao that are unread,Narasimma Rao,,,,,,unread,
what mails from Natalie Schulz do I gotta reply to,Natalie Schulz,,,,,reply,,
show the Nick Janes messages that I have missed,Nick Janes,,,,,,missed,
do I need to respond to anything from Nikki Effenberg,Nikki Effenberg,,,,,respond,,
read all of noam's emails about planning,noam,,,planning,,,,
find me emails from only October 21 2016,October 21 2016,,,,,,,
is there an email with subject gym membership from olga lee,olga lee,,,,gym membership,,,
what's the critical email from Olivia Munn about,Olivia Munn,,,,,critical,,
search mail from sender oscar salinas,oscar salinas,,,,,,,
read me the email from oscar salinas about renting the bus,oscar salinas,,,renting the bus,,,,
read the one from pam jo,pam jo,,,,,,,
find the email Patrina sent regarding halloween party decoration,Patrina,,,halloween party decoration,,,,
get me emails from Patrina regarding weekly QA status,Patrina,,,weekly QA status,,,,
what are the emails that I need to reply to from paul marie,paul marie,,,,,reply,,
show me peggy sue's latest email,peggy sue,,,,,,,latest
what are newest emails from Peter Jackson about,Peter Jackson,,,,,,,newest
find any unseen emails received from Peter Rabbit,Peter Rabbit,,,,,,unseen,
read me needs a response emails from Phil Creighton.,Phil Creighton,,,,,response,,
Show me emails from Philip,Philip,,,,,,,
which from Philip Gorbechev needs reply,Philip Gorbechev,,,,,reply,,
Is there any unopened ones from philip HR smith,philip HR smith,,,,,,unopened,
read me all unopen emails from Phillip Jones,Phillip Jones,,,,,,unopen,
show most recent emails from Pier,Pier,,,,,,,recent
please look for unread emails from contact piperpeter123@yahoo.com,piperpeter123@yahoo.com,,,,,,unread,
read incoming emails from polo molina,polo molina,,,,,,,
show the newest ones from Pooja,Pooja,,,,,,,newest
fetch emails from Pooja concerning the nlu server updates,Pooja,,,nlu server updates,,,,
open the recent one from pooja kushalappa,pooja kushalappa,,,,,,,recent
search and open my emails from the previous Monday,previous Monday,,,,,,,
find emails from princess about airbnb,princess,,,airbnb,,,,
read the email from professor patrick,professor patrick,,,,,,,
read emails coming from rachel groberman,rachel groberman,,,,,,,
read my email from rachel groberman about the internship,rachel groberman,,,internship,,,,
what did I miss from rachel jo-walker,rachel jo-walker,,,,,,miss,
read the most recent email from Rachel O'Connell,Rachel O'Connell,,,,,,,recent
show all my emails from Rafael that require action,Rafael,,,,,require action,,
has rafael reif emails me about the judging event,rafael reif,,,judging event,,,,
open the one from randeep chopra,randeep chopra,,,,,,,
read me randy lee's emails about the grand challenges,randy lee,,,the grand challenges,,,,
read my emails from randyatkins@yahoo.com,randyatkins@yahoo.com,,,,,,,
can you find from Ranu Johns about eliza project,Ranu Johns,,,eliza project,,,,
can you find the email from Ray Li about the coupons discount,Ray Li,,,coupons discount,,,,
search for rebecca stanley's most recent email to me,rebecca stanley,,,,,,,recent
check my emails from Rene,Rene,,,,,,,
Read my email from Rene Ritchie,Rene Ritchie,,,,,,,
find email from richard bexter subject is KPI goals,richard bexter,,,,KPI goals,,,
pull up the one from rick ross,rick ross,,,,,,,
show emails from RinkyFord with words product review meeting,RinkyFord,,,product review meeting,,,,
show email from Rinky Ford with words project review meeting,Rinky Ford,,,project review meeting,,,,
read me rita ora's newest email,rita ora,,,,,,,newest
open the ones I haven't read yet from sender Robert Banks,Robert Banks,,,,,,haven't read,
show recent ones from Robert Louis Stevenson,Robert Louis Stevenson,,,,,,,recent
what's the most recent one from robert towne about,robert towne,,,,,,,recent
can you read me ron conway's mails,ron conway,,,,,,,
read the critical email from Rose Marcowicz,Rose Marcowicz,,,,,critical,,
find ross moore's email with subject line hello stranger,ross moore,,,,hello stranger,,,
open rowena lau's emails that I haven't read,rowena lau,,,,,,haven't read,
what's the urgent email from Roy Caridi,Roy Caridi,,,,,urgent,,
show me unopen emails from ruturajghule@gmail.com,ruturajghule@gmail.com,,,,,,unopen,
do I got any critical emails from Ryan Frankel,Ryan Frankel,,,,,critical,,
search my inbox for emails from ryan gosling about audition for la la land,ryan gosling,,,audition for la la land,,,,
do I have a meeting request from Ryan Gosselin,Ryan Gosselin,,,,,meeting request,,
find emails of subject students loans from sallie mae,sallie mae,,,,students loans,,,
search for all important emails from Sally Horn,Sally Horn,,,,,important,,
search for email from Sam Fierro that needs me to answer,Sam Fierro,,,,,answer,,
read the one from sam smith,sam smith,,,,,,,
show me sandy lee's email,sandy lee,,,,,,,
did I miss anything from sandy tomas,sandy tomas,,,,,,miss,
what are the emails from sarah brown that are still unread,sarah brown,,,,,,unread,
what is sarah bryant's important email saying,sarah bryant,,,,,important,,
can you find any unseen emails received from Sara-King Maxwell,Sara-King Maxwell,,,,,,unseen,
read scott shih's urgent email,scott shih,,,,,urgent,,
what are the emails about meetings from sean hayes,sean hayes,,,meetings,,,,
can you find the latest email from sean ross,sean ross,,,,,,,latest
read me the emails from sebastien catayenot,sebastien catayenot,,,,,,,
search for emails that mention alumni ball tickets from september,september,,,alumni ball tickets,,,,
read my email from september 2nd,september 2nd,,,,,,,
show the latest emails from shadae lamar smith,shadae lamar smith,,,,,,,latest
tell me about shivana karan's meeting email,shivana karan,,,,,meeting,,
show me latest email from Sindhu,Sindhu,,,,,,,
what's the latest one from smith about,smith,,,,,,,latest
can you read the latest email from Smith Ko,Smith Ko,,,,,,,latest
find the last email from smith solomon jones,smith solomon jones,,,,,,,last
read emails from Smithy regarding football scores,Smithy,,,football scores,,,,
what's the newest one from sonia rossly about,sonia rossly,,,,,,,newest
read the message from soyoung about buttons,soyoung,,,buttons,,,,
what's the meeting invite from Stephen Brian,Stephen Brian,,,,,meeting invite,,
get me the latest email from steve marx,steve marx,,,,,,,latest
what emails do I have from steve ross are marked important,steve ross,,,,,important,,
can you read me the latest email from stevie o,stevie o,,,,,,,latest
find emails from Sunday with subject shabbat,Sunday,,,,shabbat,,,
see if there are any unread ones from support@actfiber.com,support@actfiber.com,,,,,,unread,
read all the emails from sydney lowe to me,sydney lowe,,,,,,,
are there any unread mails from symone simpson,symone simpson,,,,,,unread,
what were the emails from tammy le,tammy le,,,,,,,
find the email from tammy le about the jet,tammy le,,,jet,,,,
read me all emails from tatiana,tatiana,,,,,,,
pull up the message from tatiana litvin about grants,tatiana litvin,,,grants,,,,
Please display all meeting request emails from Ted Robinson.,Ted Robinson,,,,,meeting request,,
find emails from thanos that contain the words film festival,thanos,,,film festival,,,,
read the email from the pope,the pope,,,,,,,
identify the email from this week that was about sandbox summit,this week,,,sandbox summit,,,,
search for my thomas lee jones emails,thomas lee jones,,,,,,,
read me thursday's emails,thursday,,,,,,,
get me ones from Thursday September 4,Thursday September 4,,,,,,,
show me emails from Thursday September 4,Thursday September 4,,,,,,,
read out the critical message from Tim Hunter,Tim Hunter,,,,,critical,,
open tim kane's email that has the subject sorry,tim kane,,,,sorry,,,
did I get an email from tina farris on the concert,tina farris,,,concert,,,,
aneeda please show my unread emails from TJ cole,TJ cole,,,,,,unread,
read back tom lee's emails to me,tom lee,,,,,,,
show me ones from tom narumi that are not read yet,tom narumi,,,,,,not read,
get tommy lau's email subject camping in big bear,tommy lau,,,,camping in big bear,,,
get emails from tommy lee jones about filming in vegas,tommy lee jones,,,filming in vegas,,,,
tell me what the one from travis l scott says,travis l scott,,,,,,,
did I get a meeting request from travis star,travis star,,,,,meeting request,,
read my emails from Tuesday,Tuesday,,,,,,,
pull up the emails from Tuesday,Tuesday,,,,,,,
read me all emails from Tuesday,Tuesday,,,,,,,
show my email from Tuesday about the broad museum,Tuesday,,,broad museum,,,,
find all my emails from turbo tax,turbo tax,,,,,,,
search for emails from turbo tax,turbo tax,,,,,,,
I need to see all my emails from two thursdays ago,two thursdays ago,,,,,,,
read me the one from tyra banks,tyra banks,,,,,,,
read the email from uncle johnny,uncle johnny,,,,,,,
what emails from uniquegemini@yahoo.com are unopened,uniquegemini@yahoo.com,,,,,,unopened,
read my emails from vicks@yahoo.com,vicks@yahoo.com,,,,,,,
show me all meeting invite from Victoria B Ho,Victoria B Ho,,,,,meeting invite,,
get the email from vids about the china meeting,vids,,,china meeting,,,,
show me all the emails from Wednesday,Wednesday,,,,,,,
show the emails from Wednesday that contain the subject meeting,Wednesday,,,,meeting,,,
what emails do I have from will adams,will adams,,,,,,,
find messages sent from will.i.am subject music issues,will.i.am,,,,music issues,,,
show emails from William Meyers awaiting response,William Meyers,,,,,awaiting response,,
show email from Will.i.am awaiting response,Will.i.am,,,,,awaiting response,,
show meeting invites from sender Xander Cheyne,Xander Cheyne,,,,,meeting invites,,
find that last email from yara anakrishnan,yara anakrishnan,,,,,,,last
show me emails from yesterday,yesterday,,,,,,,
read to me all emails dated from yesterday.,yesterday,,,,,,,
catch me up on yesterday's emails,yesterday,,,,,,,
can you read the one from yossi,yossi,,,,,,,
can you read the emails from yossi about chatbot,yossi,,,chatbot,,,,
show me the critical message from Zoe Bornhorst,Zoe Bornhorst,,,,,critical,,
