MusicInfoConcertsResponse,MusicInfoConcertsArtist,MusicInfoConcertsLocation,MusicInfoConcertsDate
I want to see miley cyrus in newark,miley cyrus,newark,
I want to see stevie wonder in concert,stevie wonder,,
I want to see twenty one pilots live,twenty one pilots,,
I wonder when future is going on tour,future,,
I wonder where future is performing,future,,
I would like to know when red hot chili peppers is touring again,red hot chili peppers,,
I would like to see RZA perform,RZA,,
I'd like to go to a slick rick concert,slick rick,,
I'd like to know where ed sheeran is playing,ed sheeran,,
I'd like to see concerts,,,
I'd like to see kanye west perform,kanye west,,
I'd like to see U2 in concert in canada,U2,canada,
I'd like tour dates,,,
I'm curious where macklemore & ryan lewis are performing next,macklemore & ryan lewis,,
I'm interested in bob marley concerts,bob marley,,
I'm looking for concerts,,,
I'm looking for concerts,,,
I'm looking for sting concerts,sting,,
I'm trying to find out when ciara is in concert,ciara,,
I'm trying to find weezer concerts,weezer,,
I'm trying to see where migos is playing,migos,,
I'm wondering where david guetta is playing,david guetta,,
is ariana grande playing in texas,ariana grande,texas,
is avril lavigne coming to chicago,avril lavigne,chicago,
Is beyonce playing in los angeles,beyonce,los angeles,
Is Chevelle playing a concert near me soon?,Chevelle,near me,
Is ciara playing in los angeles,ciara,los angeles,
is diana ross performing in vegas,diana ross,vegas,
is drake playing in LA soon?,drake,LA,
is drake playing in sydney,drake,sydney,
Is flo rida playing any shows in Chicago?,flo rida,Chicago,
is he coming to toronto,he,toronto,
is he on tour right now,he,,
is ice-t playing vegas,ice-t,vegas,
is imagine dragons playing in london,imagine dragons,london,
Is janet jackson coming to town,janet jackson ,town,
Is Kehlani coming to Sacramento,kehlani,sacramento,
is kehlani coming to san francisco,kehlani,san francisco,
Is kendrick lamar doing a concert in Atlanta.,kendrick lamar,Atlanta,
Is Peter Murphy in concert nearby,Peter Murphy,Nearby,
Is radiohead playing in cincinnati ,radiohead,cincinnati,
is she going on tour,she,,
is she on tour,she,,
is she playing chicago,she,chicago,
is she playing in daly city,she,daly city,
is she playing in san francisco,she,san francisco,
is stone temple pilots playing in texas,stone temple pilots ,texas,
is the who coming to canton,the who ,canton,
Is there a sigala concert in Minneapolis?,sigala,Minneapolis,
Is there any concert of sam smith in New York?,sam smith,New York,
isn't he on a concert tour,he,,
isn't he on tour,he,,
isn't she on tour,she,,
James Blunt playing in London anytime soon,James Blunt,London,
john legend's playing in portland correct,john legend,portland,
like can i have concerts,,,
list concerts of disturbed near london,disturbed,london,
list of concerts for no doubt,no doubt,,
List places where Taylor Swift is performing,Taylor Swift,,
look for a concert,,,
look for concerts by Akon in Dubai,Akon,Dubai,
look for Concerts in Tennessee this year,,Tennessee,
look for lady gaga shows in lyon,lady gaga,lyon,
look for luis fonsi concerts,luis fonsi,,
look for Maroon 5 concerts near st louis,Maroon 5,st louis,
look for sky ferreira concert in Nashville.,sky ferreira,nashville,
look for the chainsmokers concerts in florida,the chainsmokers,florida,
look for the cure in prague,the cure,prague,
look up air concerts,air,,
look up Beck concerts in San diego,beck,san diego,
look up Bobby Brown concerts in miami,bobby brown,miami,
look up concert ,,,
look up concerts,,,
look up concerts,,,
look up concerts for me,,,
look up concerts to go to this weekend,,,this weekend
look up drake concerts in Houston,drake,houston,
look up garth brooks concerts,garth brooks,,
look up information for George Strait Concert in New Orleans.,George Strait,New Orleans,
look up Iron Maiden concert near Brussels.,Iron Maiden,Brussels,
look up janet jackson tour dates ,janet jackson ,,
look up john mayer concerts,john mayer,,
look up Justin Bieber concerts in the UK,Justin Bieber,UK,
look up keane concerts,keane,,
look up Kenny Chesney concert dates and locations,Kenny Chesney,,
look up Kenny Rogers concerts near East Texas,Kenny Rogers,East Texas,
look up N.E.R.D. concerts,N.E.R.D.,,
look up Pharrell concerts in New York city,pharrell,new york city,
look up rick ross concerts,rick ross,,
look up shows for kylie minogue,kylie minogue,,
look up SZA concerts in LA,SZA,LA,
look up the jesus and mary chain concerts,the jesus and mary chain,,
look up the streets concerts,the streets,,
look up tour dates,,,
look up Upcoming Solange concerts,Solange,,
lookup garth brooks concerts,garth brooks,,
lookup garth brooks shows,garth brooks,,
mariah carey is playing in las vegas right,mariah carey,las vegas,
please show me concerts,,,
recommend some concerts to check out this weekend,,,this weekend
search bob dylan concerts for me,bob dylan,,
Search Britney Spears concerts Las Vegas,Britney Spears,Las Vegas,
search concert,,,
search concert dates,,,
search concert of ricky martin in new york,ricky martin,new york,
search concerts,,,
search concerts,,,
search concerts for coldplay in boston,coldplay,boston,
Search Dave Matthews Band NYC concerts,Dave Matthews Band,NYC,
search drake concerts,drake,,
search for 311 concerts,311,,
search for 50 cent concerts,50 cent,,
search for a concert,,,
search for aim concerts,aim,,
search for beyonce concerts,beyonce,,
search for bon jovi concert in amman,bon jovi,amman,
search for concert dates,,,
search for concerts,,,
search for concerts,,,
search for goldfrapp concerts,goldfrapp,,
search for Mike Posner's concert in New York,Mike Posner,New York,
search for music concerts in scotland,,scotland,
search for new kids on the block concerts,new kids on the block,,
search for oasis concerts,oasis,,
search for post malone concerts,post malone,,
Search for Post Malone Concerts in denver,post malone,denver,
search for system of a down concerts,system of a down,,
Search for the latest concerts by zara larsson in Florida,zara larsson,Florida,
search for the next casting crowns show,casting crowns,,
search for the next concerts of depeche mode in rome,depeche mode,rome,
Search for the next lil kim concert in Caracas,lil kim,Caracas,
search for the next lukas graham show,lukas graham,,
search for the next metallica gig in indiana,metallica,Indiana,
search for the next nick jonas show in el paso ,nick jonas,el Paso,
search for the next sean paul gig,sean paul,,
search for the next train show in indiana,train,Indiana,
search for upcoming shows for lana del rey,lana del rey,,
search for upcoming shows for tyler the creator,tyler the creator,,
search for celine dion concerts,celine dion,,
Search Linkin Park concerts in montreal for october.,Linkin Park,montreal,october
Search Paramore concerts near Charlotte NC,Paramore,Charlotte NC,
Search phil collins New York City concerts,phil collins,New York City,
search tour dates,,,
search upcoming concerts for peter gabriel ,peter gabriel ,,
search upcoming shows for mary j blige ,mary j blige,,
search upcoming shows for the chemical brothers,the chemical brothers,,
search upcoming tour dates for ty dolla $ign ,ty dolla $ign ,,
see concerts,,,
see tour info,,,
show a$ap rocky's concerts,a$ap rocky,,
show all concerts near me,,near me,
show Blake Shelton concerts near me,Blake Shelton,near me,
show bruno mars concerts near me,bruno mars,near me,
show clean bandit concerts,clean bandit,,
show concerts,,,
show concerts for this artist in oakland,this,oakland,
show concerts for this band in san francisco,this,san francisco,
show concerts happening in charlotte ,,charlotte,
show concerts in culver city,,culver city,
show concerts in leeds ,,leeds,
show concerts in my area,,my area,
Show concerts near me,,near me,
show e-40 concerts near me,e-40,,
show emeli sande concerts in hong kong,emeli sande,hong kong,
show florida georgia line concerts in chennai,florida georgia line,chennai,
show grizzly bear concerts,grizzly bear,,
show jay-z concerts in lowell,jay-z ,lowell,
Show LA concert dates for tove lo ,tove lo,LA,
show lee deWyze concerts near me,deWyze,,
Show live music events for lmfao ,lmfao,,
Show live music events in hollywood,,hollywood,
Show live music events near me ,,near me,
Show Mastodon's concert dates for Nevada,Mastodon,Nevada,
Show me alan jackson shows coming up ,alan jackson,,
Show me all Sting concerts near san francisco,Sting,san francisco,
Show me all upcoming tour dates for usher,usher,,
show me any gillian welch concerts in virginia,gillian welch,virginia,
Show me carly rae jepsen concerts coming up in LA,carly rae jepsen,LA,
show me concerts,,,
show me concerts dates,,,
Show me concerts nearby.,,nearby,
show me dua lipa concert dates,dua lipa,,
show me eminem concert info ,eminem,,
show me green day concerts in london,green day,london,
Show me if Slightly Stoopid is playing in cleveland,Slightly Stoopid,cleveland,
show me local concerts this week,,local,this week
Show me metallica's tour dates,Metallica,,
show me miranda lambert concert schedule,miranda lambert,,
show me music concerts,,,
show me music shows,,,
show me salt n pepa's concert schedule,salt n pepa,,
show me some concerts,,,
show me the concert schedule for rage against the machine,rage against the machine,,
show me tour dates,,,
show me tour dates for enrique iglesias,enrique iglesias,,
show me where t.i. is playing,t.i.,,
show Meek Mill concerts,meek mill,,
show nickelback concerts in mexico city,nickelback,mexico city,
show sage the gemini concerts near me,sage the gemini,,
show savage garden concerts near me,savage garden,,
show tinie tempah concerts in los angeles,tinie tempah,los angeles,
show tour dates bel heir,bel heir,,
show tour dates for sia,sia,,
show tour dates for zooey dollz,zooey dollz,,
show tour dates parmalee,parmalee,,
show tour dates toby keith,toby keith,,
show trae tha truth concerts,trae tha truth,,
show tyga concerts,tyga,,
Show upcoming concert listings for Lil Wayne in Orlando.,Lil Wayne,Orlando,
show upcoming halsey concerts,halsey,,
show when Wu-Tang clan is in concert,Wu-tang clan,,
tell me concerts for joe,joe,,
Tell me the next time The National will be in Houston.,The National,Houston,
tell me upcoming concert dates for kylie minogue,kylie minogue,,
tell me when is sia's next concert,sia,,
tell me where coolio is performing,coolio,,
their next concert is in what city,their,,
their next show is playing where,their,,
there any Toby Keith concerts in my area ,toby keith,my area,
what acts are in concert this month,,,this month
What acts are in town ,,town,
what acts are playing here next month,,here,next month
what acts are playing new york this month,,new york,this month
what are Beyonce's tour dates,beyonce,,
what are Coldplay's tour dates,coldplay,,
what are concert dates for A$AP Twelvyy,A$AP Twelvyy,,
what are concert dates for DED,DED,,
what are concert dates for Eminem,eminem,,
what are concert dates for french montana,french montana,,
what are concert dates for sam hunt,sam hunt,,
what are desiigner's tour dates,desiigner,,
what are her concert dates,her,,
what are lorde's tour dates,lorde,,
what are mariah carey's tour dates,mariah carey,,
what are nine inch nails tour dates,nine inch nails,,
what are the concert dates,,,
what are the dates for sia's tour,sia,,
what are the days solange is on tour,solange,,
what are the days travis scott is going to be performing,travis scott,,
what are the rolling stones tour dates,the rolling stones,,
What are the tour dates for passenger,passenger,,
What are the upcoming concerts in Maryland?,,Maryland,
what are the who's tour dates,the who ,,
what are Upcoming concerts near me,,near me,
what are Wizkid's tour dates,wizkid,,
What artists are in town ,,town,
what artists are in town this week,,town,this week
what artists are playing this weekend,,,this weekend
what bands are in town this weekend,,,this weekend
what Bands are playing in bentonville ,,bentonville,
what bands are playing in town,,town ,
what concert events are on this weekend,,,this weekend
what concerts are coming in acton ,,acton,
what concerts are coming to san diego,,san diego,
What concerts are coming up in arizona,,arizona,
What concerts are in New Jersey this weekend?,,New Jersey,
what concerts are in town ,,town,
What concerts are near me next week,,near me,next week
What concerts are playing in cooperstown this week?,,cooperstown,this week
What concerts are playing near me ,,near me,
What concerts are playing near me this week?,,near me,this week
what concerts are playing this month,,,this month
what concerts are there in los angeles this month,,los angeles,this month
what concerts are there next month,,,next month
what concerts are there this month,,,this month
what concerts can I see this month,,,this month
what concerts should I check out this month,,,this month
what dates are childish gambino's tour,childish gambino,,
What dates will the black keys be in DC?,the black keys,DC,
What day is I'm with Her's concert,I'm with her,,
what day is justin bieber's concert,justin bieber,,
what day is logic performing,logic,,
what day is selena Gomez's concert,selena gomez,,
what day is the brandy concert,brandy,,
What day is The Dream's concert,the dream,,
what day is the ke$ha concert,ke$ha,,
what day is the next jay z concert,jay z ,,
what day is the sleeping with sirens concert,sleeping with sirens,,
what day is the trina concert,trina,,
what day is Ty Dolla $ign's concert,ty dolla $ign,,
what days are bryson tiller on tour,bryson tiller,,
what is scatman john's concert schedule,scatman john,,
what is the chainsmokers concert dates,the chainsmokers,,
what is the date of Big sean's next performance,Big sean,,
what live shows are playing LA this month,,LA,this month
what music events are on this week,,,this week
What musicians are in town this week ,,town,this week
What shows are playing in Baltimore this week?,,Baltimore,
what shows are there this weekend,,,this weekend
What Young the Giant concerts are in Philly?,Young the Giant,Philly,
What's Arcade Fire's concert schedule,Arcade Fire,,
What's badly drawn boy's tour dates,badly drawn boy,,
What's Brandy's concert schedule,Brandy,,
what's bruno mars concert schedule,bruno mars,,
Whats concerts are coming up in carson,,carson,
What's Dr. Dre's concert schedule,Dr. Dre,,
What's drake's tour dates,drake,,
what's patti smith tour dates,patti smith,,
What's SZA's tour dates,SZA,,
what's the tour schedule for x ambassadors,x ambassadors,,
what's the veronicas tour schedule,the veronicas,,
what's their concert dates,their,,
what's usher's tour dates,usher,,
When and where is The 1975 touring?,The 1975,,
when are Fitz and the Tantrums performing in LA,Fitz and the tantrums,LA,
when are her concerts,her,,
when are her next concertsÂ ,her,,
when are her next gigsÂ ,her,,
When are Kings of Leon in town,kings of leon,town,
"When are the get up kids coming to louisville, ky",The Get Up Kids,"louisville, ky",
When are The Offspring playing in cape town,The offspring,cape town,
when are the rolling stones coming to town,the rolling stones,town,
when are they going on tour,they,,
when are they performing ,they,,
when are they playing ,they,,
When are they playing a show here?,they,,
When are they playing in austin texas,they,austin texas,
When are they playing in town?,they,town,
when are they touring ,they,,
when are they touring again ,they,,
when can I see him in concert,him,,
when can I see their tour,their,,
when can I see them in town,them,town,
when can I see them live,them,,
When does Patrick Wolf have concerts in London this year?,Patrick Wolf,London,
when is alessia cara on tour ,alessia cara,,
when is alt-j going to be here next,alt-j,here,
When is avicii in town,avicii,town,
when is beck on tour,beck,,
When is Beyonce in town ,Beyonce,town,
when is black eyed peas on tour,black eyed peas,,
when is bon jovi going on tour ,bon jovi,,
when is bring me the horizon playing next,bring me the horizon,,
when is calvin harris next tour,calvin harris,,
when is carrie underwood concert in orlando FL,carrie underwood,orlando FL,
when is chance the rapper playing next in salt lake city,chance the rapper,salt lake city,
when is Chris brown's mombasa concert?,Chris Brown,Mombasa,
When is dr dre playing in Sydney?,dr dre,Sydney,
When is DRAM performing in Oakland,DRAM,oakland,
When is elton john in town,elton john,town,
When is Fergie performing in Chicago,fergie,chicago,
When is Frank Ocean in town,frank ocean,town,
When is frank ocean performing in LA,frank ocean,LA,
When is G4shi's next tour,G4shi,,
when is g-eazy on tour ,g-eazy,,
When is Hatebreed playing in Green Bay?,Hatebreed,Green Bay,
when is he on tour,he,,
when is he performing ,he,,
when is he playing ,he,,
when is he touring ,he,,
when is her concert,her,,
when is her concert in miami ,her,miami,
when is her miami concert,her,miami,
when is her next concert ,her,,
when is her next gig ,her,,
when is her next perfomance ,her,,
when is her next show in sacramento ,her,sacramento,
When is her next show? ,her,,
when is her show in lancaster ,her,lancaster,
when is her tour ,her,,
when is his concert coming in miami florida,his,miami florida ,
when is his next concert ,his,,
when is his next perfomance ,his,,
when is his next show in new york ,his,new york ,
when is his show in philly ,his,philly ,
When is j cole playing,j cole,,
When is Jason Mraz coming to Atlanta?,Jason Mraz,Atlanta,
When is jennifer lopez in town,jennifer lopez,town,
When is Justin Beiber's next concert in austin,Justin Beiber,austin,
When is Justin Timberlake in town,justin timberlake ,town,
when is keith urban coming to town,keith urban,town,
when is khalid playing near me,khalid,near me,
when is lady gaga playing next in chicago,lady gaga,Chicago,
When is lana del rey in town,lana del rey,town,
When is little mix in town,little mix,town,
when is lmfao on tour,lmfao,,
When is lorde in town,lorde,town,
when is luke bryan playing next ,luke bryan,,
When is Macklemore on tour,macklemore,,
when is moonrise nation playing next in washington,moonrise nation,washington,
when is new order's next tour,new order,,
When is ne-yo in town,ne-yo,town,
When is Norah Jones coming to town next?,Norah Jones,town,
when is panic at the disco playing next,panic at the disco,,
when is pentatonix playing next,pentatonix,,
When is pink floyd in town,pink floyd,town,
when is pitbull coming to town,pitbull,town,
when is rod stewart playing in south africa?,rod stewart,south africa,
when is Sean Paul performing in santa monica,Sean Paul,santa monica,
When is selena gomez doing a concert in Mumbai?,selena gomez,Mumbai,
When is she in town ,she,town,
when is she performing ,she,,
when is she playing ,she,,
when is she playingÂ next,she,,
when is she touring ,she,,
when is she touring again ,she,,
When is Skrillex in town,skrillex ,town,
When is skrillex playing,skrillex,,
When is snoop dogg playing near me?,snoop dogg,near me,
when is snoop dogg's next tour,snoop dogg,,
When is stevie wonder playing in town ,stevie wonder,town,
When is swedish house mafia in town,swedish house mafia,town,
when is tame impala coming to providence for the tour?,tame impala,providence,
when is the alan walker show ,alan walker,,
When is the band coming to town ,the band,town,
when is the concert in east hamptons ,,east hamptons ,
when is the concert in massachusetts,,massachusetts,
when is the fifth harmony show,fifth harmony,,
when is the Iron & Wine concert,Iron & Wine,,
When is the kanye west concert,kanye west,,
when is the moby concert,moby,,
when is the next 5 seconds of summer show in los angeles,5 seconds of summer,los angeles,
When is the next 50 cent show,50 cent,,
when is the next 50 cent show in Dallas,50 cent,dallas,
When is the next A$sap Rocky show,A$sap Rocky,,
when is the next abba show in new york city ,abba,new york city,
When is the next Adele concert in Chicago?,Adele,Chicago,
When is the next aerosmith concert in boston,aerosmith,boston,
when is the next Belle & Sebastian show in Los Angeles,belle & Sebastian,los angeles,
when is the next billy joel show,billy joel,,
when is the next black eyed peas show,black eyed peas,,
when is the next coldpay show in maine,coldpay,maine,
when is the next concert in brooklyn ,,brooklyn ,
when is the next concert in cleveland ,,cleveland,
when is the next concert in compton ,,compton,
when is the next concert in fort lauderdale,,fort lauderdale,
when is the next concert in shanghai,,shanghai,
when is the next disclosure show,disclosure,,
when is the next ed sheeran show,ed sheeran,,
when is the next ellie goulding show,ellie goulding,,
when is the next fall out boy show in kansas ,fall out boy,kansas,
When is the next irv gotti show in New York,irv gotti,new york,
When is the next Jay Z show in Miami,jay z,miami,
when is the next kelly price concert,kelly price,,
when is the next kelly rowland performance ,kelly rowland,,
when is the next major lazer gig in kentucky ,major lazer,kentucky,
when is the next mike posner gig in new york city ,mike posner,new york city,
when is the next miley cyrus show,miley cyrus,,
when is the next pearl jam show ,pearl jam,,
when is the next r kelly concert,r kelly,,
When is the next show?,,,
