intent_id,priority,awaiting_field,unresolved,missing,present,entity_values,aneeda_en
,95,team_name_2,team_name_2,None,None,,"I don't recognize the second team you said, can you try again?"
,90,team_name_1,None,team_name_1,team_name_2,,"I don't recognize the first team you said, can you try again?"
,90,team_name_1,team_name_1,None,None,,Please tell me a valid team name
,90,player_name,player_name,None,None,,Please tell me a valid player name
,85,season_name,season_name,None,None,,Please give me a valid season name
,85,league_name,None,league_name && team_name_1,season_name,,Please say a valid league name
,80,league_name,league_name,None,None,,I need a valid tournament or league name
,75,time,time,None,None,,Can you tell me a valid time?
,75,day,None,day,time,,"I didn't understand that date, can you try again?"
,70,day,day,None,None,,Can you give me a valid date range?
,70,team_name_1,None,league_name && team_name_1,day,,I'll need a valid team name.
,65,team_name_1,team_name_1,None,None,,"Sorry, I need a valid team name"
,60,venue_name,venue_name,None,None,,I need a valid division name
,60,league_name,None,league_name && team_name_1,venue_name,,I need a valid league name
,55,league_name,league_name,None,None,,I need a valid tournament or league name
,65,conference_name,conference_name,None,None,,Could you give me a valid conference name?
,65,league_name,None,league_name && team_name_1,conference_name,,Please give me a valid league name
,60,league_name,league_name,None,None,,"Sorry, I'll need a valid tournament or league name"
,55,division_name,division_name,None,None,,Please tell me a valid division name
,55,league_name,None,league_name && team_name_1,division_name,,Please tell me a valid league name
,50,league_name,league_name,None,None,,Please give me a valid tournament or league name
,45,venue_type,venue_type,None,None,,"I don't recognize that location, can you try another one?"
,45,team_name_1,None,team_name_1,venue_type,,"Tell me a valid team name, please"
,40,team_name_1,team_name_1,None,None,,"Give me a valid team name, please"
,35,none,None,None,league_name && conference_name,,Here are the results for the <league_name> <conference_name>
,35,none,None,None,league_name && division_name,,Here are the standings for the <league_name> <division_name>
,35,none,None,None,league_name && season_name,,Here are the <season_name> results for the <league_name> 
,35,none,None,None,team_name_1 && time && day,,These are the results for <team_name_1> at <time> on <day>
,30,none,None,None,team_name_1 && day,,Here's the <team_name_1> schedule on <day>
,35,none,None,None,team_name_1 && team_name_2,,Here are the results for <team_name_1> versus <team_name_2> 
,30,none,None,None,team_name_1,,<team_name_1> results coming right up
,30,none,None,None,player_name,,Here are the results for <player_name>
,30,none,None,None,league_name,,Here are the <league_name> league results
,25,none,None,None,None,,Here are the results
sports_follow_a_game,100,team_name1,None,team_name1 && team_name2 && game_player && gameDay && gameVenue && game_conference && game_division && game_season && gameTournamentOrSports,None,,For which team?
,100,team_name1,team_name1,None,None,,Can you give me a valid team name?
,95,team_name2,team_name2,None,None,,"I don't recognize the second team you mentioned, can you try another one?"
,95,none,None,None,skill_exception,"[('skill_exception', '2002')]",Please tell me a valid sport name
,95,none,None,None,skill_exception,"[('skill_exception', '2004')]","Sorry, I couldn't find the game results for that"
,90,gameTime,gameTime,None,None,,Please tell me a valid time
,85,gameDay,gameDay,None,None,,Please give me a valid date
,80,gameVenue,gameVenue,None,None,,Please pick a valid game venue
,75,gameTournamentOrSports,gameTournamentOrSports,None,None,,Please give me a valid tournament or sport name
,70,gameTrigger,gameTrigger,None,None,,"Sorry, I didn't catch that. What would you like to be alerted about in this game?"
,65,game_season,game_season,None,None,,Please give me a valid season name
,60,game_player,game_player,None,None,,"I don't recognize that player name, can you try another one?"
,55,game_division,game_division,None,None,,Please tell me a valid division name
,50,game_conference,game_conference,None,None,,Please tell me a valid conference name
,40,none,None,None,team_name1,,You're now following the <team_name1> game
,45,none,None,None,team_name1 && team_name2,,You're now following the <team_name1> versus <team_name2> game
,35,none,None,None,None,,"Alright, you're now following this game."
