intent_id,priority,awaiting_field,unresolved,missing,present,aneeda_en,entity_values
,50,event_confirmation,event_confirmation,None,event_date && event_time && event_title && event_attendees,Please confirm with yes or no.,
,,,,,,I didn't catch that. Please tell me yes or no.,
,,,,,,Was that a yes or no?,
,,,,,,Just say yes or no,
,,,,,,Say yes or no to confirm your event.,
,45,none,None,None,event_date && event_time && event_title && event_attendees && event_confirmation,Sending your event.,"[('event_confirmation','yes')]"
,,,,,,"OK, event sent.",
,,,,,,I've shared your event.,
,,,,,,Your event has been sent!,
,40,none,None,None,event_date && event_time && event_title && event_attendees && event_confirmation,"OK, event canceled.","[('event_confirmation','no')]"
,,,,,,"Alright, I've canceled your event.",
,,,,,,"Sure, event canceled.",
calendar_show_event,100,none,None,None,email_error,You don't have any contacts in your account. You'll need to add some.,
,100,None,None,None,skill_exception,"Sorry, Couldn't complete the action. Please try again later","[('skill_exception', '999')]"
,100,None,None,None,skill_exception,"Date or Time format is wrong.","[('skill_exception', '1000')]"
,100,None,None,None,skill_exception,"Unable to send event.Could not find email address.Please try again later.","[('skill_exception', '1001')]"
,100,None,None,None,skill_exception,"Ok event creation canceled.","[('skill_exception', '1005')]"
,99,None,None,None,skill_exception,"Couldn't Complete the action. Please try again later.",None
,98,None,None,None,skill_response,<skill_response>,None
,95,none,event_date,None,None,Which date did you say?,
,,,,,,I'm having trouble understanding. Please tell me a proper date.,
,,,,,,For which date?,
,90,none,None,None,event_date,Let me see what you have scheduled for <event_date>,
,,,,,,Checking your schedule for <event_date>,
,,,,,,Pulling up your calendar.,
,85,none,none,none,event_title,Searching your calendar for <event_title>,
,,,,,,Let me check for you.,
,,,,,,One moment as I check for you.,
,80,none,event_attendee,none,none,I can't find that name in your contacts. Can  you provide another name?,
,,,,,,"Sorry, I don't see that contact. Can you provide a valid name?",
,75,none,none,none,event_attendee,Searching for events with <event_attendee>,
,,,,,,"One moment, let me check",
,,,,,,Checking your calendar,
,70,none,None,None,None,Here's your schedule,
,,,,,,Let me check your schedule,
,,,,,,Checking your calendar,
calendar_check_event,100,none,None,None,email_error,You don't have any contacts in your account. You'll need to add some.,
,100,None,None,None,skill_exception,"Sorry, Couldn't complete the action. Please try again later","[('skill_exception', '999')]"
,100,None,None,None,skill_exception,"Date or Time format is wrong.","[('skill_exception', '1000')]"
,100,None,None,None,skill_exception,"Unable to send event.Could not find email address.Please try again later.","[('skill_exception', '1001')]"
,100,None,None,None,skill_exception,"Ok event creation canceled.","[('skill_exception', '1005')]"
,99,None,None,None,skill_exception,"Couldn't Complete the action. Please try again later.",None
,98,None,None,None,skill_response,<skill_response>,None
,97,event_date,None,event_date && event_time,None,For which day?,
,,,,,,Tell me the date you want,
,,,,,,Which date are you checking for?,
,,,,,,For what day?,
,95,event_date,event_date,None,None,Can you tell me a valid date?,
,,,,,,Please tell me a valid date. ,
,,,,,,I'll need a valid date.,
,90,event_time,event_time,None,None,At which time?,
,,,,,,What time of day?,
,,,,,,What time should I check for?,
,85,none,None,None,event_date && event_time,Here's your schedule,
,,,,,,Here's what you've got,
,,,,,,Checking your calendar,
,,,,,,Let's see,
,,,,,,Let me check real quick,
,,,,,,One moment,
,80,none,None,None,event_date,Let me check,
,,,,,,Checking your schedule for <event_date>,
,,,,,,Looking up your <event_date>,
,75,none,None,None,event_time,Checking for <event_time>,
,,,,,,I'll check your calendar,
,,,,,,Looking at <event_time>,

