intent_id,priority,awaiting_field,unresolved,missing,present,entity_values,aneeda_en
,97,None,None,None,skill_exception && artist,"[('skill_exception', '203')]",I can't find the artist <artist>
,95,song,song,none,none,,Which of these songs do you want to add: <song.candidates>
,85,collection,None,collection,none,,Which playlist would you like to add to?
,,,,,,,Where do you wanna add it?
,,,,,,,Tell me the name of a playlist 
,80,none,None,none,collection && song,,"Okay, <song> added. "
,,,,,,,Added <song> to your <collection> playlist
,,,,,,,Done
,,,,,,,You got it
,,,,,,,Got it
,,,,,,,Consider it done
,,,,,,,Will do
music_albums,100,None,None,None,skill_exception && artist,"[('skill_exception', '203')]","Sorry, I can't find albums for <artist>"
,,,,,,,"Sorry, I don't see any albums by <artist>"
,,,,,,,I don't have albums by <artist>
,98,None,None,None,skill_exception && genre,"[('skill_exception', '205')]","Sorry, I can't search for albums by genre yet."
,97,None,None,None,skill_exception && era,"[('skill_exception', '206')]","Sorry, I can't search for albums by era yet."
,95,artist,none,artist,none,,From which artist?
,,,,,,,By which artist?
,93,none,none,albums,artist,,"Sorry, I can't find any albums for <artist>"
,93,none,artist,albums,none,,"Sorry, I can't find any albums for <artist>"
,90,none,artist,none,albums,,Here are albums by <artist>
,,,,,,,Here's what I've got
,,,,,,,<artist> albums include
,90,none,none,none,artist && albums,,Here are <artist>'s albums
,,,,,,,Here's what I've got for <artist>
,,,,,,,Albums by <artist> include
,85,none,none,artist,genre,,"Sorry, I can't search for albums by genre yet."
,80,none,none,artist,era,,"Sorry, I can't search for albums by era yet."
music_id,100,song,none,song,none,,"Sorry, I can't do that right now."
,97,none,song,none,none,,"Sorry, I can't do that right now."
,95,none,none,none,song,,This is <song> by <song.album.artist> from the album <song.album>
,,,,,,,You're listening to <song> by <song.album.artist> on the album <song.album>
music_get_more,100,None,None,None,None,None,Let's keep the vibe going
,,,,,,,Let's keep these vibes going
,,,,,,,More music coming up!
,,,,,,,More music coming your way
,,,,,,,Here comes more music
,,,,,,,Let's keep it going
music_album_tracks,100,None,None,None,None,None,
music_artist_summary,100,None,None,None,None,None,
